"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.00356850582124685,-0.00028359748752682,-0.0156934306604152
"delta",-0.00028359748752682,0.00127228245536717,0.000534558560891645
"lambdaluce",-0.0156934306604152,0.000534558560891645,0.452054172671823
"beta",0.00880848190274048,-0.000976837803047066,-0.108836376452182
"delta",-0.000976837803047066,0.00362930113276865,0.00880654696664839
"lambdaluce",-0.108836376452182,0.00880654696664839,1.79136741880606
"beta",0.000960567218168359,-3.18718485001106e-05,0.000829364069741654
"delta",-3.18718485001106e-05,0.00165669842836159,-0.00171769448213338
"lambdaluce",0.000829364069741654,-0.00171769448213338,1.71007527463482
"beta",0.0732287647883614,-0.0333307851791031,0.0667814481209927
"delta",-0.0333307851791031,0.0543264921356301,-0.10279717150511
"lambdaluce",0.0667814481209927,-0.10279717150511,1.98768472527776
"beta",0.00829493565664194,-0.00131896435495001,-0.109228294730202
"delta",-0.00131896435495001,0.00438073076674541,0.0147314882038108
"lambdaluce",-0.109228294730202,0.0147314882038108,1.85892265150732
"beta",0.0477649889277341,-0.0290097143869673,-0.0999456108500316
"delta",-0.0290097143869673,0.0563663882334119,0.0124174484538047
"lambdaluce",-0.0999456108500316,0.0124174484538047,1.70687459989865
"beta",0.0753721251518699,-0.0332795584428016,-0.00212257704071475
"delta",-0.0332795584428016,0.0434023964101143,-0.0748393175641681
"lambdaluce",-0.00212257704071475,-0.0748393175641681,1.54576869953163
"beta",0.075886261832814,-0.0244609396846533,0.0444049110660769
"delta",-0.0244609396846533,0.0400807686941952,-0.0984225397612521
"lambdaluce",0.0444049110660769,-0.0984225397612521,2.0534083872526
"beta",0.014169998395023,-0.00203676811339973,-0.101306806814341
"delta",-0.00203676811339973,0.026189178337614,0.0157782613520759
"lambdaluce",-0.101306806814341,0.0157782613520759,1.65559037918529
"beta",0.0832474084070111,-0.0246412839597642,0.021922428101504
"delta",-0.0246412839597642,0.0294253893170311,-0.0668508762740025
"lambdaluce",0.021922428101504,-0.0668508762740025,1.92861945562387
"beta",0.0227400443027157,-0.00945713557927271,-0.0939797126966121
"delta",-0.00945713557927271,0.0128324134534403,-0.0149032693577792
"lambdaluce",-0.0939797126966121,-0.0149032693577792,1.62433575233111
"beta",0.0124929011764637,-0.00517266319671959,-0.0773769949437357
"delta",-0.00517266319671959,0.00465368589018444,-0.00559020208189974
"lambdaluce",-0.0773769949437357,-0.00559020208189974,1.8223196953744
"beta",0.00726988274230141,-0.00254026109956423,-0.102725843687627
"delta",-0.00254026109956423,0.00385070414426762,0.0292392542954373
"lambdaluce",-0.102725843687627,0.0292392542954373,2.07465715968967
"beta",0.0467945876503088,-0.0215032681146142,-0.0289211529445625
"delta",-0.0215032681146142,0.0322196550215839,-0.0635809730699393
"lambdaluce",-0.0289211529445625,-0.0635809730699393,2.04615672475295
"beta",0.00519144964443619,-0.0012184133865912,-0.0607306726585767
"delta",-0.0012184133865912,0.00384478191449264,-0.00155779877128314
"lambdaluce",-0.0607306726585767,-0.00155779877128314,1.8757776422913
"beta",0.0554003211831257,-0.0364808756162106,0.00860036430552228
"delta",-0.0364808756162106,0.0880771196536723,-0.089396335652607
"lambdaluce",0.00860036430552228,-0.089396335652607,1.64818537921814
"beta",0.00772867441848236,-0.00090543873692737,-0.103924912846796
"delta",-0.00090543873692737,0.00409589067200111,0.00988681109994298
"lambdaluce",-0.103924912846796,0.00988681109994298,2.04507007649021
"beta",0.00223681597860209,-0.00052455624672037,-0.00442009933568213
"delta",-0.00052455624672037,0.00198531086037812,-0.00534720173604948
"lambdaluce",-0.00442009933568213,-0.00534720173604948,0.335682171163678
"beta",0.0100822404742454,-0.00310887451141765,-0.0771476545772192
"delta",-0.00310887451141765,0.0165499892712813,0.0126279013064409
"lambdaluce",-0.0771476545772192,0.0126279013064409,0.895926523904235
"beta",0.0445585247715909,-0.0187524913601896,-0.121397227456274
"delta",-0.0187524913601896,0.0168098630303947,0.00964483734803357
"lambdaluce",-0.121397227456274,0.00964483734803357,2.09575452120585
"beta",0.00341963917467628,-0.000832454863954692,-0.0103050509475079
"delta",-0.000832454863954692,0.000704791692357226,-0.000990099221236598
"lambdaluce",-0.0103050509475079,-0.000990099221236598,0.447794452236942
"beta",0.00887163770136335,-0.00367677825622845,-0.0991812798212744
"delta",-0.00367677825622845,0.00938862267778217,0.0252341901460831
"lambdaluce",-0.0991812798212744,0.0252341901460831,1.93961704460693
"beta",0.0120272387162296,-0.00447636976213921,-0.0708924802552522
"delta",-0.00447636976213921,0.00273677786006836,0.0233875796357411
"lambdaluce",-0.0708924802552522,0.0233875796357411,0.65518334180449
"beta",0.0681894001675966,-0.0193351920970504,0.00184511745642677
"delta",-0.0193351920970504,0.0201571939464324,-0.0555343999436592
"lambdaluce",0.00184511745642677,-0.0555343999436592,2.0913936450651
"beta",0.00400841291126278,-0.00153953362022484,-0.0112830592623373
"delta",-0.00153953362022484,0.00157590787456615,-0.0118381523619314
"lambdaluce",-0.0112830592623373,-0.0118381523619314,0.986342650507656
"beta",0.0715856737866945,-0.0406847080090237,0.0789847377565064
"delta",-0.0406847080090237,0.0790696000738116,-0.151347662264877
"lambdaluce",0.0789847377565064,-0.151347662264877,1.9286142788366
"beta",0.00291389263525611,-0.00100458699653502,-0.0242242333379338
"delta",-0.00100458699653502,0.000662433971769308,0.00419453395215173
"lambdaluce",-0.0242242333379338,0.00419453395215173,1.43789283571379
"beta",0.0744229938120971,-0.0275424472794081,-0.0248204402690865
"delta",-0.0275424472794081,0.0251657681524099,-0.037113887735471
"lambdaluce",-0.0248204402690865,-0.037113887735471,1.98765889512585
"beta",0.0537263027408074,-0.0243803998319018,-0.0343678132317618
"delta",-0.0243803998319018,0.032806876211962,-0.0473260931772513
"lambdaluce",-0.0343678132317618,-0.0473260931772513,1.79748748202258
"beta",0.00623102947515673,-0.00232682471300607,-0.0363470114114856
"delta",-0.00232682471300607,0.00160583292638175,0.00557425394070648
"lambdaluce",-0.0363470114114856,0.00557425394070648,1.31260475754629
"beta",0.00814103879443063,-0.00326168998481449,-0.0788390663538537
"delta",-0.00326168998481449,0.0187507058165647,0.0237782015877991
"lambdaluce",-0.0788390663538537,0.0237782015877991,2.06505020138594
"beta",0.00839102566936368,-0.00348962770230048,-0.0670605249309624
"delta",-0.00348962770230048,0.00277368889507616,0.0197143469185841
"lambdaluce",-0.0670605249309624,0.0197143469185841,1.16996081818381
"beta",0.00620172650566087,-0.00107448500726329,-0.0556525574174409
"delta",-0.00107448500726329,0.00260182254566912,0.0136889787956691
"lambdaluce",-0.0556525574174409,0.0136889787956691,1.72450835858654
"beta",0.024214338333178,-0.00883273176596994,-0.0976636017516963
"delta",-0.00883273176596994,0.00556666604485675,-0.00211312938739155
"lambdaluce",-0.0976636017516963,-0.00211312938739155,1.99297624098937
"beta",0.00787931172264022,-0.00211669371324729,-0.0703373496347472
"delta",-0.00211669371324729,0.00391718930824668,0.0182988346073772
"lambdaluce",-0.0703373496347472,0.0182988346073772,1.21779898251612
"beta",0.0768868618434071,-0.0313375993258444,0.0665588566949668
"delta",-0.0313375993258444,0.0583831353977895,-0.129557003959444
"lambdaluce",0.0665588566949668,-0.129557003959444,2.04565368348107
"beta",0.0605933469481527,-0.0281289155944951,0.0131001564457026
"delta",-0.0281289155944951,0.0556379748508646,-0.121621828829047
"lambdaluce",0.0131001564457026,-0.121621828829047,1.68025015370224
"beta",0.00762640066061549,-0.00254178266779401,-0.0519830356737843
"delta",-0.00254178266779401,0.00382081943645817,0.0104571713899384
"lambdaluce",-0.0519830356737843,0.0104571713899384,0.967364869996343
"beta",0.0332835205521892,-0.0164229211298684,-0.0628277636076644
"delta",-0.0164229211298684,0.0325872585778081,-0.0414163933346489
"lambdaluce",-0.0628277636076644,-0.0414163933346489,1.88315369271407
