"","luce","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"luceTemp",1.0923007462169,0.222199648839654,0.667453727169709,0.923686856423593,1.0952877633552,1.27040929467135,1.47331278451858
"luceTemp",0.948555566394946,0.240203446790742,0.53941848897668,0.761722754158394,0.928896801525553,1.12188315068205,1.43932307180324
"luceTemp",1.03108251300534,0.232801088916156,0.590832462377847,0.856037983030744,1.02679749695707,1.207654157495,1.44050856151627
"luceTemp",0.591707307896995,0.0805740632861041,0.503743385799706,0.532380605524617,0.568446157356741,0.629840806870644,0.793620589012988
"luceTemp",1.08994777238992,0.218415410850268,0.669630592518497,0.922052338198346,1.0938648706173,1.26679935544423,1.45897149844295
"luceTemp",0.654450645719291,0.126697444229072,0.505093610147766,0.556479512248196,0.623187211682627,0.722296303106197,0.976382481356394
"luceTemp",0.825347647504587,0.202544455851178,0.520549757967009,0.667189106623883,0.798250703284173,0.953463138483466,1.28082025213621
"luceTemp",0.780806994607576,0.163392087883351,0.555812298882411,0.66074577383921,0.74826890748335,0.866424146067635,1.1815605429648
"luceTemp",0.938341166505897,0.217148073675524,0.559900141382367,0.771713534099995,0.922378533630156,1.09871093010277,1.36999471404733
"luceTemp",1.21177859967866,0.202072662226614,0.743815624808158,1.08441860357137,1.24370044625645,1.37581371468535,1.4871787630748
"luceTemp",1.30054551586552,0.117088782506556,1.06578192120385,1.21841240358071,1.30999485737255,1.39480651700571,1.48490572905698
"luceTemp",0.95452482610702,0.236522028033061,0.551607272642219,0.767523898107706,0.935928308823133,1.13771343894892,1.41667841515057
"luceTemp",1.19549051340798,0.150421641625094,0.919429724153587,1.08302598633672,1.19221954880109,1.30893038893262,1.47506513604451
"luceTemp",1.27324178808109,0.15044636424383,0.960280456514077,1.16571588237549,1.29252263223912,1.39948236947668,1.49008523269503
"luceTemp",0.583574524387339,0.0744739258139617,0.503328706329641,0.526732615970489,0.562199406636077,0.617920837187581,0.779881790043754
"luceTemp",0.972261421891812,0.223924328101136,0.564680117324787,0.811032720015907,0.962484418478869,1.13047712400774,1.41843283635706
"luceTemp",1.35752366071988,0.10904286922751,1.10010814798405,1.28791896020227,1.38140845804426,1.44818313617178,1.49335948478634
"luceTemp",0.595831783242376,0.0834870411183865,0.502633279806837,0.532435476013477,0.573352763569166,0.636533810525244,0.815869866857151
"luceTemp",1.1221735036354,0.190018050248178,0.802731923123296,0.967760800616958,1.10782614168399,1.274699067967,1.46981714337874
"luceTemp",0.767598215260564,0.174725806223816,0.514105269237885,0.63085534674708,0.741715269088818,0.886375013000575,1.16017834982597
"luceTemp",1.10844546576083,0.144426438359686,0.867148401000496,1.00109792496283,1.09281815486499,1.1989936168194,1.43284431952486
"luceTemp",1.25559407271385,0.159259015325999,0.925325178322483,1.14076182800984,1.27516933610615,1.38657053105625,1.48992944159459
"luceTemp",1.27616964875197,0.165768939051689,0.887428855549058,1.18087251605367,1.30977633282455,1.40441998592364,1.49188010330229
"luceTemp",1.06717360227948,0.233799535435529,0.634852694193685,0.880603132923809,1.07675214359127,1.24754521905695,1.47590537618236
"luceTemp",0.841383729351857,0.163313477653303,0.594045436708104,0.725351117240822,0.814414105309785,0.927138802152091,1.24371299331957
"luceTemp",0.613255249504943,0.0973627106411975,0.504510943175859,0.537537122437795,0.587829128272231,0.66305659054704,0.866302166801244
"luceTemp",1.30507110229497,0.154826283455548,0.915143787734315,1.21982274216211,1.34099658922187,1.4270581483339,1.4947426503443
