"","alpha","gamma","luce"
"alpha",0.0318878796582542,0.000108583541192156,-0.0339432596308933
"gamma",0.000108583541192156,0.00279477325123368,0.000861004976228396
"luce",-0.0339432596308933,0.000861004976228396,0.0435202954705392
"alpha",0.0307924973987869,-0.00317212945394567,-0.0202173403926075
"gamma",-0.00317212945394567,0.0141736084537151,0.00114246262845157
"luce",-0.0202173403926075,0.00114246262845157,0.031419396468774
"alpha",0.0150790233138563,-0.000853687696415689,-0.016476503698733
"gamma",-0.000853687696415689,0.00344495329139296,0.00345399122657398
"luce",-0.016476503698733,0.00345399122657398,0.0436606450300669
"alpha",0.0237645587453226,-0.00489812764262643,-0.024680473303216
"gamma",-0.00489812764262643,0.0143173827521193,0.00302780774687162
"luce",-0.024680473303216,0.00302780774687162,0.0456532228214528
"alpha",0.0203351126721183,-0.00258704252566988,-0.0198327998344334
"gamma",-0.00258704252566988,0.0127509742880702,0.00272927689573068
"luce",-0.0198327998344334,0.00272927689573068,0.0454412364934897
"alpha",0.00914683918599358,-0.000560063782468096,-0.0114275150387565
"gamma",-0.000560063782468096,0.000539650519373199,0.00135580642506397
"luce",-0.0114275150387565,0.00135580642506397,0.0242857684590864
"alpha",0.0246237119693729,-0.00334537754877809,-0.0260687129936544
"gamma",-0.00334537754877809,0.00594996889580237,0.00275901258449126
"luce",-0.0260687129936544,0.00275901258449126,0.0429879479117628
"alpha",0.0299464934349751,-0.00320802099423899,-0.0151109680966667
"gamma",-0.00320802099423899,0.0163071009540411,0.0003664084193466
"luce",-0.0151109680966667,0.0003664084193466,0.0218149800369676
"alpha",0.0274796752986391,-0.00190569979039601,-0.0279161636771823
"gamma",-0.00190569979039601,0.00483325001027772,0.00247097359940954
"luce",-0.0279161636771823,0.00247097359940954,0.0518904204281087
"alpha",0.0337626439504337,3.27999631122928e-05,-0.0306632378881438
"gamma",3.27999631122928e-05,0.00396382559019311,0.00145582685255001
"luce",-0.0306632378881438,0.00145582685255001,0.0338089956038368
"alpha",0.0386782993089102,-0.00487713202525395,-0.0242359378698624
"gamma",-0.00487713202525395,0.0080364984236747,0.00230978331527579
"luce",-0.0242359378698624,0.00230978331527579,0.0281778193292572
"alpha",0.0124796875880116,-0.0033194259232995,-0.0128705615580875
"gamma",-0.0033194259232995,0.00740144864214172,0.0026895724069104
"luce",-0.0128705615580875,0.0026895724069104,0.0261156566484495
"alpha",0.0400532057771502,-0.00163281117925017,-0.0369757094432642
"gamma",-0.00163281117925017,0.0021707889721108,0.00301666316611863
"luce",-0.0369757094432642,0.00301666316611863,0.0506638384784558
"alpha",0.0333255936029856,-0.00239627382375667,-0.0287640537697161
"gamma",-0.00239627382375667,0.0098188649778102,0.00178814180276169
"luce",-0.0287640537697161,0.00178814180276169,0.0376577838488185
"alpha",0.0123427786265601,-0.00259842207093602,-0.0152440099468032
"gamma",-0.00259842207093602,0.00830364831293098,0.0021125773470583
"luce",-0.0152440099468032,0.0021125773470583,0.0310462027731494
"alpha",0.0289998097539076,-0.00120690895917258,-0.0157008146270594
"gamma",-0.00120690895917258,0.0093074035736529,0.000546752350672759
"luce",-0.0157008146270594,0.000546752350672759,0.0174535821363051
"alpha",0.00961642855141057,-0.000213331535515926,-0.0106669212696632
"gamma",-0.000213331535515926,0.000413944492906516,0.00104365174105943
"luce",-0.0106669212696632,0.00104365174105943,0.0217501352788192
"alpha",0.0118575672159888,-0.000277530877089998,-0.0129155488179585
"gamma",-0.000277530877089998,0.00268006184253386,0.00225327353972259
"luce",-0.0129155488179585,0.00225327353972259,0.0361719155040013
"alpha",0.0270966572205672,-0.00115401230892822,-0.0291201902284802
"gamma",-0.00115401230892822,0.00174060707095017,0.00282373227625442
"luce",-0.0291201902284802,0.00282373227625442,0.0498304355494934
"alpha",0.0492955690055299,-8.98232575789267e-05,-0.0472192577733015
"gamma",-8.98232575789267e-05,0.00348718703462612,0.0012666329357621
"luce",-0.0472192577733015,0.0012666329357621,0.053465044008398
"alpha",0.0143206459652967,-0.0034834584099832,-0.0176034077354297
"gamma",-0.0034834584099832,0.00942521944224048,0.00278817033310211
"luce",-0.0176034077354297,0.00278817033310211,0.0334646776463797
"alpha",0.0313523912745846,-0.00206963973317981,-0.0301544778642437
"gamma",-0.00206963973317981,0.00225700025571478,0.0022741824992488
"luce",-0.0301544778642437,0.0022741824992488,0.0396908960250022
"alpha",0.0121814146355781,-0.000775066874021668,-0.0150248338977605
"gamma",-0.000775066874021668,0.000611600296270808,0.00174202894792679
"luce",-0.0150248338977605,0.00174202894792679,0.0277789820813767
"alpha",0.0303289612112555,-0.00189174649588578,-0.0215718467576194
"gamma",-0.00189174649588578,0.00727686988192711,0.00261308111055595
"luce",-0.0215718467576194,0.00261308111055595,0.0343588741434955
"alpha",0.0241438499045525,-0.00131854889920753,-0.0244256374424123
"gamma",-0.00131854889920753,0.00176806194984489,0.00277600627957381
"luce",-0.0244256374424123,0.00277600627957381,0.0401193419460062
"alpha",0.0393069612612158,-0.000436513060934073,-0.0395621897106757
"gamma",-0.000436513060934073,0.00185658679905572,0.0037716431182404
"luce",-0.0395621897106757,0.0037716431182404,0.0561681859112722
"alpha",0.013808157555056,-0.000526124193191418,-0.0153302247306708
"gamma",-0.000526124193191418,0.00667293663020005,0.00852621917455474
"luce",-0.0153302247306708,0.00852621917455474,0.0406495194634492
"alpha",0.0320838581248373,0.000706666465165068,-0.0336985769228322
"gamma",0.000706666465165068,0.00465462380850819,0.00218751230085429
"luce",-0.0336985769228322,0.00218751230085429,0.0471794960082231
"alpha",0.0315486822227065,-0.000915658343018883,-0.0332417786682015
"gamma",-0.000915658343018883,0.00434185325440879,0.00515927998669803
"luce",-0.0332417786682015,0.00515927998669803,0.0466253259272019
"alpha",0.0092145086622032,-0.00178876131954939,-0.00802988013638611
"gamma",-0.00178876131954939,0.00764187162848284,0.000712315666275071
"luce",-0.00802988013638611,0.000712315666275071,0.0171347586109794
"alpha",0.0222223164869452,-0.00239396586342579,-0.0256541439304876
"gamma",-0.00239396586342579,0.00251653517041266,0.00303577851343296
"luce",-0.0256541439304876,0.00303577851343296,0.0431832633741148
"alpha",0.0304277681725568,-0.00477488510941649,-0.0294669571257241
"gamma",-0.00477488510941649,0.0127838265720516,0.00246628121065875
"luce",-0.0294669571257241,0.00246628121065875,0.0410857859099645
"alpha",0.0194144716730143,0.000725563933828641,-0.01283023716895
"gamma",0.000725563933828641,0.00697189818548855,0.00687923114499663
"luce",-0.01283023716895,0.00687923114499663,0.0300926708983581
"alpha",0.0241143082952789,0.000334829717162926,-0.0255026413669945
"gamma",0.000334829717162926,0.00336452088190713,0.00136979484150347
"luce",-0.0255026413669945,0.00136979484150347,0.0353667018932132
"alpha",0.0158921124508914,-0.00383064775690367,-0.0180017451450817
"gamma",-0.00383064775690367,0.00851190345211178,0.00286627050364311
"luce",-0.0180017451450817,0.00286627050364311,0.0332563422409963
"alpha",0.0319976610839827,-0.00102089238897389,-0.0341782538914535
"gamma",-0.00102089238897389,0.000907453721087193,0.00265655746841725
"luce",-0.0341782538914535,0.00265655746841725,0.0477092706460006
"alpha",0.0330953089929173,-0.000197417698385761,-0.0223147310960533
"gamma",-0.000197417698385761,0.00748005245129569,0.000143947277414156
"luce",-0.0223147310960533,0.000143947277414156,0.0285967635282936
"alpha",0.0245267322771974,-0.00322567420451075,-0.0270007187655243
"gamma",-0.00322567420451075,0.0110119909388459,0.00164009613562433
"luce",-0.0270007187655243,0.00164009613562433,0.0404002153767782
"alpha",0.0238828017141108,0.000551832726261227,-0.0258137917258854
"gamma",0.000551832726261227,0.0026677823319355,0.000401665766486155
