"","alpha","gamma","luce"
"luce",-0.0110788224075292,-0.000782528032016305,0.0751597536082839
"alpha",0.0605755539844914,-0.0322344011571256,-0.00394958844646668
"gamma",-0.0322344011571256,0.0804502168443725,-0.00380998367937554
"luce",-0.00394958844646668,-0.00380998367937554,0.0844164563072165
"alpha",0.0588483115486218,-0.041274445510606,0.00194335655986351
"gamma",-0.041274445510606,0.101879640844204,-0.00760072967221356
"luce",0.00194335655986351,-0.00760072967221356,0.0850405396154703
"alpha",0.0349077559228772,-0.0179027501655584,-0.00629966556502083
"gamma",-0.0179027501655584,0.0874583133992531,-0.00334968243792301
"luce",-0.00629966556502083,-0.00334968243792301,0.0867057754596212
"alpha",0.0335309102754426,-0.0175489923072377,-0.0127369772399932
"gamma",-0.0175489923072377,0.0323215019739117,-0.00139141754907821
"luce",-0.0127369772399932,-0.00139141754907821,0.0805692965802712
"alpha",0.0280802296972921,-0.0113267702390623,-0.0108190372511071
"gamma",-0.0113267702390623,0.0541006386058906,0.00237719025543375
"luce",-0.0108190372511071,0.00237719025543375,0.0819538117323584
"alpha",0.00735100235228485,-0.00263860433289052,-0.00532328537132711
"gamma",-0.00263860433289052,0.00633647746408794,-0.00272930363928123
"luce",-0.00532328537132711,-0.00272930363928123,0.0764723160016994
"alpha",0.00917753511432627,-0.00340155080752676,-0.014332563059475
"gamma",-0.00340155080752676,0.0146709186969926,0.00509696490887249
"luce",-0.014332563059475,0.00509696490887249,0.0788238352517875
"alpha",0.0566214875432716,-0.0363770986368982,-0.00193796740027991
"gamma",-0.0363770986368982,0.0814637629520363,-0.00488424394691975
"luce",-0.00193796740027991,-0.00488424394691975,0.0803788204236654
"alpha",0.0570921779844763,-0.0389461789586648,-0.000632102905057045
"gamma",-0.0389461789586648,0.095216913561306,-0.00577376691399576
"luce",-0.000632102905057045,-0.00577376691399576,0.0822750940536518
"alpha",0.0381215966983926,-0.0234087032701365,-0.00922431637493495
"gamma",-0.0234087032701365,0.0388755324715587,-0.00450692876340872
"luce",-0.00922431637493495,-0.00450692876340872,0.0827353310805818
"alpha",0.0243956750929722,-0.00395492834204791,-0.0137201358525055
"gamma",-0.00395492834204791,0.0562965370818103,-0.00164641309274091
"luce",-0.0137201358525055,-0.00164641309274091,0.0800811983235528
"alpha",0.0100611339716229,0.00290052554732476,-0.0116184449241546
"gamma",0.00290052554732476,0.0229178057700587,-6.99033128025268e-05
"luce",-0.0116184449241546,-6.99033128025268e-05,0.0779839123822207
"alpha",0.0311154173950876,-0.0191926730734617,-0.00964309317549348
"gamma",-0.0191926730734617,0.0433874296593324,0.000632051974978688
"luce",-0.00964309317549348,0.000632051974978688,0.0754864127525003
"alpha",0.0492377983754949,-0.0229962423839096,-0.00701069398273779
"gamma",-0.0229962423839096,0.0968259177119752,-0.00872353727264576
"luce",-0.00701069398273779,-0.00872353727264576,0.0843072961745971
"alpha",0.00396500368664948,-0.00110573672693464,-0.00341888121911498
"gamma",-0.00110573672693464,0.00865714420428729,0.000680266611903826
"luce",-0.00341888121911498,0.000680266611903826,0.0740901851944551
"alpha",0.0453811807061613,-0.0263354264996228,-0.005593376144111
"gamma",-0.0263354264996228,0.0980776987291362,-0.00431424172007324
"luce",-0.005593376144111,-0.00431424172007324,0.0810516308232124
"alpha",0.0240893779378424,-0.0127254424675175,-0.0129084313830736
"gamma",-0.0127254424675175,0.0171639309061204,-0.00229604433079083
"luce",-0.0129084313830736,-0.00229604433079083,0.0813108862128397
"alpha",0.0408627468898149,-0.0207121180084798,-0.00850575877210813
"gamma",-0.0207121180084798,0.0791933826168321,0.000703056331484297
"luce",-0.00850575877210813,0.000703056331484297,0.0826483840717008
"alpha",0.0385683762118054,-0.0258253110728121,-0.0038843844977731
"gamma",-0.0258253110728121,0.0810173827759308,-0.000893429112857676
"luce",-0.0038843844977731,-0.000893429112857676,0.0826530643788226
"alpha",0.0565020841400676,-0.0336769232244186,-0.00714791086692456
"gamma",-0.0336769232244186,0.0768936202387812,-0.00288929361432853
"luce",-0.00714791086692456,-0.00288929361432853,0.0838290812833056
"alpha",0.010666452139329,-0.00378261873544317,-0.0137543209492502
"gamma",-0.00378261873544317,0.0105982882891479,0.000818263504037849
"luce",-0.0137543209492502,0.000818263504037849,0.0769655183900902
"alpha",0.0081623043909586,-0.00558281436525267,-0.00750162920173021
"gamma",-0.00558281436525267,0.0148538356565175,0.000365416246093393
"luce",-0.00750162920173021,0.000365416246093393,0.0606627930318596
"alpha",0.00927080486612078,-0.00391650152760496,-0.00506519983664277
"gamma",-0.00391650152760496,0.00555446546839251,-0.00323142454440355
"luce",-0.00506519983664277,-0.00323142454440355,0.0679969457871399
"alpha",0.0654424946691843,-0.0443812036969461,-0.00503890834783697
"gamma",-0.0443812036969461,0.101304355176379,-0.000314574751410641
"luce",-0.00503890834783697,-0.000314574751410641,0.081262069086419
"alpha",0.0742619665461684,-0.0348137590687212,-0.00296124537100114
"gamma",-0.0348137590687212,0.0521402996942032,-0.00513412929939015
"luce",-0.00296124537100114,-0.00513412929939015,0.0762593077233152
"alpha",0.0561614234943329,-0.0324555999744303,-0.00353274448205838
"gamma",-0.0324555999744303,0.0833483676032594,-0.00232692406810638
"luce",-0.00353274448205838,-0.00232692406810638,0.0863431797200616
"alpha",0.0541609938190827,-0.0353185054286882,-0.00611274192779426
"gamma",-0.0353185054286882,0.085237559017849,-0.00576093361367247
"luce",-0.00611274192779426,-0.00576093361367247,0.0839134699794411
"alpha",0.032290438903907,-0.00666507243444001,-0.00919583413731768
"gamma",-0.00666507243444001,0.0779453802179712,-0.00320386074778517
"luce",-0.00919583413731768,-0.00320386074778517,0.0860605320817206
"alpha",0.0586144942890678,-0.0297516687686631,-0.00274032008934684
"gamma",-0.0297516687686631,0.0665260866601023,-0.00561731499993692
"luce",-0.00274032008934684,-0.00561731499993692,0.0830091675488662
"alpha",0.0306095003756814,-0.00882457186026253,-0.00925809334654743
"gamma",-0.00882457186026253,0.0766691110602407,0.00109571780542264
"luce",-0.00925809334654743,0.00109571780542264,0.0840791654952672
"alpha",0.00790196701519214,-0.000612546633855152,-0.0104503537860353
"gamma",-0.000612546633855152,0.0161760380399305,0.00225986518802847
"luce",-0.0104503537860353,0.00225986518802847,0.0748811902735467
"alpha",0.00998773528663296,0.00199832196091194,-0.012475650631813
"gamma",0.00199832196091194,0.0166629533109452,0.00196527452591414
"luce",-0.012475650631813,0.00196527452591414,0.0786089130378845
"alpha",0.0565556122637094,-0.035582290165517,0.00068194175478071
"gamma",-0.035582290165517,0.0859252109091749,-0.00676007310421941
"luce",0.00068194175478071,-0.00676007310421941,0.0836681364022102
"alpha",0.0333517794325547,-0.0202626973820715,-0.00649125326287162
"gamma",-0.0202626973820715,0.0862982191802671,0.00305374353542747
"luce",-0.00649125326287162,0.00305374353542747,0.0828079752209811
"alpha",0.0148745691287662,-0.00386245622825193,-0.0137787364832332
"gamma",-0.00386245622825193,0.0377493671891881,0.00383147828880427
"luce",-0.0137787364832332,0.00383147828880427,0.0801181503832276
"alpha",0.0534847902007334,-0.029285922529533,-0.000884979470109719
"gamma",-0.029285922529533,0.0751380032746534,-0.00830688280451892
"luce",-0.000884979470109719,-0.00830688280451892,0.0825217519003416
"alpha",0.0167673669646653,-0.00411934169934325,-0.0127224321974064
"gamma",-0.00411934169934325,0.0465107155842161,0.0013277299038139
"luce",-0.0127224321974064,0.0013277299038139,0.0800429881977236
"alpha",0.0405029322081454,-0.0168832399042148,-0.00869929473387208
"gamma",-0.0168832399042148,0.105980721947836,-0.00334222471291432
"luce",-0.00869929473387208,-0.00334222471291432,0.0825420873900725
"alpha",0.065241814225548,-0.0399396391882371,0.00393553685744931
"gamma",-0.0399396391882371,0.0881287905845827,-0.00945626642073956
"luce",0.00393553685744931,-0.00945626642073956,0.087797925842267
"alpha",0.0132940224010366,-0.00465154172595263,-0.0187947487358487
"gamma",-0.00465154172595263,0.0305774816614659,0.00395220044920277
"luce",-0.0187947487358487,0.00395220044920277,0.0837903777717536
"alpha",0.0529117392955202,-0.0336426300579322,-0.00280505108314802
"gamma",-0.0336426300579322,0.0824178068193984,-0.00480559631290147
"luce",-0.00280505108314802,-0.00480559631290147,0.0830008169751549
"alpha",0.00423204814083245,-0.00225108004768358,-0.00248260644538386
"gamma",-0.00225108004768358,0.0124194061969064,-0.00166766551836719
"luce",-0.00248260644538386,-0.00166766551836719,0.0708123294016177
"alpha",0.0215856548138201,0.00165672410469076,-0.00877209991212004
"gamma",0.00165672410469076,0.0614171256120616,0.00433586700713988
"luce",-0.00877209991212004,0.00433586700713988,0.0829262989315616
"alpha",0.00667330398907098,0.0015904054984391,-0.00586385296059696
"gamma",0.0015904054984391,0.00730366335410019,0.00277438967019387
"luce",-0.00586385296059696,0.00277438967019387,0.0761361791608759
"alpha",0.0179823725337988,-0.00663552822315735,-0.00868794727677183
"gamma",-0.00663552822315735,0.00552621927111852,-0.00228942167495744
"luce",-0.00868794727677183,-0.00228942167495744,0.0739235830186458
"alpha",0.0111832403176612,-0.00678375840423534,-0.01264727883513
"gamma",-0.00678375840423534,0.0176503361733992,0.00166056250845697
"luce",-0.01264727883513,0.00166056250845697,0.0747991487661643
"alpha",0.0350445214579132,-0.0167286963165862,-0.00956845589251278
"gamma",-0.0167286963165862,0.0717902822495884,-0.00184989586096735
"luce",-0.00956845589251278,-0.00184989586096735,0.0859273676627633
"alpha",0.0523685587776201,-0.0290512087437435,-0.00543462977319095
"gamma",-0.0290512087437435,0.0781817397656519,-0.00502140642223424
"luce",-0.00543462977319095,-0.00502140642223424,0.0829916724051723
"alpha",0.00245224871374888,-0.000483324161814858,-0.000439557504751648
"gamma",-0.000483324161814858,0.0067033027627639,0.000582453027891159
"luce",-0.000439557504751648,0.000582453027891159,0.0633737565458548
"alpha",0.0194482001553286,-0.0121720337272751,-0.015813768735115
"gamma",-0.0121720337272751,0.0498743966598044,0.000659107232356134
"luce",-0.015813768735115,0.000659107232356134,0.0814340564794866
"alpha",0.0439794948906033,-0.0223647784654499,-0.00891570467165904
"gamma",-0.0223647784654499,0.0454970810371673,-0.00118181541487256
"luce",-0.00891570467165904,-0.00118181541487256,0.0819395820426197
"alpha",0.0459994847994226,-0.025137092201288,-0.00392443126086756
"gamma",-0.025137092201288,0.0795716295741583,-0.0078528386758197
"luce",-0.00392443126086756,-0.0078528386758197,0.0850002324784788
"alpha",0.0439379039647143,-0.0260182698371836,-0.00876185918848835
"gamma",-0.0260182698371836,0.0662870179120003,0.00234351214727431
"luce",-0.00876185918848835,0.00234351214727431,0.0818993057334697
