"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.00768385943377649,-0.00308168132265564,-0.0280313378802828
"delta",-0.00308168132265564,0.00573045616317599,0.0181258080193618
"lambdaluce",-0.0280313378802828,0.0181258080193618,2.07481446728133
"beta",0.00611267065173063,-0.000435782936493017,-0.0620737448992799
"delta",-0.000435782936493017,0.00307156730875727,0.00955195597203709
"lambdaluce",-0.0620737448992799,0.00955195597203709,0.983341811443684
"beta",0.00611817716997357,-0.00122713215728366,-0.0280421496809682
"delta",-0.00122713215728366,0.00310009445773445,0.0238897547038004
"lambdaluce",-0.0280421496809682,0.0238897547038004,1.64526547912728
"beta",0.00914070927761783,0.000490721893566464,-0.0436029545761764
"delta",0.000490721893566464,0.00546185354809568,0.00321260983424656
"lambdaluce",-0.0436029545761764,0.00321260983424656,0.302233107657515
"beta",0.00698032767152435,-0.00310092733916133,-0.0790520408749121
"delta",-0.00310092733916133,0.0087748021377155,0.0381098230138242
"lambdaluce",-0.0790520408749121,0.0381098230138242,1.33913897966872
"beta",0.00941895827744833,-0.0018916649630601,-0.111068422175291
"delta",-0.0018916649630601,0.00226235710972711,0.0424141680054377
"lambdaluce",-0.111068422175291,0.0424141680054377,2.07349110596774
"beta",0.00608425418852334,0.00111635302064634,-0.0204754100889848
"delta",0.00111635302064634,0.0100198718234734,0.00895966312137299
"lambdaluce",-0.0204754100889848,0.00895966312137299,0.144051340865821
"beta",0.008973501721582,-0.000462887506357152,-0.0290976822538847
"delta",-0.000462887506357152,0.0169952854777674,0.0050303939636542
"lambdaluce",-0.0290976822538847,0.0050303939636542,0.18181873049136
"beta",0.0193746835680995,-4.68479071349271e-05,-0.112330448633024
"delta",-4.68479071349271e-05,0.00309196027183801,-0.000940506412339756
"lambdaluce",-0.112330448633024,-0.000940506412339756,0.976855594876051
"beta",0.0612389191384872,-0.00375464345809012,-0.0988166880305925
"delta",-0.00375464345809012,0.00242282440406927,-0.00320221294262329
"lambdaluce",-0.0988166880305925,-0.00320221294262329,2.03534521647785
"beta",0.0507123704558107,-0.00842051312672129,-0.137244718582949
"delta",-0.00842051312672129,0.00287701396244861,-0.00511320232952845
"lambdaluce",-0.137244718582949,-0.00511320232952845,2.27611227860388
"beta",0.0399683412562198,-0.00604135212287418,-0.0804387168718061
"delta",-0.00604135212287418,0.00425609154649839,0.00607550810536635
"lambdaluce",-0.0804387168718061,0.00607550810536635,1.99568049936659
"beta",0.00663374457691361,-0.00263777421716115,-0.0835519933834778
"delta",-0.00263777421716115,0.0063516777934645,0.0508459290661556
"lambdaluce",-0.0835519933834778,0.0508459290661556,1.83175963578294
"beta",0.0104490691718102,-0.00100696290294566,-0.0886899981410746
"delta",-0.00100696290294566,0.00276466223597311,0.0247825615237892
"lambdaluce",-0.0886899981410746,0.0247825615237892,1.08315865691743
"beta",0.0085306841410543,-0.00351923339112288,-0.0889862141056149
"delta",-0.00351923339112288,0.00794808830556702,0.0377235005191072
"lambdaluce",-0.0889862141056149,0.0377235005191072,1.81226830822488
"beta",0.00847835108112725,-0.00054250043883686,-0.049840055681691
"delta",-0.00054250043883686,0.00341423761933916,0.0097242735969474
"lambdaluce",-0.049840055681691,0.0097242735969474,0.446561360083308
"beta",0.00410080337133063,-0.00232984477810285,-0.042038700107562
"delta",-0.00232984477810285,0.00427003911127333,0.0463002049671365
"lambdaluce",-0.042038700107562,0.0463002049671365,1.93197227018763
"beta",0.00674849305681137,-0.00109476043428461,-0.0313616869916659
"delta",-0.00109476043428461,0.00307179001726411,0.0208140316204888
"lambdaluce",-0.0313616869916659,0.0208140316204888,1.69600157491112
"beta",0.00941339811958901,-0.00364534594441443,-0.115469276153809
"delta",-0.00364534594441443,0.00215458283130874,0.0481613608109365
"lambdaluce",-0.115469276153809,0.0481613608109365,2.15508583359209
"beta",0.0624228535366829,-0.00864093857523696,-0.0991362399872616
"delta",-0.00864093857523696,0.00409983835273186,-0.000788182209102101
"lambdaluce",-0.0991362399872616,-0.000788182209102101,2.08369893748153
"beta",0.00178224587286146,-0.000491346820256024,-0.00861814671314675
"delta",-0.000491346820256024,0.000419695970902962,0.00237420498656624
"lambdaluce",-0.00861814671314675,0.00237420498656624,2.12874759950606
"beta",0.0252083557443634,-0.00468543419904231,-0.149166580597663
"delta",-0.00468543419904231,0.00172215754694748,0.0439446566691973
"lambdaluce",-0.149166580597663,0.0439446566691973,1.90515311895094
"beta",0.0180295411881984,-0.00487489852663984,-0.066462671255509
"delta",-0.00487489852663984,0.00149919441915504,0.0172282005809634
"lambdaluce",-0.066462671255509,0.0172282005809634,2.11715689080271
"beta",0.060595208933612,-0.00286988097287068,-0.102651210864583
"delta",-0.00286988097287068,0.00235889992396341,-0.00399987507224822
"lambdaluce",-0.102651210864583,-0.00399987507224822,2.22463144490927
"beta",0.0399847566271709,-0.0065875918026035,-0.0935039821935704
"delta",-0.0065875918026035,0.0036220187663013,0.0124357412387662
"lambdaluce",-0.0935039821935704,0.0124357412387662,2.29954683242119
"beta",0.0071263168327737,-0.000680785167632612,-0.0592859951707499
"delta",-0.000680785167632612,0.00233498683044899,0.0152249912557189
"lambdaluce",-0.0592859951707499,0.0152249912557189,0.721710752353743
"beta",0.0167525019957232,-0.00453115496863058,-0.055555981971179
"delta",-0.00453115496863058,0.00141084855644939,0.0137843308866957
"lambdaluce",-0.055555981971179,0.0137843308866957,2.05167786699422
"beta",0.0597532769792829,-0.00621674283424324,-0.0972832798140742
"delta",-0.00621674283424324,0.00292551164397283,-0.00898622311394224
"lambdaluce",-0.0972832798140742,-0.00898622311394224,2.09894953560422
"beta",0.0117132426375643,-0.000736252917926861,-0.116868439938796
"delta",-0.000736252917926861,0.00158177216179531,0.00727157384776673
"lambdaluce",-0.116868439938796,0.00727157384776673,1.61335197958398
"beta",0.0404175998413417,-0.00722565844158809,-0.0989792130475756
"delta",-0.00722565844158809,0.00371672921915224,0.0132231106922667
"lambdaluce",-0.0989792130475756,0.0132231106922667,2.13614005665751
"beta",0.00779911221501791,-0.00212165975890957,-0.0505606824532971
"delta",-0.00212165975890957,0.00949686731972629,0.0183323006856546
"lambdaluce",-0.0505606824532971,0.0183323006856546,0.486582793544012
"beta",0.0417851584277564,-0.00551045689826394,-0.0564167055534801
"delta",-0.00551045689826394,0.00122938965546056,0.0215712697474256
"lambdaluce",-0.0564167055534801,0.0215712697474256,2.34680036295018
"beta",0.00682801382585926,-0.0029404695245524,-0.0312401822828672
"delta",-0.0029404695245524,0.00581680005712743,0.0123493192577054
"lambdaluce",-0.0312401822828672,0.0123493192577054,1.99985494644891
"beta",0.040333074302413,-0.00709705611678565,-0.0887514892803985
"delta",-0.00709705611678565,0.00369346190236894,0.00835440602816436
"lambdaluce",-0.0887514892803985,0.00835440602816436,2.21819884943232
"beta",0.00710527072000145,-0.00262689526809931,-0.0170744250792249
"delta",-0.00262689526809931,0.00635141162176974,0.0181492941692776
"lambdaluce",-0.0170744250792249,0.0181492941692776,2.19736629471392
"beta",0.00633987412563515,-0.00145285490763232,-0.0598045090477609
"delta",-0.00145285490763232,0.00967584839047864,0.0351819079342155
"lambdaluce",-0.0598045090477609,0.0351819079342155,1.02178213912726
"beta",0.00808827165736203,-6.2621231836846e-05,-0.0440506699470605
"delta",-6.2621231836846e-05,0.0051337800728697,0.00622094530976499
"lambdaluce",-0.0440506699470605,0.00622094530976499,0.348829289983777
"beta",0.0113546810097221,-0.00586401847516555,-0.0163933828199122
"delta",-0.00586401847516555,0.00567287711106841,-0.0113693152212843
"lambdaluce",-0.0163933828199122,-0.0113693152212843,1.79179002349386
"beta",0.0643984653238176,-0.00201172905534042,-0.0861282756841107
"delta",-0.00201172905534042,0.00134399304932395,-0.00427075182604739
"lambdaluce",-0.0861282756841107,-0.00427075182604739,2.23818416653593
"beta",0.00825614517239424,-0.00431148001392612,-0.0177850299406206
"delta",-0.00431148001392612,0.00429899512960075,-0.00326784274043966
"lambdaluce",-0.0177850299406206,-0.00326784274043966,1.9714927981345
"beta",0.0057431135156221,-0.00278301188158938,-0.0489916218651738
"delta",-0.00278301188158938,0.00414402700677953,0.0168574446013112
"lambdaluce",-0.0489916218651738,0.0168574446013112,1.10541765242476
"beta",0.00846742621400295,-0.00116048619985701,-0.100726484858025
"delta",-0.00116048619985701,0.00230280009799886,0.0319266513019074
"lambdaluce",-0.100726484858025,0.0319266513019074,1.83986502613845
"beta",0.00740351773743902,-0.00207930389642568,-0.049020709643042
"delta",-0.00207930389642568,0.0113778346433028,0.0200685963047114
"lambdaluce",-0.049020709643042,0.0200685963047114,0.5095561710706
"beta",0.00982324406340202,-0.00294648145759517,-0.0777955441775552
"delta",-0.00294648145759517,0.00173110766315843,0.0298764748127475
"lambdaluce",-0.0777955441775552,0.0298764748127475,0.933299136206113
"beta",0.0418598700967459,-0.00686286195665014,-0.113697732706163
"delta",-0.00686286195665014,0.00366017781025634,0.0126327158949744
"lambdaluce",-0.113697732706163,0.0126327158949744,2.21800658892018
"beta",0.00566747332339137,-0.0029632208305842,-0.0821342022927594
"delta",-0.0029632208305842,0.00579312668751321,0.0522921946490246
"lambdaluce",-0.0821342022927594,0.0522921946490246,1.80287628031027
"beta",0.0430996933631225,-0.00762701587289195,-0.0909957411813076
"delta",-0.00762701587289195,0.00408186774734811,0.00978580041461089
"lambdaluce",-0.0909957411813076,0.00978580041461089,2.20765297639679
"beta",0.00634727056194843,-0.00125832461284555,-0.0701808751867284
"delta",-0.00125832461284555,0.00523287517019846,0.0203383531979428
"lambdaluce",-0.0701808751867284,0.0203383531979428,1.26951288346064
"beta",0.0420691502619589,-0.00690243802338886,-0.097604116031079
"delta",-0.00690243802338886,0.00375942001568835,0.00987744873284513
"lambdaluce",-0.097604116031079,0.00987744873284513,2.22826338897232
"beta",0.001421556172811,-0.000411287108603781,-0.0106717879831712
"delta",-0.000411287108603781,0.000364521657551203,0.00462356911113446
"lambdaluce",-0.0106717879831712,0.00462356911113446,2.16449957126042
"beta",0.014488428733185,-0.00149880533464829,-0.0971831156144999
"delta",-0.00149880533464829,0.00174923292211491,0.0127879044094269
"lambdaluce",-0.0971831156144999,0.0127879044094269,0.819856972958028
"beta",0.0189109799929469,-0.000554450912910054,-0.123528185894651
"delta",-0.000554450912910054,0.00498920802369803,0.00758196191599705
"lambdaluce",-0.123528185894651,0.00758196191599705,1.20156353833627
"beta",0.0158777818663598,-0.00527350876246114,-0.109854031042042
"delta",-0.00527350876246114,0.00220117807186834,0.0397511810616366
"lambdaluce",-0.109854031042042,0.0397511810616366,2.23798118060775
"beta",0.00589157156817801,0.00036462388220547,-0.0233308004861219
"delta",0.00036462388220547,0.00799613613145732,0.00744809472016239
"lambdaluce",-0.0233308004861219,0.00744809472016239,0.163610173193841
"beta",0.0574225279991207,-0.00989898794803721,-0.139418881995971
"delta",-0.00989898794803721,0.0028288473754311,-0.00332337455123037
"lambdaluce",-0.139418881995971,-0.00332337455123037,2.23231821825808
"beta",0.0653228034728818,-0.00406031677561744,-0.0994362218014921
"delta",-0.00406031677561744,0.00265234961007471,-0.004478821258482
"lambdaluce",-0.0994362218014921,-0.004478821258482,2.11393766774663
"beta",0.0298894346328667,-0.00436032157194732,-0.1807140895588
"delta",-0.00436032157194732,0.00201779581474335,0.0458071492014843
"lambdaluce",-0.1807140895588,0.0458071492014843,2.13227335955955
"beta",0.00488369097439148,-0.00189119357214703,-0.0763717771107037
"delta",-0.00189119357214703,0.0036295642605464,0.0423616865425324
"lambdaluce",-0.0763717771107037,0.0423616865425324,1.81712985034676
"beta",0.0103740506280256,-0.00379720682165817,-0.0772858439907933
"delta",-0.00379720682165817,0.00155488873706649,0.0284751899374182
"lambdaluce",-0.0772858439907933,0.0284751899374182,2.20524106436883
"beta",0.00705123798200239,-0.00283905458210527,-0.0310338776833051
"delta",-0.00283905458210527,0.00561349392502408,0.0154108566920149
"lambdaluce",-0.0310338776833051,0.0154108566920149,2.17841087242277
"beta",0.00886089615763027,-0.00305286781469981,-0.0219957473731258
"delta",-0.00305286781469981,0.00613963871927749,0.00658903573789348
"lambdaluce",-0.0219957473731258,0.00658903573789348,2.27602897338123
"beta",0.041341243932345,-0.00613016231891673,-0.0903463337003567
"delta",-0.00613016231891673,0.00393965594577949,0.00741480700283935
