"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0249451456334065,0.0048034476373102,0.00819888832804691,0.000224347284314018,0.0195354745447284,-0.00304801856707325
"beta",0.0048034476373102,0.00861611869289696,0.00495955133486845,-0.000899143824015357,-0.0280167737587714,-0.00314610155644506
"gamma",0.00819888832804691,0.00495955133486845,0.0309092336143701,-0.00127554297528074,-0.0118562882898815,-0.000894192155559388
"delta",0.000224347284314018,-0.000899143824015357,-0.00127554297528074,0.00634907404741979,0.00212052719137024,-1.77047440073003e-07
"lambda",0.0195354745447284,-0.0280167737587714,-0.0118562882898815,0.00212052719137024,0.95530678564197,-0.00535141633747681
"luce",-0.00304801856707325,-0.00314610155644506,-0.000894192155559388,-1.77047440073003e-07,-0.00535141633747681,0.0683104365581266
"alpha",0.0127041997317311,0.00547103939502676,0.000833196189743305,0.00345982460979283,0.0186758000189604,-0.0118953778207874
"beta",0.00547103939502676,0.0099220681174102,0.00345299704138422,0.00248703954586663,-0.0518380520431157,-0.00219730740592743
"gamma",0.000833196189743305,0.00345299704138422,0.0145614612991588,9.16989632590205e-05,-0.00900709478301861,-1.5642090120012e-05
"delta",0.00345982460979283,0.00248703954586663,9.16989632590205e-05,0.0126756576885132,-0.00395887852612174,-0.00340130365612197
"lambda",0.0186758000189604,-0.0518380520431157,-0.00900709478301861,-0.00395887852612174,1.2155008642507,-0.0909040796496792
"luce",-0.0118953778207874,-0.00219730740592743,-1.5642090120012e-05,-0.00340130365612197,-0.0909040796496792,0.073179062423297
"alpha",0.0447420874372206,0.000282634377714951,-0.020713311471948,0.000135388281557376,-0.000931242619803471,-0.00633650098886193
"beta",0.000282634377714951,0.00338367301998896,0.000968441563620113,0.00113394824746164,-0.00806788973598336,-0.000102952680245463
"gamma",-0.020713311471948,0.000968441563620113,0.0639839612687291,0.000279370223978093,0.000490413445000698,0.00182749202270946
"delta",0.000135388281557376,0.00113394824746164,0.000279370223978093,0.0125676003012036,0.00695602751377204,-5.10787936515835e-05
"lambda",-0.000931242619803471,-0.00806788973598336,0.000490413445000698,0.00695602751377204,1.17540812995175,-0.0227289117802723
"luce",-0.00633650098886193,-0.000102952680245463,0.00182749202270946,-5.10787936515835e-05,-0.0227289117802723,0.0780745710045457
"alpha",0.0532460619110076,-0.000663594346343931,-0.0322104081870806,0.000890818168568669,0.00839892613721967,-0.00410921282381714
"beta",-0.000663594346343931,0.0199490852827867,0.000530399136455392,0.000690356065104735,-0.049479350324144,-0.00624217786627235
"gamma",-0.0322104081870806,0.000530399136455392,0.0901572486052314,-0.00222194785620414,-0.0147010196719679,-0.00243812098897811
"delta",0.000890818168568669,0.000690356065104735,-0.00222194785620414,0.0323873753876555,0.012269282718735,0.00119641773196708
"lambda",0.00839892613721967,-0.049479350324144,-0.0147010196719679,0.012269282718735,1.21505621629106,-0.0553704689942377
"luce",-0.00410921282381714,-0.00624217786627235,-0.00243812098897811,0.00119641773196708,-0.0553704689942377,0.0763212332403353
"alpha",0.0502173025479805,0.00374662863559759,-0.0232285001161954,0.00431026876297567,0.0132889902749851,-0.00512310589391968
"beta",0.00374662863559759,0.0118409555604917,0.000855627670522109,0.000815845416460354,-0.0418742591520687,-0.00777343787879232
"gamma",-0.0232285001161954,0.000855627670522109,0.0535208131868378,-0.00372057306012658,-0.0128308190819913,-0.00418907101450093
"delta",0.00431026876297567,0.000815845416460354,-0.00372057306012658,0.0278063007619124,0.0127632300474338,0.00211584058295245
"lambda",0.0132889902749851,-0.0418742591520687,-0.0128308190819913,0.0127632300474338,1.17325683538405,-0.00752744653612544
"luce",-0.00512310589391968,-0.00777343787879232,-0.00418907101450093,0.00211584058295245,-0.00752744653612544,0.0691509588879459
"alpha",0.0429209949448088,0.00276628895906527,-0.0153563049373159,0.00627036750570695,-0.0052212407529213,-0.0100710350779236
"beta",0.00276628895906527,0.0757257224947303,0.013508654645288,-0.0308427396611085,-0.0416633969383465,-0.00394740766688599
"gamma",-0.0153563049373159,0.013508654645288,0.0573274835954705,-0.00526655019056279,-0.0215616736503135,-0.00492503710303639
"delta",0.00627036750570695,-0.0308427396611085,-0.00526655019056279,0.061930392679512,-0.0453106474096307,-0.00698973542753103
"lambda",-0.0052212407529213,-0.0416633969383465,-0.0215616736503135,-0.0453106474096307,1.29856592715247,-0.0267490616757902
"luce",-0.0100710350779236,-0.00394740766688599,-0.00492503710303639,-0.00698973542753103,-0.0267490616757902,0.0734757022682844
"alpha",0.0561012556636371,-0.00245550756330259,-0.0269089410146175,0.00250290368795682,-0.00273511154795008,-0.00322995837659329
"beta",-0.00245550756330259,0.0738816890577169,0.00167713409376357,-0.0357769108648767,0.0228857876717137,0.00312216080218807
"gamma",-0.0269089410146175,0.00167713409376357,0.05691578923879,-0.00231182888047462,0.00862164439284101,-0.0029709907369426
"delta",0.00250290368795682,-0.0357769108648767,-0.00231182888047462,0.0615808997093879,-0.0572061559426304,-0.0100482830128238
"lambda",-0.00273511154795008,0.0228857876717137,0.00862164439284101,-0.0572061559426304,1.34897326938988,-0.00226938138760256
"luce",-0.00322995837659329,0.00312216080218807,-0.0029709907369426,-0.0100482830128238,-0.00226938138760256,0.0856566987811064
"alpha",0.0605549960625744,0.000390201487084145,-0.033971311371205,0.00174048050824455,0.00631079817772743,-0.00538193510276617
"beta",0.000390201487084145,0.0641519953529675,0.00148205673222787,-0.030073913294188,-0.0310806875291722,-0.0018222538811346
"gamma",-0.033971311371205,0.00148205673222787,0.0717022620609855,-0.000604908874453953,0.00982252227538237,-0.00415465156135449
"delta",0.00174048050824455,-0.030073913294188,-0.000604908874453953,0.0595503210671098,-0.0742317081061161,-0.0130138297857255
"lambda",0.00631079817772743,-0.0310806875291722,0.00982252227538237,-0.0742317081061161,1.31887046148775,0.000667044486551527
"luce",-0.00538193510276617,-0.0018222538811346,-0.00415465156135449,-0.0130138297857255,0.000667044486551527,0.0815532655062872
"alpha",0.0540194568628188,0.000181730069917183,-0.0231724374030821,0.00575656682719282,-0.0025316913369114,-0.00553020343947559
"beta",0.000181730069917183,0.0503380170946757,0.00280811839577722,-0.0239411203197999,-0.0222063574978753,-0.00439828955500087
"gamma",-0.0231724374030821,0.00280811839577722,0.0651122933502521,-0.00303661639280174,0.0053481315064129,-0.0114769276994202
"delta",0.00575656682719282,-0.0239411203197999,-0.00303661639280174,0.0802283290085698,-0.073227106055287,-0.00752584087131021
"lambda",-0.0025316913369114,-0.0222063574978753,0.0053481315064129,-0.073227106055287,1.26779718231774,-0.0186260845630049
"luce",-0.00553020343947559,-0.00439828955500087,-0.0114769276994202,-0.00752584087131021,-0.0186260845630049,0.0823690805099637
"alpha",0.0545416072007837,0.00113039218004884,-0.0338979020660658,0.00361492289262712,0.0165260049827515,-0.00420322668457281
"beta",0.00113039218004884,0.0247729389534257,0.0034160452990285,-0.00440737868219376,-0.0424823111921933,-0.00670640484504733
"gamma",-0.0338979020660658,0.0034160452990285,0.0937185819221567,-0.00587357442034944,-0.0199631566113425,-0.00466018495030318
