"","Chi-Square","d.f."
"alpha",316.538860047,299
"beta",301.190506892653,299
"gamma",296.784548689459,299
"delta",275.964685774549,299
"lambda",300.437673241067,299
"luce",318.150109402661,299
"covariance matrix",1823.31149577245,1800
