"","Chi-Square","d.f."
"alpha",277.918010058681,299
"beta",302.713673769369,299
"gamma",283.267754699504,299
"delta",292.221693798622,299
"lambda",296.247063713586,299
"luce",322.249066392525,299
"covariance matrix",1772.52544850799,1800
