"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0718360633695553,0.00603356473767241,0.00142123051751977,-0.00128675118960432,0.0180661711186186,0.000156111268342384
"beta",0.00603356473767241,0.0626368059894414,0.012984221391512,-0.00265166475044488,-0.0437252303619209,-0.00780772793037819
"gamma",0.00142123051751977,0.012984221391512,0.0707996434967526,0.00155011940394429,0.0585855344115814,0.0110729570639185
"delta",-0.00128675118960432,-0.00265166475044488,0.00155011940394429,0.0366337802924508,-0.0155338380267137,-0.00578600423282627
"lambda",0.0180661711186186,-0.0437252303619209,0.0585855344115814,-0.0155338380267137,0.987355633194905,-0.0467038172414377
"luce",0.000156111268342384,-0.00780772793037819,0.0110729570639185,-0.00578600423282627,-0.0467038172414377,0.0652824723877992
"alpha",0.053824607019823,0.00440745633953418,0.00822694670679588,0.000145034824961794,0.0218516159461897,0.00173498302452031
"beta",0.00440745633953418,0.0653146533792624,0.00277019788366363,-0.00223114544742237,-0.0958784548214842,-0.00891003841250122
"gamma",0.00822694670679588,0.00277019788366363,0.0502594742280505,0.00632631921546391,0.0472650729228194,0.013073717092039
"delta",0.000145034824961794,-0.00223114544742237,0.00632631921546391,0.0409147084279257,-0.000501408852227633,-0.000706020475690211
"lambda",0.0218516159461897,-0.0958784548214842,0.0472650729228194,-0.000501408852227633,1.06694847068956,-0.0482729668472316
"luce",0.00173498302452031,-0.00891003841250122,0.013073717092039,-0.000706020475690211,-0.0482729668472316,0.0677428563264201
"alpha",0.0703590742106128,0.00359755105808648,0.00569613433158913,0.000405724586662284,0.0237589678395378,-0.01581255430153
"beta",0.00359755105808648,0.0719379102672882,0.00435939436709517,-0.0101554153465455,-0.0664041403711464,-0.00737115141822011
"gamma",0.00569613433158913,0.00435939436709517,0.066153571360086,0.00224112677015385,0.0272483221168958,0.00917744959636628
"delta",0.000405724586662284,-0.0101554153465455,0.00224112677015385,0.050439040363321,-0.0435600386123601,-0.0133575560610417
"lambda",0.0237589678395378,-0.0664041403711464,0.0272483221168958,-0.0435600386123601,1.11255373917117,-0.0676436735980141
"luce",-0.01581255430153,-0.00737115141822011,0.00917744959636628,-0.0133575560610417,-0.0676436735980141,0.0694013910865885
"alpha",0.0482838090686867,0.00343698752954509,-0.00159667659646109,-0.000955598844032685,0.0121040954181098,-0.0193096105641791
"beta",0.00343698752954509,0.0755851591552805,-0.00387445757521446,-0.0167786179322531,0.0132070528193774,-0.00069495224868932
"gamma",-0.00159667659646109,-0.00387445757521446,0.0645364107375098,0.0117252600303694,-0.00975205659163217,0.00128183874056667
"delta",-0.000955598844032685,-0.0167786179322531,0.0117252600303694,0.042163992217008,-0.0941367340986572,-0.0186023866624059
