"","alpha","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"alphaTemp",0.690338116805991,0.154021060357198,0.373248827547258,0.587003880627587,0.694962395313732,0.803582110626055,0.970495212709797
"alphaTemp",0.607759567382828,0.238497661264554,0.0956360642485215,0.439032058746895,0.644973306497285,0.790547259994915,0.979049848482764
"alphaTemp",0.461152081763787,0.170123680091026,0.0980921178692016,0.354090563929371,0.475879762750705,0.584392995840496,0.758069972361069
"alphaTemp",0.438556692133694,0.181540198212799,0.0547215053532359,0.319663201437844,0.463271276631085,0.57329957625944,0.735093724301697
"alphaTemp",0.721039044604655,0.200527491059744,0.218193128373467,0.611508758979416,0.762895091947114,0.873793084046561,0.986384232764897
"alphaTemp",0.448133999818497,0.131574759659794,0.162455496628919,0.366053278972335,0.458122316283559,0.538122535680899,0.683351133084653
"alphaTemp",0.68738486872533,0.16340500422674,0.338020418633296,0.584363377375131,0.695426539519663,0.805759599833046,0.967941236939163
"alphaTemp",0.579610255027377,0.23123746524057,0.117994570679539,0.417775640378045,0.582800930472389,0.763644842622765,0.965217971413615
"alphaTemp",0.597834445491404,0.192899222743396,0.225062543014052,0.458603147224027,0.594639517703358,0.743277748607275,0.955988503036301
"alphaTemp",0.241414743371593,0.136618718824078,0.0161301139066971,0.137249682527662,0.234823211072851,0.330739933167415,0.534566782451084
"alphaTemp",0.776903286005384,0.160346147992549,0.418514024381069,0.673352717933087,0.807708927716402,0.904614096635701,0.991783670114379
"alphaTemp",0.553868525216315,0.231271715174774,0.136470877031592,0.37587465190102,0.543116612377287,0.736128404196427,0.967976649404585
"alphaTemp",0.848137590730421,0.127982421196546,0.516791611232594,0.77707442634258,0.881077156876199,0.950196063211546,0.995859806654524
"alphaTemp",0.867940886251566,0.126018794262355,0.54353492386559,0.810720062685651,0.908050206261108,0.961198287640371,0.995989243972674
"alphaTemp",0.315451867536097,0.148046766019809,0.0370713007234121,0.208227247307033,0.321552048830617,0.42012911931131,0.590162683994179
"alphaTemp",0.393645800866665,0.134332274609146,0.0993769132121074,0.305140122231226,0.403957758762255,0.487893880188402,0.628984431212593
"alphaTemp",0.691912870455636,0.183162195415255,0.301939818339381,0.573024788283683,0.704540364471729,0.832719113699909,0.977383834642822
"alphaTemp",0.134094083756718,0.0962881438814713,0.00612336050356418,0.0573658193267479,0.116999209527152,0.194543299869571,0.355335653391694
"alphaTemp",0.591570951084067,0.220743427851076,0.182192612418983,0.42627790957829,0.581310016138523,0.770337080142846,0.972049509191437
"alphaTemp",0.31800369856877,0.138539503147082,0.0353728016577532,0.219132573523488,0.322687588365957,0.417642073244733,0.575815618552807
"alphaTemp",0.754011677583745,0.17530542153759,0.332592636516868,0.648630465625737,0.783480906813917,0.892562919820947,0.985680197385045
"alphaTemp",0.781056444617659,0.135800165657096,0.483567040885902,0.701612680616866,0.793801170376092,0.880611381755657,0.990086100020053
"alphaTemp",0.538797281713123,0.23126688951701,0.0708876873802935,0.378903911326825,0.543548014843201,0.717359933338662,0.932507685771526
"alphaTemp",0.538993209348477,0.214806512789921,0.149069864726516,0.384386670561243,0.523161490260265,0.691339486204589,0.957786761809345
"alphaTemp",0.660430838321135,0.226487816002155,0.182845910233649,0.511539237950366,0.686616408093257,0.84955283783924,0.98737631766371
"alphaTemp",0.200506883253238,0.119096297100188,0.0125309713106589,0.104955420876895,0.192488773874035,0.281232870836227,0.441104705645597
"alphaTemp",0.529970545165231,0.22638286197725,0.120957984490213,0.360246814667154,0.519253468883636,0.699370349985794,0.950750277466252
"alphaTemp",0.692175442503407,0.208061592401319,0.246684981627691,0.548424507141732,0.72282196895795,0.865684637803396,0.990781019318248
"alphaTemp",0.67201252185836,0.196978261727632,0.27528052725044,0.528770519467374,0.682586244240014,0.836021803974288,0.979391456297093
"alphaTemp",0.0937485780878023,0.0752694825132815,0.00367499260715809,0.0351242211182028,0.0760111180763379,0.134628379822319,0.283901037744661
"alphaTemp",0.270757468946314,0.141152242081615,0.0217955601947851,0.1622145777545,0.273876379049891,0.371542093146978,0.538588920844873
"alphaTemp",0.609113461622874,0.210234331105312,0.192105816423458,0.461211028449438,0.616323079485876,0.769132057345784,0.97076877578275
"alphaTemp",0.514204568191199,0.242087131016386,0.0636022139274502,0.331006404772998,0.500970916229492,0.69972888602191,0.964447559841486
"alphaTemp",0.179841971996442,0.118720757153197,0.00555004714628845,0.0781411945915357,0.167916244031035,0.261276012642991,0.434803358981886
"alphaTemp",0.206489598708519,0.137274738462985,0.00812505087424039,0.0976761189150066,0.186732545812299,0.297349340323857,0.508492406999227
"alphaTemp",0.439957257610096,0.124934672937329,0.168976305422009,0.362862946473152,0.446625637138841,0.524554914617923,0.673669665098463
"alphaTemp",0.69746444997968,0.193157924373326,0.305221862216927,0.553798866548956,0.716759602005589,0.856715936827357,0.986336408429902
"alphaTemp",0.7379787193934,0.165734058348692,0.404190044251928,0.623621886807975,0.751647802684354,0.871320168712772,0.983337054988493
"alphaTemp",0.670768701611816,0.192352864314818,0.286399249673602,0.528079942113851,0.678406536354054,0.831174536366521,0.975265722040125
"alphaTemp",0.284022504706224,0.139635423551461,0.0280715702856811,0.178162394889859,0.284863628403235,0.387420877231579,0.548110113321752
"alphaTemp",0.259043708970471,0.147614592634501,0.0168889319398103,0.137172708062629,0.257193536187261,0.364382857065028,0.552886997543464
"alphaTemp",0.552310846511439,0.217955511836706,0.159090297385313,0.386082592639362,0.540908386457366,0.714652819989168,0.967561560567568
"alphaTemp",0.550591878212719,0.192566244494302,0.157747281912098,0.420095055732412,0.551414688529966,0.688476428626955,0.901704994172545
"alphaTemp",0.791285435984046,0.143473490229851,0.467878671969643,0.70661163639208,0.812176739405073,0.903978640211787,0.990092544979515
"alphaTemp",0.369810074475391,0.177719775225304,0.0401056349037123,0.243688206445806,0.365907779181907,0.499157379940949,0.717115002990639
"alphaTemp",0.253500420477958,0.147773072438665,0.0122475826636188,0.13820207015368,0.242828991279315,0.360476149537352,0.544522601739394
"alphaTemp",0.641930757450812,0.184569442075702,0.258569788879529,0.513769618317092,0.651406915265182,0.788434043518814,0.941955749889986
"alphaTemp",0.411135629390843,0.191833894918028,0.0408682058405286,0.277865469507213,0.411368215146753,0.549648211872143,0.777247982650591
"alphaTemp",0.656074862206524,0.194405143300709,0.254311178182493,0.521855319003844,0.666134103596604,0.810536783539324,0.967160443896726
"alphaTemp",0.180345286099758,0.128050291764546,0.010946271587364,0.0738848071080269,0.156598511371587,0.261407028934813,0.47018031317354
"alphaTemp",0.268890678908857,0.142302851472412,0.0189072663565451,0.159679626319549,0.270789160591157,0.371172221054531,0.543153990795621
"alphaTemp",0.276220179421693,0.140563844908664,0.0240883475493821,0.175556303104142,0.267196445446072,0.36954418711309,0.562220416597761
"alphaTemp",0.659926901454061,0.196632674426805,0.246161447570284,0.525058985105889,0.676061934427487,0.815480025782175,0.973063880393089
"alphaTemp",0.782794047471598,0.143534050356896,0.470699878994345,0.690325558902293,0.8006212364995,0.898289083604396,0.988600172075038
"alphaTemp",0.678735096421774,0.187920608627148,0.288777189936352,0.549369508202228,0.692639905136855,0.823258018046131,0.983149770056227
"alphaTemp",0.286704141849071,0.13266563283647,0.0328664954089509,0.191861755955998,0.291548073563132,0.384297577062753,0.534538342262943
"alphaTemp",0.347706885331977,0.165920836034778,0.0293365531707045,0.227695633579027,0.358090991093033,0.469697840768451,0.649516961431902
"alphaTemp",0.266171337148742,0.150081986915755,0.0241397798082987,0.149348650234373,0.254676215964878,0.36679722751705,0.588326047596444
