"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0237224870335557,0.00327324555268335,-0.00176725061310159,0.000947526465199673,0.0320735568015496,-0.00826254052414889
"beta",0.00327324555268335,0.00572470150568022,-0.000597962941477462,-0.00209706334034662,-0.0109330358526253,-0.000567700620636991
"gamma",-0.00176725061310159,-0.000597962941477462,0.0140469847222967,0.000118424529139019,-0.00151911734497016,0.00209017374771816
"delta",0.000947526465199673,-0.00209706334034662,0.000118424529139019,0.00523966366800983,0.0036669345604975,0.000296107236854637
"lambda",0.0320735568015496,-0.0109330358526253,-0.00151911734497016,0.0036669345604975,1.01907129828665,-0.0183395111609685
"luce",-0.00826254052414889,-0.000567700620636991,0.00209017374771816,0.000296107236854637,-0.0183395111609685,0.0761210302028596
"alpha",0.056881134428662,0.000986531407934077,0.00622920161268997,0.000439473166638478,0.0206356924178353,-0.00661018060670223
"beta",0.000986531407934077,0.00988287803980457,-0.000382986450644614,-0.00246999203790744,-0.0136313456937371,-0.000315640959865851
"gamma",0.00622920161268997,-0.000382986450644614,0.0187766343429507,-0.000220980379724692,-0.00440310421596624,0.00433149253786506
"delta",0.000439473166638478,-0.00246999203790744,-0.000220980379724692,0.00642742947802472,0.00528463305293714,0.000533260052634279
"lambda",0.0206356924178353,-0.0136313456937371,-0.00440310421596624,0.00528463305293714,1.26463295521884,-0.00441667276999518
"luce",-0.00661018060670223,-0.000315640959865851,0.00433149253786506,0.000533260052634279,-0.00441667276999518,0.0800325357297051
"alpha",0.0289420665277137,0.00170566282171427,0.00998210170918232,-0.000471923966612227,0.0059339198758077,-0.0115792443630929
"beta",0.00170566282171427,0.00986436122084429,0.000642575764459883,-0.00274707247114889,-0.0120040732162199,-0.000934336743731099
"gamma",0.00998210170918232,0.000642575764459883,0.0335277742137741,-0.000284652093007935,-0.00391161763332172,0.00421292163416965
"delta",-0.000471923966612227,-0.00274707247114889,-0.000284652093007935,0.00650880575186284,0.00483647673926796,0.000365105166869922
"lambda",0.0059339198758077,-0.0120040732162199,-0.00391161763332172,0.00483647673926796,1.3098331542211,-0.0179533490736491
"luce",-0.0115792443630929,-0.000934336743731099,0.00421292163416965,0.000365105166869922,-0.0179533490736491,0.0812011140807777
"alpha",0.0329568435671425,0.00136732037102993,0.0103210182169801,0.00131961226576993,0.0164933455811761,-0.0135237204783455
"beta",0.00136732037102993,0.00914855159156206,-0.000332615905961465,-0.00201511723114275,-0.0353305749456673,-0.00427816519624117
"gamma",0.0103210182169801,-0.000332615905961465,0.0326238343308294,0.00128515630077094,0.00469255084130239,0.00128857365219946
"delta",0.00131961226576993,-0.00201511723114275,0.00128515630077094,0.0547973546301547,0.0253031576939887,0.0017669105241545
"lambda",0.0164933455811761,-0.0353305749456673,0.00469255084130239,0.0253031576939887,0.899468503515099,-0.0448032299818962
"luce",-0.0135237204783455,-0.00427816519624117,0.00128857365219946,0.0017669105241545,-0.0448032299818962,0.0432596451579964
"alpha",0.0402112746707156,0.0129316839978118,0.00815777654592884,-0.0039956504415214,0.0184302063914242,-0.0013800009322002
"beta",0.0129316839978118,0.0298960654810895,0.00394296427034391,-0.0100990919321625,-0.0439131609874583,0.000414012385721708
"gamma",0.00815777654592884,0.00394296427034391,0.027064673609558,-0.00213682747925132,0.00171645428621496,0.00450125614761559
"delta",-0.0039956504415214,-0.0100990919321625,-0.00213682747925132,0.0130244462584369,0.00896730722227966,-0.00116652212498745
"lambda",0.0184302063914242,-0.0439131609874583,0.00171645428621496,0.00896730722227966,1.17038870742087,-0.00146233553802603
"luce",-0.0013800009322002,0.000414012385721708,0.00450125614761559,-0.00116652212498745,-0.00146233553802603,0.0776267429899835
"alpha",0.0173119173795327,0.00273298543368232,-0.00131879694933928,0.00122408573492827,0.012354092860253,-0.0138238894507357
"beta",0.00273298543368232,0.0154478521913751,-0.000967587555436478,-0.00171625116476827,-0.0582019623041992,-0.0100203814139511
"gamma",-0.00131879694933928,-0.000967587555436478,0.0207763524571672,0.000427557713923217,-0.00440508543288527,0.0024977228455038
"delta",0.00122408573492827,-0.00171625116476827,0.000427557713923217,0.033827243348164,0.0102599813471023,0.00163246999351608
"lambda",0.012354092860253,-0.0582019623041992,-0.00440508543288527,0.0102599813471023,1.13538474811045,-0.0429950153170566
"luce",-0.0138238894507357,-0.0100203814139511,0.0024977228455038,0.00163246999351608,-0.0429950153170566,0.075542271129267
"alpha",0.026701195406341,0.00267163485159003,0.00279901246410066,0.0056147280492639,0.0188633700224708,-0.0135612281152842
"beta",0.00267163485159003,0.0176760934158378,5.84256615301339e-06,-0.00169898400215373,-0.058176527756277,-0.00544332679626984
"gamma",0.00279901246410066,5.84256615301339e-06,0.0128672867551842,0.00254208774991938,-0.00113160313917715,0.000821555510227433
"delta",0.0056147280492639,-0.00169898400215373,0.00254208774991938,0.0363069267713646,0.00680359113368703,-0.00178877960556332
"lambda",0.0188633700224708,-0.058176527756277,-0.00113160313917715,0.00680359113368703,0.992304998270239,-0.0393283094139178
"luce",-0.0135612281152842,-0.00544332679626984,0.000821555510227433,-0.00178877960556332,-0.0393283094139178,0.0369638388579131
"alpha",0.0534707653308837,0.00188347573405738,-0.0121993981790032,0.00112554714623292,0.00260816381916115,-0.0158387224850378
"beta",0.00188347573405738,0.00889035074843785,0.000427125452055728,-0.000331592977497134,-0.0369063600285607,-0.00563701770027201
"gamma",-0.0121993981790032,0.000427125452055728,0.015855337153544,0.00124476656356193,0.00147469344179488,-0.00114541623742928
"delta",0.00112554714623292,-0.000331592977497134,0.00124476656356193,0.0328016517613963,0.0277197002503025,0.00366906988079958
"lambda",0.00260816381916115,-0.0369063600285607,0.00147469344179488,0.0277197002503025,0.967986644516617,-0.0712870618861995
"luce",-0.0158387224850378,-0.00563701770027201,-0.00114541623742928,0.00366906988079958,-0.0712870618861995,0.078137565325175
"alpha",0.0372101101350062,0.000721353526311347,-0.00764566212542506,0.00134174334813237,0.000357276014633818,-0.014933529669251
"beta",0.000721353526311347,0.0664236611516765,-0.00238009322621247,-0.0158359800755472,-0.0445845809217341,-0.00632663140657458
"gamma",-0.00764566212542506,-0.00238009322621247,0.0115333723986509,0.00250358206737004,-2.109174073074e-05,0.00179808784945821
"delta",0.00134174334813237,-0.0158359800755472,0.00250358206737004,0.0158150986210364,-0.00673864821252696,-0.0015160712839017
"lambda",0.000357276014633818,-0.0445845809217341,-2.109174073074e-05,-0.00673864821252696,1.23493532253582,-0.0177828408362437
"luce",-0.014933529669251,-0.00632663140657458,0.00179808784945821,-0.0015160712839017,-0.0177828408362437,0.0785138520574031
