"","Chi-Square","d.f."
"alpha",290.965677323119,299
"beta",288.431865663195,299
"gamma",364.42766793842,299
"delta",296.16446042059,299
"lambda",308.333043836085,299
"luce",326.955024348013,299
"covariance matrix",1848.48578798343,1800
