"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.0169765470311337,-0.000646837739628664,-0.0189231599859056
"delta",-0.000646837739628664,0.00339463076864757,0.0185976814929378
"lambdaluce",-0.0189231599859056,0.0185976814929378,1.46872714580296
"beta",0.00848112731066184,-0.00259250108664441,-0.0107962807254023
"delta",-0.00259250108664441,0.00597311925679246,0.0044837767438581
"lambdaluce",-0.0107962807254023,0.0044837767438581,2.1589028611363
"beta",0.00882310445844452,-0.00230351181345982,-0.00533498272636421
"delta",-0.00230351181345982,0.00642842935358406,0.00837944535194252
"lambdaluce",-0.00533498272636421,0.00837944535194252,2.22287765229799
"beta",0.0114809941340932,0.000237935772483685,-0.0535334883987107
"delta",0.000237935772483685,0.0104322268994795,0.00773487578448854
"lambdaluce",-0.0535334883987107,0.00773487578448854,0.560942305570567
"beta",0.0108150790935925,-0.00586991028318965,-0.0853268919185338
"delta",-0.00586991028318965,0.0135169556230513,0.0403655163528992
"lambdaluce",-0.0853268919185338,0.0403655163528992,1.99142171417836
"beta",0.0446238261362705,-0.00644892393042524,-0.0994725145986824
"delta",-0.00644892393042524,0.00343639003940066,0.0365220317407113
"lambdaluce",-0.0994725145986824,0.0365220317407113,2.20005986490786
"beta",0.0146799400079781,0.00100884530736891,-0.0615460133126751
"delta",0.00100884530736891,0.010593225180715,0.00920827594421672
"lambdaluce",-0.0615460133126751,0.00920827594421672,0.518233411316668
"beta",0.0170609726488301,-0.000848299698498715,-0.0665681339643335
"delta",-0.000848299698498715,0.0171991468020405,0.00742012036149232
"lambdaluce",-0.0665681339643335,0.00742012036149232,0.592046392298885
"beta",0.0170326235279074,-0.000718871591362578,-0.0761273969424135
"delta",-0.000718871591362578,0.0061817196391527,0.00184607507692888
"lambdaluce",-0.0761273969424135,0.00184607507692888,0.772714267668302
"beta",0.0524340077424266,-0.0118849427440401,-0.1216536598191
"delta",-0.0118849427440401,0.0093884904666897,0.000937342036942718
"lambdaluce",-0.1216536598191,0.000937342036942718,2.1132711947353
"beta",0.0541596357238674,-0.0107186020892369,-0.120924122026741
"delta",-0.0107186020892369,0.00604338144137982,-0.00467412316452031
"lambdaluce",-0.120924122026741,-0.00467412316452031,2.12674961488275
