"","beta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"betaTemp",0.935476373401962,0.0465064396633541,0.830234506856288,0.905474592376712,0.943727652510296,0.973097799464572,0.997410990597585
"betaTemp",0.542261517835246,0.0811607945612912,0.394917273884176,0.484691669108038,0.536562771368931,0.599186620265962,0.713237889012115
"betaTemp",0.968574657199547,0.0298152801750245,0.893271852378735,0.956332503087649,0.977263406147236,0.990101772898796,0.999101538886903
"betaTemp",0.31116533424204,0.266676171470593,0.00888472103972774,0.0897272765776515,0.232901300445757,0.482350076843793,0.924903432155207
"betaTemp",0.463502891762037,0.0847735299110033,0.315161469016908,0.401468740419482,0.457092016930374,0.517239489952455,0.647996358703827
"betaTemp",0.584950535344153,0.245512623654505,0.130173525821768,0.392023721381385,0.574666958781056,0.798119885629628,0.981213173370005
"betaTemp",0.34260696017829,0.286408510986224,0.00974183928729958,0.0969504023321879,0.241796917485452,0.571324246986783,0.934926565649124
"betaTemp",0.294424101040432,0.240510390224692,0.00601874578489963,0.0994364218854468,0.226858968293666,0.438795204648252,0.873701031801765
"betaTemp",0.282212541543583,0.146836355620026,0.0437846630982815,0.186144336225094,0.271254101648643,0.354040917818266,0.706388865597626
"betaTemp",0.421627719308654,0.286418685387514,0.0152292489739938,0.169738478882212,0.385638760686178,0.659251844218514,0.955906779282544
"betaTemp",0.240601347797994,0.129977852230902,0.0473548287524698,0.148143653867552,0.218709708002891,0.3060096418934,0.554503081087709
"betaTemp",0.563291181514185,0.123044255503158,0.341260409107653,0.477938356806196,0.560109981374937,0.643136785566609,0.823888932472134
"betaTemp",0.633191984559337,0.0865149040394718,0.468547937178803,0.573971472797144,0.635314811387442,0.692954305988198,0.79939533419874
"betaTemp",0.279234730462355,0.12836954508568,0.0627562896315765,0.189729625085837,0.268751901888305,0.351270687431415,0.573024307447182
"betaTemp",0.741605660188973,0.0785950274801976,0.587872534466355,0.686800406591506,0.741708904947838,0.797111924815235,0.900738799923026
"betaTemp",0.335383458908643,0.267185887167524,0.0131125817618369,0.113670607851053,0.258556263313775,0.525189637387757,0.935458690160344
"betaTemp",0.686934303138281,0.0768531256370147,0.541353114449616,0.634181957276733,0.685390679087142,0.738390134701478,0.839491723953988
"betaTemp",0.953659854982484,0.0379830237696708,0.858376049501546,0.934595062283504,0.962950167263062,0.982258907517078,0.998152494929841
"betaTemp",0.473861310148898,0.0889958827996769,0.304474805684353,0.410614430527735,0.471475862126807,0.533318696256685,0.657153809437941
"betaTemp",0.425490344109205,0.20133899058713,0.103082263455983,0.279096008128322,0.397359504900286,0.542383562686878,0.894531454606024
"betaTemp",0.924072759582181,0.046375327142111,0.812637925978303,0.897687416913009,0.931707961723944,0.958825690494361,0.99108954239888
"betaTemp",0.325292808605258,0.0785485295700072,0.198786973567449,0.268688365537976,0.314246560344692,0.369872895405594,0.514476007034719
