"","beta","delta","lambdaluce"
"lambdaluce",-0.0212188332655695,0.0030627750654116,0.263453376829863
"beta",0.00376171598170484,-0.00114091110385854,-0.037220759343973
"delta",-0.00114091110385854,0.00223670131912363,0.0123921845466373
"lambdaluce",-0.037220759343973,0.0123921845466373,1.51362030729009
"beta",0.0177656184234994,-0.00650776959486484,-0.0572568536872767
"delta",-0.00650776959486484,0.00422798362489245,-0.0161814150036355
"lambdaluce",-0.0572568536872767,-0.0161814150036355,1.63842440325408
"beta",0.0055692946599796,-0.00125000052967732,-0.05032530340747
"delta",-0.00125000052967732,0.00257655816989611,0.00989710502856989
"lambdaluce",-0.05032530340747,0.00989710502856989,0.810070990310224
"beta",0.077272774390352,-0.023796504941658,0.0697539233464833
"delta",-0.023796504941658,0.0407768453040434,-0.115252233441654
"lambdaluce",0.0697539233464833,-0.115252233441654,2.21258598338942
"beta",0.0467062262480116,-0.0338215180096111,0.0606107087405715
"delta",-0.0338215180096111,0.107457588256462,-0.189818870990784
"lambdaluce",0.0606107087405715,-0.189818870990784,1.53382711170736
"beta",0.0016536594860087,-0.000249928280818902,-0.00629240008384662
"delta",-0.000249928280818902,0.000637641317185344,-0.000409320802834518
"lambdaluce",-0.00629240008384662,-0.000409320802834518,0.488858616956761
"beta",0.0388767905992318,-0.0206801306512707,-0.0148414060735631
"delta",-0.0206801306512707,0.0401136033464882,-0.0721668903307829
"lambdaluce",-0.0148414060735631,-0.0721668903307829,1.76754815731398
"beta",0.0046874760742043,-0.00119497462226694,-0.0643837532083122
"delta",-0.00119497462226694,0.00155130649056876,0.0116742154080889
"lambdaluce",-0.0643837532083122,0.0116742154080889,1.5689357419499
"beta",0.00836179254643895,-0.00139658329564276,-0.0519351610304732
"delta",-0.00139658329564276,0.00292901331240212,0.00643191928085525
"lambdaluce",-0.0519351610304732,0.00643191928085525,0.432632951914175
"beta",0.043159746451481,-0.0189800846621969,-0.0862641754551285
"delta",-0.0189800846621969,0.0156330081029281,-0.00363151500325782
"lambdaluce",-0.0862641754551285,-0.00363151500325782,1.76693605213863
"beta",0.00873183281922683,-0.0038443878638509,-0.0974350298756817
"delta",-0.0038443878638509,0.0171615326942685,0.0402176920310501
"lambdaluce",-0.0974350298756817,0.0402176920310501,1.55678407321999
"beta",0.0134082247752578,-0.00488549396004767,-0.122200962808641
"delta",-0.00488549396004767,0.00901856022933228,0.0389151171166734
"lambdaluce",-0.122200962808641,0.0389151171166734,1.47161394983299
"beta",0.0154144497329085,-0.0045317067054758,-0.00141853513075134
"delta",-0.0045317067054758,0.00265582070642349,-0.0363638197039895
"lambdaluce",-0.00141853513075134,-0.0363638197039895,1.66850109726493
"beta",0.007565546087025,-0.00261653705352533,-0.10523751602843
"delta",-0.00261653705352533,0.00879915316257557,0.0340478374201167
"lambdaluce",-0.10523751602843,0.0340478374201167,1.8996538067089
"beta",0.00404432532280427,-0.00139279700741516,-0.0120751819677007
"delta",-0.00139279700741516,0.00109018168650263,-0.0153515542256943
"lambdaluce",-0.0120751819677007,-0.0153515542256943,1.33575051086208
"beta",0.00637770896554234,-0.00238619844502342,-0.0874577286664761
"delta",-0.00238619844502342,0.015550830722503,0.0415471496118609
"lambdaluce",-0.0874577286664761,0.0415471496118609,1.89811433113828
"beta",0.00215873514975673,-0.000833022813786335,-0.0198707269551743
"delta",-0.000833022813786335,0.000623676114894057,0.00433089193083828
"lambdaluce",-0.0198707269551743,0.00433089193083828,1.1735390752243
"beta",0.00237770001947519,-0.000356961878427864,-0.019171476856019
"delta",-0.000356961878427864,0.000218753996986406,0.0011024777087273
"lambdaluce",-0.019171476856019,0.0011024777087273,0.647076939041432
"beta",0.042404898228279,-0.0168256279373934,-0.0562143359641488
"delta",-0.0168256279373934,0.0143631571115747,-0.029675503217041
"lambdaluce",-0.0562143359641488,-0.029675503217041,1.5492118926726
"beta",0.035095223090846,-0.0159312115344168,-0.0626049687497495
"delta",-0.0159312115344168,0.0230346182366536,-0.0387998764580009
"lambdaluce",-0.0626049687497495,-0.0387998764580009,1.9153177582446
"beta",0.00311655391551984,-0.000723862512906802,-0.0501691820403305
"delta",-0.000723862512906802,0.000370123064522306,0.00998064228027382
"lambdaluce",-0.0501691820403305,0.00998064228027382,1.42526883158777
"beta",0.0798133646714221,-0.0272614375642695,0.0527641359018488
"delta",-0.0272614375642695,0.0451124976901735,-0.0936926060560963
"lambdaluce",0.0527641359018488,-0.0936926060560963,1.94516226750568
"beta",0.050494899174245,-0.0100816497394381,-0.0307233450669218
"delta",-0.0100816497394381,0.00348384129930973,-0.0270525982401128
"lambdaluce",-0.0307233450669218,-0.0270525982401128,1.99457839796925
"beta",0.0747192517960066,-0.0321919028622176,0.0785749025547569
"delta",-0.0321919028622176,0.0470485263202718,-0.0981560508781964
"lambdaluce",0.0785749025547569,-0.0981560508781964,2.23704369760271
"beta",0.00986040091716339,-0.00388134138681868,-0.0739151769641366
"delta",-0.00388134138681868,0.00316160485280949,0.00260760099882241
"lambdaluce",-0.0739151769641366,0.00260760099882241,1.50588695992036
"beta",0.00590263611315607,-0.00218437373310947,-0.0908264710367902
"delta",-0.00218437373310947,0.00825333510755088,0.0257753163083223
"lambdaluce",-0.0908264710367902,0.0257753163083223,1.77789957160495
"beta",0.00753815375766857,-0.00178892118485765,-0.0403203861897945
"delta",-0.00178892118485765,0.00105265731505359,0.00878924275533895
"lambdaluce",-0.0403203861897945,0.00878924275533895,0.291353532792342
"beta",0.00288315962959854,-0.00078751055664699,-0.017891440177678
"delta",-0.00078751055664699,0.00153995675394208,0.00301318088179269
"lambdaluce",-0.017891440177678,0.00301318088179269,0.672602362025532
"beta",0.00735496636195274,-0.000650874822284737,-0.0671417180097829
"delta",-0.000650874822284737,0.00207927478204574,0.00568353239074586
"lambdaluce",-0.0671417180097829,0.00568353239074586,0.834397445246229
"beta",0.0025249888996963,-0.0011885763935479,-0.0162769873962653
"delta",-0.0011885763935479,0.00128082660735379,0.00331708379040585
"lambdaluce",-0.0162769873962653,0.00331708379040585,0.816054802371639
"beta",0.00569122185695644,-0.00161379301927995,-0.0229933028207703
"delta",-0.00161379301927995,0.00133522662805873,-0.0208146643250305
"lambdaluce",-0.0229933028207703,-0.0208146643250305,1.37917989583801
"beta",0.00529618320310919,-0.00114491501810097,-0.0586082448250066
"delta",-0.00114491501810097,0.000604295548836147,0.00942851165260157
"lambdaluce",-0.0586082448250066,0.00942851165260157,1.04068893627044
"beta",0.00933788821401351,-0.00412761019662236,-0.10383619035482
"delta",-0.00412761019662236,0.00474951536844978,0.0415559544708444
"lambdaluce",-0.10383619035482,0.0415559544708444,1.57987034414064
"beta",0.0142080283590149,-0.00844887814641464,-0.0514358876556388
"delta",-0.00844887814641464,0.0420951590636001,0.00834217568073114
"lambdaluce",-0.0514358876556388,0.00834217568073114,1.26994430741184
"beta",0.0311259759247924,-0.0101512188197193,-0.0715406961785919
"delta",-0.0101512188197193,0.00736232282440607,-0.0225027062032304
"lambdaluce",-0.0715406961785919,-0.0225027062032304,1.80153879904853
"beta",0.00590199167952924,-0.00146780098364753,-0.0896471477558359
"delta",-0.00146780098364753,0.00461185063959159,0.0150041197654472
"lambdaluce",-0.0896471477558359,0.0150041197654472,1.73898479001397
"beta",0.00997232345397561,-0.00420903038446154,-0.116305640757698
"delta",-0.00420903038446154,0.00746238815582809,0.0464156029301529
"lambdaluce",-0.116305640757698,0.0464156029301529,1.74140254352768
"beta",0.00464690878836236,-0.000865930586977048,-0.0484028057832616
"delta",-0.000865930586977048,0.00174676617820922,0.00550724221383029
"lambdaluce",-0.0484028057832616,0.00550724221383029,1.42963252956646
"beta",0.0284599196446943,-0.0135796777070923,-0.0620826464930776
"delta",-0.0135796777070923,0.0405611684253739,-0.0719095735507174
