"","delta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"deltaTemp",0.760169490789225,0.0878410046212472,0.615692975831555,0.697054056443606,0.749632373449524,0.816152668279062,0.955078668615084
"deltaTemp",0.840562361258004,0.111689179385125,0.590314015070897,0.768776698732891,0.859344937963376,0.932515620496109,0.990940872545757
"deltaTemp",0.85706928115157,0.0674247105280572,0.731898208579811,0.808772592161891,0.855298915692798,0.903911124079508,0.9856110769588
"deltaTemp",0.338244638755182,0.251917934055645,0.0151484705310363,0.127691560220826,0.270356497666477,0.521065880846689,0.90611333310393
"deltaTemp",0.902492403452452,0.103413274760422,0.6895342570983,0.864598882428599,0.926341548349695,0.967515872326078,0.996426567334434
"deltaTemp",0.398827236872594,0.215733681637964,0.0698040365733484,0.214292517382436,0.38754953090407,0.539728784846179,0.898516459315488
"deltaTemp",0.265175249655045,0.24604211328148,0.0100503162415599,0.0911488811257955,0.167821456893495,0.366498193478978,0.911846069750793
"deltaTemp",0.53345590467291,0.301743686579574,0.0200477903388327,0.257938626696859,0.584055312043802,0.786990470185078,0.981654668725418
"deltaTemp",0.359937685035863,0.272355335797586,0.0152964068752843,0.125927090768489,0.2832213451099,0.575770329137566,0.928432898460018
"deltaTemp",0.249012599767546,0.206878912842979,0.0140291412039705,0.108885484870339,0.182107402373687,0.332502987230957,0.848373634213427
"deltaTemp",0.478643672091698,0.236080247256786,0.0792237222417844,0.296748922981645,0.477666743249218,0.641219395264645,0.958072916782462
"deltaTemp",0.34899232058709,0.133985734503309,0.146037158151542,0.248551199722854,0.337390399414152,0.429410881998571,0.64419213683495
"deltaTemp",0.578141852937115,0.0654567822811105,0.488391708622882,0.531853165508286,0.562833893036296,0.610743765296754,0.751507420133691
"deltaTemp",0.35913139189891,0.252990900107099,0.0188023494289879,0.156876447556333,0.294272940683876,0.529352350329787,0.937238622465697
"deltaTemp",0.807003340264989,0.0973013269950456,0.626700785702429,0.733270173026319,0.802347683357925,0.881197294727603,0.983426075266888
"deltaTemp",0.57024876710397,0.295078494087838,0.0307708394446916,0.317526247204309,0.625282313787952,0.830231718632854,0.981982841117635
"deltaTemp",0.758232365405786,0.11591464127426,0.555617973183483,0.668166961256159,0.745524072216314,0.846854625377817,0.9763408610233
"deltaTemp",0.907607553565681,0.0694151661452216,0.751709633126525,0.864804878865381,0.921581650455351,0.963921481715269,0.996121052129876
"deltaTemp",0.608395322329934,0.162336636044255,0.28155245965765,0.501536200186769,0.603858882026832,0.711879051756289,0.949792115968592
"deltaTemp",0.29380582803089,0.117562327272099,0.129179243461632,0.205798283625366,0.275383565251555,0.361754710195594,0.56025857148823
"deltaTemp",0.605976460090622,0.0920024646547215,0.508810047419806,0.545165189943794,0.575527259659006,0.636299728120093,0.876156266842235
"deltaTemp",0.458779873678933,0.195607857828803,0.131024260976845,0.315891328732897,0.451207784233594,0.580852535109003,0.893329440367017
"deltaTemp",0.392026957926355,0.0602291237103727,0.25203781835413,0.358072007774727,0.3960728546503,0.431646400647094,0.498936850645804
"deltaTemp",0.252175498208523,0.245215171142539,0.0101025796001369,0.0787386496080853,0.157771940173956,0.356830978617068,0.91667155269687
