"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.0150946086819254,-0.004255718456775,-0.0331076266605746
"delta",-0.004255718456775,0.00771604209286996,-0.0151209365133216
"lambdaluce",-0.0331076266605746,-0.0151209365133216,1.99056618684997
"beta",0.0123728505781421,-0.00108711886187992,-0.109244478714399
"delta",-0.00108711886187992,0.0124744727917227,0.0148758744061832
"lambdaluce",-0.109244478714399,0.0148758744061832,1.79698543556758
"beta",0.010712872038316,-0.00158395955952034,-0.0344583639077321
"delta",-0.00158395955952034,0.0045460915897923,0.00726572512906826
"lambdaluce",-0.0344583639077321,0.00726572512906826,1.65695716324808
"beta",0.0665235150677567,-0.035442617143909,-0.0551905753090208
"delta",-0.035442617143909,0.0634626454988642,-0.0143386054961188
"lambdaluce",-0.0551905753090208,-0.0143386054961188,1.88010862610364
"beta",0.0194054497363419,0.00146977191443076,-0.125123815891972
"delta",0.00146977191443076,0.0106943053966746,0.00303147212227973
"lambdaluce",-0.125123815891972,0.00303147212227973,1.70043370967663
"beta",0.052875256840606,-0.0291391916982245,-0.0382897726216377
"delta",-0.0291391916982245,0.0465410213930704,-0.00855460898906025
"lambdaluce",-0.0382897726216377,-0.00855460898906025,2.05534374297528
"beta",0.0700631666221698,-0.033727775041257,0.00702456408906202
"delta",-0.033727775041257,0.0605367215080168,-0.0880643208304348
"lambdaluce",0.00702456408906202,-0.0880643208304348,1.75918609063411
"beta",0.0391526139692527,-0.0242317600122145,-0.0664374716896078
"delta",-0.0242317600122145,0.0910492523906324,-0.0258212750327724
"lambdaluce",-0.0664374716896078,-0.0258212750327724,2.10556203416191
"beta",0.0575594670912355,-0.0265678145868184,0.00996408113541786
"delta",-0.0265678145868184,0.0741774289374159,-0.10610317034181
"lambdaluce",0.00996408113541786,-0.10610317034181,1.62356221219142
"beta",0.0680752437477086,-0.0275184285778826,0.0111717136025348
"delta",-0.0275184285778826,0.0427988845790928,-0.0705710461676155
"lambdaluce",0.0111717136025348,-0.0705710461676155,1.88989242288089
"beta",0.0391812935294468,-0.0221871318375441,-0.0705114908478866
