"","alpha","gamma","luce"
"",0,0,0
"alpha",0.0604511489946363,0.00174247870682108,-0.0123746679612141
"gamma",0.00174247870682108,0.0260461653032317,0.00373644582156174
"luce",-0.0123746679612141,0.00373644582156174,0.0743843124926488
"alpha",0.0605152179184691,0.00257575697826463,-0.0175013954149788
"gamma",0.00257575697826463,0.0522496667692482,0.00614202076605436
"luce",-0.0175013954149788,0.00614202076605436,0.0657605079828058
"alpha",0.0648364267630307,0.00697008003085628,-0.0145447684475856
"gamma",0.00697008003085628,0.0411235517222746,0.00566413672011837
"luce",-0.0145447684475856,0.00566413672011837,0.074634571660921
"alpha",0.036897422604237,0.00129762212180972,-0.0126902314616509
"gamma",0.00129762212180972,0.0313880508113169,0.00580057183777283
"luce",-0.0126902314616509,0.00580057183777283,0.0602778832772203
"alpha",0.0595189632751148,0.000224424041325216,-0.0195747095947738
"gamma",0.000224424041325216,0.0388008285240327,0.00973490714521346
"luce",-0.0195747095947738,0.00973490714521346,0.0710006364971347
"alpha",0.0600111410910462,0.00519226740660704,-0.0209695430834549
"gamma",0.00519226740660704,0.035435618603694,0.00438841658259256
"luce",-0.0209695430834549,0.00438841658259256,0.0745044767694987
"alpha",0.0686881054674235,0.0013232710768064,-0.0131640333197848
"gamma",0.0013232710768064,0.0342740322360454,0.00389759772722205
"luce",-0.0131640333197848,0.00389759772722205,0.0806646834813907
"alpha",0.0613674857471148,0.000162967585069722,-0.0162230945408113
"gamma",0.000162967585069722,0.0481586283463633,0.00341330370531376
"luce",-0.0162230945408113,0.00341330370531376,0.0542446660705437
"alpha",0.0602269304943982,7.52926843770786e-05,-0.029553629861579
"gamma",7.52926843770786e-05,0.0205761173460936,-0.000885539807003873
"luce",-0.029553629861579,-0.000885539807003873,0.071353272820287
"alpha",0.0583037861027653,0.00320244734067166,-0.0219807021691444
"gamma",0.00320244734067166,0.0347934651667298,0.00639987927723491
"luce",-0.0219807021691444,0.00639987927723491,0.074703622103258
"alpha",0.0569775855734768,0.000921087308630145,-0.010315524545212
"gamma",0.000921087308630145,0.0318206066665745,0.00400470839961451
"luce",-0.010315524545212,0.00400470839961451,0.0682718753554518
"alpha",0.0637330906920679,-0.00138027552410064,-0.0312495302582004
"gamma",-0.00138027552410064,0.01076223883562,0.0012607799249931
"luce",-0.0312495302582004,0.0012607799249931,0.0737255336456276
"alpha",0.0412512056922975,0.000604552211685466,-0.00570253102795371
"gamma",0.000604552211685466,0.0283111180484695,0.00372521051015087
"luce",-0.00570253102795371,0.00372521051015087,0.0617062238993568
"alpha",0.0381772626066857,0.00306107439079615,-0.00222057488060666
"gamma",0.00306107439079615,0.0188552211520613,0.00476263523163117
"luce",-0.00222057488060666,0.00476263523163117,0.0547863421538606
"alpha",0.0355317308749671,0.00145077056672266,-0.00944062675476266
"gamma",0.00145077056672266,0.0647517626359649,0.00486852069692039
"luce",-0.00944062675476266,0.00486852069692039,0.0405672428541664
"alpha",0.0456387968858164,0.00254184639617798,-0.0140044535489224
"gamma",0.00254184639617798,0.0376234806786135,0.00774895686249153
"luce",-0.0140044535489224,0.00774895686249153,0.0701265593218148
"alpha",0.0363505543013635,-0.000788773795780544,-0.00063410349318005
"gamma",-0.000788773795780544,0.0243448162653987,0.00357033294666615
"luce",-0.00063410349318005,0.00357033294666615,0.0565418128419282
"alpha",0.0559008461029136,-0.000143574866141732,-0.0216488204413448
"gamma",-0.000143574866141732,0.048163262985638,0.00442559925305275
"luce",-0.0216488204413448,0.00442559925305275,0.0731958283377649
"alpha",0.0533831481470484,0.00153692385473674,-0.017165609655076
"gamma",0.00153692385473674,0.00850052065396003,0.00165800006566351
"luce",-0.017165609655076,0.00165800006566351,0.0550719841845909
"alpha",0.0685843079940814,0.00356882172261914,-0.0206546364592345
"gamma",0.00356882172261914,0.024857509718683,0.00511729685969265
"luce",-0.0206546364592345,0.00511729685969265,0.0797880509790994
"alpha",0.0542262057180757,0.00188848913934406,-0.00834819500829716
"gamma",0.00188848913934406,0.0156068619450312,0.00454920270825972
"luce",-0.00834819500829716,0.00454920270825972,0.0690562169775542
"alpha",0.0624376027880944,0.00329543170888084,-0.0179016959525429
"gamma",0.00329543170888084,0.0333916406687769,0.00595434687720456
"luce",-0.0179016959525429,0.00595434687720456,0.0747008820991519
"alpha",0.0658610028793101,-0.000179514895849856,-0.0142764955396903
"gamma",-0.000179514895849856,0.040682324596158,0.0064277009565496
"luce",-0.0142764955396903,0.0064277009565496,0.0751481696903239
"alpha",0.0579382135776132,0.00495773993081222,-0.011502731546898
