"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"lambdaTemp",2.97669022998148,1.13718624007793,1.09154594994306,2.0107231898294,2.93427869770134,3.91215198463925,4.8979216520655
"lambdaTemp",3.24864315057087,1.07193088262938,1.2506311821686,2.3994228629138,3.33297305514695,4.15401017839543,4.9284522414628
"lambdaTemp",2.5870928489879,1.06542035177723,1.08644088434318,1.70210245221744,2.40119607953391,3.36453688720866,4.8057016047519
"lambdaTemp",3.10129357396703,1.140374706157,1.15219685794593,2.12276357036797,3.13068730733101,4.08574126121495,4.93548114972811
"lambdaTemp",2.94953187351128,1.13270790123694,1.08663743600673,1.99489533830166,2.92867636730954,3.92299817724672,4.86358637617019
"lambdaTemp",2.72432317491314,1.02028697524,1.13590052404636,1.87931856135554,2.59081806178731,3.47928196035403,4.79187578476269
"lambdaTemp",2.80378865252305,1.13098709116424,1.10805669842284,1.79793094314714,2.73278025466878,3.73249009749352,4.8686838752549
"lambdaTemp",3.1775478905305,1.10034368602819,1.15350711015303,2.28540031011893,3.21759913930018,4.13432887293732,4.8926342540364
"lambdaTemp",2.80611578105414,1.16012354640467,1.04433096793681,1.78223037781636,2.73470961567938,3.78600438426203,4.86828931937988
"lambdaTemp",3.52399756086639,0.976799335152739,1.45702261724542,2.82061865658456,3.63172069957854,4.34827710987304,4.94240172501964
"lambdaTemp",2.76577873606223,1.13537975445458,1.09129006980426,1.77127681383142,2.63010905066741,3.74358734665934,4.84638845171854
"lambdaTemp",3.17548288414071,1.08318752697732,1.18779806681707,2.3297093880937,3.18233415038747,4.09245979005017,4.91464202655636
"lambdaTemp",2.79886114204863,1.1454699032155,1.06530287846521,1.79533617375578,2.70822786967275,3.72513721068976,4.87648929579086
"lambdaTemp",2.82940107161712,1.16626685478663,1.07914033447211,1.80742840459771,2.71017664316602,3.81808106000903,4.88538308309894
"lambdaTemp",3.08288037757158,1.08549071844966,1.18096411343519,2.16195518424426,3.12470058542722,3.95037788404454,4.90077369705948
"lambdaTemp",3.11502189395679,1.10642443934907,1.15779308784822,2.21474767415935,3.13406548765851,4.04648507243049,4.89079371295961
