"","Chi-Square","d.f."
"alpha",288.114684415849,299
"beta",313.029321108923,299
"gamma",282.945839246471,299
"delta",268.735907333223,299
"lambda",306.241021413168,299
"luce",314.851535293183,299
"covariance matrix",1801.16065205999,1800
