"","Chi-Square","d.f."
"alpha",347.355912648731,299
"beta",303.155422214519,299
"gamma",260.218790677052,299
"delta",327.526823656451,299
"lambda",275.268460183537,299
"luce",326.635038923339,299
"covariance matrix",1797.95718029005,1800
