"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.000895228434618213,-7.35331227341237e-05,-0.00037835945145497,4.78584286670665e-05,0.0103997471849946,-0.00430578407394609
"beta",-7.35331227341237e-05,0.00191492601933373,5.17415945387171e-05,-0.000956072996429351,-0.01945406897871,0.00067618393297478
"gamma",-0.00037835945145497,5.17415945387171e-05,0.000402434873266604,-3.88581224156706e-05,-0.00417108659762695,0.0017279578862904
"delta",4.78584286670665e-05,-0.000956072996429351,-3.88581224156706e-05,0.00167223706552302,0.0149361923725914,3.05296005827369e-05
"lambda",0.0103997471849946,-0.01945406897871,-0.00417108659762695,0.0149361923725914,0.450115666982659,-0.0556111617943034
"luce",-0.00430578407394609,0.00067618393297478,0.0017279578862904,3.05296005827369e-05,-0.0556111617943034,0.0303242204003175
"alpha",0.000821163581036275,-2.83716616214982e-06,-0.000294842989577691,8.04133493434277e-06,0.0104514651271579,-0.00224499784917529
"beta",-2.83716616214982e-06,0.000421963335662392,-2.96543628249116e-05,-0.000120688791385092,-0.00647254810903218,-3.03994251669728e-05
"gamma",-0.000294842989577691,-2.96543628249116e-05,0.000570042179547961,-4.41990917576795e-06,-0.00256237740786691,0.000752834606715102
"delta",8.04133493434277e-06,-0.000120688791385092,-4.41990917576795e-06,0.000454316179893519,0.00255621697910249,-2.33911008420627e-05
"lambda",0.0104514651271579,-0.00647254810903218,-0.00256237740786691,0.00255621697910249,0.278769892017046,-0.0309059868898075
"luce",-0.00224499784917529,-3.03994251669728e-05,0.000752834606715102,-2.33911008420627e-05,-0.0309059868898075,0.00766899681987013
"alpha",0.00232101035408563,0.00082106514267214,-0.000449940401040421,-0.000981019068329226,0.00396638802611126,-0.00953629014716402
"beta",0.00082106514267214,0.00438197355105521,-0.000176927200137894,-0.00204489385581649,-0.0202287133394751,-0.0035977573765306
"gamma",-0.000449940401040421,-0.000176927200137894,0.00024874568990852,0.000231688798794766,-0.000722017442999191,0.00217639973787495
"delta",-0.000981019068329226,-0.00204489385581649,0.000231688798794766,0.0028982689679132,0.0223372765747449,0.00441816792320049
"lambda",0.00396638802611126,-0.0202287133394751,-0.000722017442999191,0.0223372765747449,0.785541418516133,-0.0171319871752059
"luce",-0.00953629014716402,-0.0035977573765306,0.00217639973787495,0.00441816792320049,-0.0171319871752059,0.0435300594966628
"alpha",0.00351023282801662,0.000408114202700546,-0.000555701922669413,-2.68871874450197e-05,0.0279376188981359,-0.00980611004011048
"beta",0.000408114202700546,0.00546981263247473,-7.72852540647549e-05,-0.00019995291852763,-0.0494946368465573,-0.00120730661425874
"gamma",-0.000555701922669413,-7.72852540647549e-05,0.00782373871461351,7.84528350747919e-05,-0.00294307609878415,0.00119747445224181
"delta",-2.68871874450197e-05,-0.00019995291852763,7.84528350747919e-05,0.000236697098109617,0.00276578515330055,-1.14885841840407e-05
"lambda",0.0279376188981359,-0.0494946368465573,-0.00294307609878415,0.00276578515330055,0.843812800867118,-0.0924077257176295
"luce",-0.00980611004011048,-0.00120730661425874,0.00119747445224181,-1.14885841840407e-05,-0.0924077257176295,0.0324978156766317
"alpha",0.00139457428332385,0.00034100939638866,-0.000372998458566412,-0.000183405048680675,0.0120432770435106,-0.0058762724522599
"beta",0.00034100939638866,0.000568715809895782,-0.000106078724459854,-0.000331253885054263,-0.00647071603507785,-0.00159295492669074
"gamma",-0.000372998458566412,-0.000106078724459854,0.000206626726573219,5.70505700971048e-05,-0.00301580802844729,0.00169621619491388
"delta",-0.000183405048680675,-0.000331253885054263,5.70505700971048e-05,0.000954401355740233,0.00437671229369835,0.000862480948886769
"lambda",0.0120432770435106,-0.00647071603507785,-0.00301580802844729,0.00437671229369835,0.362842579561233,-0.0561841541965075
"luce",-0.0058762724522599,-0.00159295492669074,0.00169621619491388,0.000862480948886769,-0.0561841541965075,0.0284580313253613
"alpha",0.000415573755499048,-8.95857010826063e-05,-4.101814474586e-05,3.41880713041929e-05,0.00358039382148531,-0.000808462801470065
"beta",-8.95857010826063e-05,0.00281291441101703,-1.43483088152158e-05,-0.000555296760319453,-0.0238027318887128,0.000153406471396572
"gamma",-4.101814474586e-05,-1.43483088152158e-05,0.00115930525207369,8.47154179353402e-06,-0.000158983103959538,7.86019873551324e-05
"delta",3.41880713041929e-05,-0.000555296760319453,8.47154179353402e-06,0.000241928267176707,0.00514136218140297,-2.95505401196599e-05
"lambda",0.00358039382148531,-0.0238027318887128,-0.000158983103959538,0.00514136218140297,0.247126438304222,-0.00924738005226163
"luce",-0.000808462801470065,0.000153406471396572,7.86019873551324e-05,-2.95505401196599e-05,-0.00924738005226163,0.002417939948206
"alpha",0.00108538223279836,0.000560153206744376,-0.000636769719175808,-1.41436772449331e-05,0.00344591574563457,-0.00496577711093769
"beta",0.000560153206744376,0.00344478622248115,-0.000345719959464794,-1.93527526895294e-06,-0.0147121458951391,-0.00312017752633222
"gamma",-0.000636769719175808,-0.000345719959464794,0.00335584572759835,3.7862933711735e-05,-0.00194246843144422,0.00304199593327874
"delta",-1.41436772449331e-05,-1.93527526895294e-06,3.7862933711735e-05,0.000321996388225012,0.000815742348062117,4.54055085306432e-05
"lambda",0.00344591574563457,-0.0147121458951391,-0.00194246843144422,0.000815742348062117,0.117291289326849,-0.0188530601716208
"luce",-0.00496577711093769,-0.00312017752633222,0.00304199593327874,4.54055085306432e-05,-0.0188530601716208,0.027370578318505
"alpha",0.0142821812262674,0.00171682331761715,-0.00148595683093645,-0.00036993253069289,0.0133550031824236,-0.0128821742723242
"beta",0.00171682331761715,0.0034759401621136,-3.05590451100806e-05,-0.000834332038169054,-0.0102400073495657,-0.00613876405778205
"gamma",-0.00148595683093645,-3.05590451100806e-05,0.000251528918364256,4.7405447375901e-05,1.5169592440863e-05,2.89379090322098e-05
"delta",-0.00036993253069289,-0.000834332038169054,4.7405447375901e-05,0.00212018734379227,0.00263380827285079,0.00143251914220757
"lambda",0.0133550031824236,-0.0102400073495657,1.5169592440863e-05,0.00263380827285079,0.170359489972377,-0.0493501232999572
"luce",-0.0128821742723242,-0.00613876405778205,2.89379090322098e-05,0.00143251914220757,-0.0493501232999572,0.0490159225810297
"alpha",0.00308580487382482,0.00145482522426934,7.15424003707125e-05,-3.0631434006365e-05,0.0114524162233501,-0.0118688900637115
"beta",0.00145482522426934,0.00717367257124077,-0.000163622924663569,-0.000189682553425046,-0.0362036477424209,-0.00637824085066061
"gamma",7.15424003707125e-05,-0.000163622924663569,0.0010586439426786,4.14119795509079e-05,-0.00160779882590995,0.00116672627268816
"delta",-3.0631434006365e-05,-0.000189682553425046,4.14119795509079e-05,0.00233362253952505,0.00207555717143279,-8.09743325201058e-06
"lambda",0.0114524162233501,-0.0362036477424209,-0.00160779882590995,0.00207555717143279,0.358030962360931,-0.0485079325019597
"luce",-0.0118688900637115,-0.00637824085066061,0.00116672627268816,-8.09743325201058e-06,-0.0485079325019597,0.0514732957349932
"alpha",0.00550608947954315,0.00380067867663479,-0.000148675341582352,5.09026032104036e-05,0.00235845961423098,-0.0182623836706809
"beta",0.00380067867663479,0.047674955404301,-7.68982615356332e-05,-0.00137386917596652,-0.0665357078466384,-0.0123985003076758
"gamma",-0.000148675341582352,-7.68982615356332e-05,0.00252356471867281,-2.2430460400173e-05,-0.00151353754991842,0.00110303502992176
"delta",5.09026032104036e-05,-0.00137386917596652,-2.2430460400173e-05,0.0011511098281996,-0.000269324160431471,-0.000220626980124443
"lambda",0.00235845961423098,-0.0665357078466384,-0.00151353754991842,-0.000269324160431471,1.21875338942336,-0.00944223112858231
"luce",-0.0182623836706809,-0.0123985003076758,0.00110303502992176,-0.000220626980124443,-0.00944223112858231,0.0646552899353414
