"","Chi-Square","d.f."
"alpha",316.648419485615,299
"beta",258.896759136214,299
"gamma",309.106447445217,299
"delta",308.343089735823,299
"lambda",309.247994348415,299
"luce",310.585447842084,299
"covariance matrix",1778.70091898436,1800
