"","delta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"deltaTemp",0.934117531384985,0.047795647113081,0.825135994504086,0.90372570658204,0.942949281468052,0.973066934937283,0.99713688837999
"deltaTemp",0.750340065139841,0.0751491758117756,0.621975198560422,0.696770319886322,0.745064176469875,0.797712118264152,0.917169429472037
"deltaTemp",0.802517406023435,0.0589311299784692,0.689808125147285,0.76016623288082,0.800439452226583,0.84676262437357,0.910609606559885
"deltaTemp",0.569351154059766,0.213581266584256,0.135006308150616,0.428530407225132,0.565558063365261,0.722279564004271,0.958920277039012
"deltaTemp",0.923937214753181,0.0623006161794211,0.767265948151631,0.888794100955219,0.940546480090084,0.973192122397789,0.997141088382862
"deltaTemp",0.305720872327592,0.144356234974596,0.0478245356657301,0.205338379390688,0.302714999673894,0.390983197100141,0.624049622452172
"deltaTemp",0.224833157717656,0.252375542066333,0.007402468748667,0.057779235489676,0.110812485308727,0.307867347545988,0.913216419835462
"deltaTemp",0.326747339924887,0.193913255445902,0.0241223710644117,0.169773135895268,0.314179532188225,0.450079633793678,0.77160084201254
"deltaTemp",0.124119883669735,0.130458326115217,0.00479378820739576,0.0442975948894457,0.0877012620640993,0.151627415189085,0.533233362961105
"deltaTemp",0.109625041236504,0.100627897919701,0.00570776164451721,0.0439714352011084,0.0882639016833936,0.139576935375126,0.354571238156661
"deltaTemp",0.33456098610921,0.275767879131817,0.0126625747226756,0.0997811188926651,0.246398317199587,0.539550286725637,0.941247294761231
"deltaTemp",0.205219496335968,0.0406088298791819,0.138054372726509,0.174688098217458,0.201966103696939,0.232372891998825,0.290168717958858
"deltaTemp",0.825166284199551,0.0950459252494153,0.637060302300189,0.754255208566494,0.827710117222114,0.902426451272856,0.989259155300233
"deltaTemp",0.279335407040069,0.221349450035637,0.0162089376949921,0.120830692726593,0.215914928676828,0.375464128468723,0.874886963340328
"deltaTemp",0.877157162251958,0.0614457949768778,0.759006935185022,0.832488587142999,0.878334968961989,0.92438070890301,0.985099974918312
"deltaTemp",0.290835188370599,0.229059116280321,0.0149381368729066,0.116176237440475,0.230046068130877,0.405100352625323,0.888501767724222
"deltaTemp",0.78433085722208,0.0757244689474518,0.64520441348551,0.730177920129405,0.781081020894162,0.837045850895169,0.936853927583516
"deltaTemp",0.678168182700078,0.0461263264984517,0.601270373544478,0.64463820009185,0.67332332201989,0.707459541617964,0.776001951227115
"deltaTemp",0.589545935458144,0.0993076409574684,0.417457722058274,0.519423988631706,0.580757337053693,0.648839352372003,0.809399646125583
"deltaTemp",0.122952188058754,0.095261893333608,0.00587665286401989,0.0559582763968288,0.106569588309594,0.165515571504696,0.359098592627067
"deltaTemp",0.558719516850285,0.0473402089680619,0.470831778052724,0.525891757993222,0.556523541355875,0.58944200064749,0.657222870405172
"deltaTemp",0.660882980910193,0.211073244410726,0.160890010866898,0.530047028767499,0.689849598110015,0.823562486157177,0.975029570279069
"deltaTemp",0.361035981778002,0.0341728116508353,0.302266979583436,0.337236323918671,0.357572325732548,0.382070981240506,0.43871491180302
"deltaTemp",0.133211710627177,0.139802122036553,0.00761700028759414,0.0455724805287669,0.091064772158303,0.167697873447481,0.516054816875539
"deltaTemp",0.208445665870906,0.0246790281006995,0.163801037662848,0.190335841070147,0.207716673807394,0.225293541334728,0.258565311756163
"deltaTemp",0.246174935444416,0.104565839223159,0.0441987205463974,0.17979639330576,0.239786679453879,0.301844771171128,0.473872899640144
"deltaTemp",0.379782227055586,0.0296293969542922,0.331754295082476,0.358200003069824,0.376187155045268,0.399191255492114,0.444270835425271
"deltaTemp",0.178223109115997,0.112366327556396,0.0159845099866217,0.107075374780212,0.160685968036817,0.234384039287481,0.448306238111809
"deltaTemp",0.286371435770542,0.101332686079861,0.103541008767039,0.226482328429082,0.282049379681406,0.341101925149627,0.49984923683942
"deltaTemp",0.284554684077289,0.0119648537567183,0.260030584857572,0.277380851463038,0.285123971532559,0.292049446916325,0.30787689053424
"deltaTemp",0.750980098692591,0.12753732805257,0.51545016516447,0.653680749939922,0.746580437909148,0.848644123924056,0.988194374244654
"deltaTemp",0.371567424671068,0.0371771722696536,0.310039434192834,0.34416642731381,0.367404108550757,0.39429066327954,0.45503050794919
"deltaTemp",0.895761887352028,0.0616282185043495,0.774420595076001,0.850055699026943,0.900305927363097,0.945105647806313,0.994159983265264
"deltaTemp",0.359050363049077,0.0891011673748655,0.215144689088766,0.301407386382784,0.348601363364397,0.405075841035091,0.570834143023201
"deltaTemp",0.751948784269113,0.0530201989739385,0.658124248505574,0.714348712211386,0.749083654668999,0.784568972127971,0.869676737433766
"deltaTemp",0.584765009488088,0.186942858117915,0.215805158687193,0.459461137512422,0.571511569115284,0.713297626160287,0.947557118204042
"deltaTemp",0.152523738440309,0.142978471276664,0.00864117344880911,0.0619112963847089,0.114614471626234,0.192985719883643,0.57062736851297
"deltaTemp",0.62765725907414,0.0435122638750277,0.538276151238095,0.600022766693503,0.630335099895223,0.658305292185793,0.7078787593719
"deltaTemp",0.281229437698788,0.219672362034002,0.0147847768161429,0.122047465706487,0.216614673942166,0.391445337229357,0.861917155695806
"deltaTemp",0.733204291431489,0.0361232343260338,0.669518332757937,0.708272086254425,0.731100475257829,0.754458092830381,0.815633133570003
"deltaTemp",0.898284187321343,0.062442426790617,0.769358988702276,0.854892731655981,0.90346284318189,0.948177277289816,0.994892102665861
