"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.00165011282143576,-0.017378370321265,-0.00398425711877873,0.0170193748527843,-0.025035153618807,-0.00470966406909744
"lambda",0.00120548139088419,-0.00630993176160098,-0.00632670248761661,-0.025035153618807,1.35484692498446,-0.011819374210461
"luce",0.000905015343886654,0.000960098285721808,-0.0103737017263917,-0.00470966406909744,-0.011819374210461,0.079704152203053
"alpha",0.0715075829472806,-0.00350743858707595,-0.0270667645671566,0.000448570183182698,-0.00199234421203326,0.00320064443196225
"beta",-0.00350743858707595,0.0771776063041059,0.00221320725138657,-0.0115166723309324,0.0222166518964226,0.00320702881889216
"gamma",-0.0270667645671566,0.00221320725138657,0.0400359873231891,-0.000576696437414612,0.00161445389595749,-0.0139152874231711
"delta",0.000448570183182698,-0.0115166723309324,-0.000576696437414612,0.0101259738397377,-0.0267419057078132,-0.00417720556727314
"lambda",-0.00199234421203326,0.0222166518964226,0.00161445389595749,-0.0267419057078132,1.33249935789335,0.0019084695438896
"luce",0.00320064443196225,0.00320702881889216,-0.0139152874231711,-0.00417720556727314,0.0019084695438896,0.0844208982314894
"alpha",0.00337403901089962,-0.0017776368777972,-0.00105779615066783,0.00446366778087385,0.00349617216586888,-0.00509518393560538
"beta",-0.0017776368777972,0.0552368398180642,0.00168938926214154,-0.0335764614884537,-0.0180457090161028,-0.00113080172155973
"gamma",-0.00105779615066783,0.00168938926214154,0.00444841417873427,-0.00452469175294724,-0.000584963940326925,-0.0013069965842898
"delta",0.00446366778087385,-0.0335764614884537,-0.00452469175294724,0.0760479231608603,-0.0379720032946948,-0.00210177296867905
"lambda",0.00349617216586888,-0.0180457090161028,-0.000584963940326925,-0.0379720032946948,1.23963373554726,-0.0109776255070316
"luce",-0.00509518393560538,-0.00113080172155973,-0.0013069965842898,-0.00210177296867905,-0.0109776255070316,0.058173599671072
"alpha",0.0515787130592701,-0.00388119973984681,-0.0417211820410917,0.00178522645559368,-0.0146084422146108,-0.00297146290034157
"beta",-0.00388119973984681,0.0144876393723439,0.0117403496368613,-0.00304915310927637,-0.0390069936022261,-0.00483122449849679
"gamma",-0.0417211820410917,0.0117403496368613,0.11000683778846,-0.00310682268192433,0.0109174518742362,-0.00118552125651251
"delta",0.00178522645559368,-0.00304915310927637,-0.00310682268192433,0.00164907706415634,-0.0121727288699069,-0.00291676665319783
"lambda",-0.0146084422146108,-0.0390069936022261,0.0109174518742362,-0.0121727288699069,1.23304687758274,-0.0341102465658824
"luce",-0.00297146290034157,-0.00483122449849679,-0.00118552125651251,-0.00291676665319783,-0.0341102465658824,0.0830592552275595
"alpha",0.00313562592923494,-0.000191494691851164,-0.000967447563639039,0.000884743912033293,0.0315983237053379,-0.0079665140533487
"beta",-0.000191494691851164,0.00527464043780892,0.00221527258798669,0.00320749578158404,-0.046942302737488,-0.00140356269025127
"gamma",-0.000967447563639039,0.00221527258798669,0.00282473723881534,0.000516226379172053,-0.0160613246206878,-0.00175800844531677
"delta",0.000884743912033293,0.00320749578158404,0.000516226379172053,0.00903372790651744,-0.0417565462428941,-0.00216269824051242
"lambda",0.0315983237053379,-0.046942302737488,-0.0160613246206878,-0.0417565462428941,0.936858240201848,-0.0918986495564657
"luce",-0.0079665140533487,-0.00140356269025127,-0.00175800844531677,-0.00216269824051242,-0.0918986495564657,0.0599944418211702
"alpha",0.00356250704980828,-0.00338339237531717,0.00108065936904328,0.00512722247661015,-0.00366670915238019,-0.0107501400716675
"beta",-0.00338339237531717,0.0616784911692565,0.000186830157590534,-0.0249013065081607,0.00986452145991173,0.00903630805735926
"gamma",0.00108065936904328,0.000186830157590534,0.00429695387461456,-0.00191452720248813,-0.00108414853169449,-0.00144544001783501
"delta",0.00512722247661015,-0.0249013065081607,-0.00191452720248813,0.0489955790310788,-0.07248792176194,-0.015780812906576
"lambda",-0.00366670915238019,0.00986452145991173,-0.00108414853169449,-0.07248792176194,1.31936471739551,0.00595547993885029
"luce",-0.0107501400716675,0.00903630805735926,-0.00144544001783501,-0.015780812906576,0.00595547993885029,0.067132426076621
"alpha",0.0548240481343404,-0.000611769800786574,-0.0240626157570117,-2.78986571067591e-05,0.017549308022457,-0.00344692618958092
"beta",-0.000611769800786574,0.00282399230638337,0.00596834038580181,0.000938505802771315,-0.0202586937526246,-0.00151693745703581
"gamma",-0.0240626157570117,0.00596834038580181,0.0946861388687481,-0.000474777443177856,-0.0255759287975428,-0.0105068161825004
"delta",-2.78986571067591e-05,0.000938505802771315,-0.000474777443177856,0.0037755857203405,-0.00906536761706027,-0.00131580313978913
"lambda",0.017549308022457,-0.0202586937526246,-0.0255759287975428,-0.00906536761706027,0.918881681786215,-0.151797418434076
"luce",-0.00344692618958092,-0.00151693745703581,-0.0105068161825004,-0.00131580313978913,-0.151797418434076,0.0694123422644815
"alpha",0.0077538423097366,-0.00286177451654202,-0.000416275441380485,0.0095479970327065,-0.00711417575867164,-0.0154309034481309
"beta",-0.00286177451654202,0.0557931946220693,0.00294102694190087,-0.0261108700707502,0.00175631348412945,0.0127248067459215
"gamma",-0.000416275441380485,0.00294102694190087,0.016556371213159,-0.00374118448265833,-0.00904464945181922,0.00147358249577983
