"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.00458524749522585,-0.00129993982508962,-0.012807512449165
"delta",-0.00129993982508962,0.0020922850093133,0.0283714581508329
"lambdaluce",-0.012807512449165,0.0283714581508329,1.22027287577432
"beta",0.000603446397142576,-0.000282514724300648,-0.00584508166935333
"delta",-0.000282514724300648,0.000926056009475258,0.00320739879419665
"lambdaluce",-0.00584508166935333,0.00320739879419665,0.0875309554743676
"beta",0.00517587354559302,-0.00243902036725203,-0.0535244289583743
"delta",-0.00243902036725203,0.00311322076236498,0.0549831604563209
"lambdaluce",-0.0535244289583743,0.0549831604563209,1.88093118926192
"beta",0.00570708988599266,-0.000154681569959217,-0.0410491132008978
"delta",-0.000154681569959217,0.00023302791861874,0.00173724301655203
"lambdaluce",-0.0410491132008978,0.00173724301655203,0.31742153137546
"beta",0.000872453566696596,-0.000375157768247045,-0.0217267632055029
"delta",-0.000375157768247045,0.00108726476718658,0.00984888207766821
"lambdaluce",-0.0217267632055029,0.00984888207766821,0.648840268646577
"beta",0.00234349345940856,-0.000506672126667222,-0.0120839824143316
"delta",-0.000506672126667222,0.000271454970483376,0.00307824871007067
"lambdaluce",-0.0120839824143316,0.00307824871007067,0.0698899284288498
"beta",0.00626707600128193,-0.000105597226813107,-0.0307982873844629
"delta",-0.000105597226813107,0.000429572927482395,0.00146107622312024
"lambdaluce",-0.0307982873844629,0.00146107622312024,0.164237684446743
"beta",0.00417197255107758,-0.000842745057293358,-0.0205072553860625
"delta",-0.000842745057293358,0.00173257463083264,0.00432859834638649
"lambdaluce",-0.0205072553860625,0.00432859834638649,0.113145582581881
"beta",0.0104906265129349,0.000201723502915533,-0.0628368495825136
"delta",0.000201723502915533,0.00227517583359585,-0.000338209360565109
"lambdaluce",-0.0628368495825136,-0.000338209360565109,0.410188499074689
"beta",0.0544597107253957,-0.00293727036010473,-0.142430514362525
"delta",-0.00293727036010473,0.00154625038518373,-0.000900815968225889
"lambdaluce",-0.142430514362525,-0.000900815968225889,2.23174396822291
"beta",0.0373366926491077,-0.00547273192158831,-0.152173910958444
"delta",-0.00547273192158831,0.00121036288861396,0.00112942577968947
"lambdaluce",-0.152173910958444,0.00112942577968947,2.1892925415343
"beta",0.0360746281112468,-0.00811032191679114,-0.182788271174574
