"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"lambdaTemp",3.62431147971416,0.911299656986777,1.69526610340805,2.97597583887637,3.7696469916147,4.38030245932327,4.94920834941594
"lambdaTemp",3.23166521988842,1.03881059532203,1.32208921090079,2.38449925059355,3.25186733312865,4.13423680000454,4.91237025535602
"lambdaTemp",2.92165386957515,1.00707475796826,1.26032577039956,2.09100935518899,2.83220693105376,3.7235066586572,4.77580762516956
"lambdaTemp",2.08788321847523,0.944138550689751,1.02270625047101,1.333560430474,1.83782895989809,2.61335537001414,4.4707323337293
"lambdaTemp",3.84103260239382,0.829741435804127,1.92383750599767,3.33414993685218,3.98283497476929,4.52005768470688,4.96294860069118
"lambdaTemp",2.66508264645339,1.11652203980938,1.06579399953508,1.68679430260321,2.51407091732954,3.51115436246932,4.80384539586928
"lambdaTemp",2.76803665623801,1.14122635348298,1.06354501238047,1.7514601761621,2.70426021616919,3.66416709665635,4.83525500950715
"lambdaTemp",2.88149371715899,1.12730444603518,1.08946913386824,1.92387403979635,2.8364140447197,3.81648719893256,4.89489197619794
"lambdaTemp",2.85611912036399,1.16983582299611,1.06322992799333,1.82075655631377,2.75527594857203,3.87381563157933,4.8773936470103
"lambdaTemp",2.85263072998561,1.13524040520978,1.08592476671098,1.86126571099968,2.7900287152567,3.78871977261278,4.86693097247834
"lambdaTemp",2.83221604027169,1.14854000363862,1.08263995955002,1.83328985671921,2.72714657033294,3.79572921907233,4.85616316376251
"lambdaTemp",2.78234224663189,1.10441570640006,1.07409413792996,1.83005058768736,2.66594858566608,3.67212320752521,4.8232719281958
"lambdaTemp",3.81442846865443,0.868058402023794,1.89520313544866,3.22985628004314,3.98521991327253,4.53588605053234,4.96709385914411
"lambdaTemp",2.62003085663313,1.12849905359472,1.06171620968568,1.60458656776938,2.4516486840953,3.51375992437733,4.80255585684088
"lambdaTemp",2.71483610972024,0.989294830069484,1.13657641995249,1.9449180302234,2.60269398293593,3.39639494337358,4.77314103366683
"lambdaTemp",3.05735436081023,1.12160116938958,1.12525592074321,2.13212737450343,3.09014489567027,4.03123423905255,4.87744350828845
"lambdaTemp",3.81689851595593,0.843852767600942,1.93497911471414,3.25980815307103,3.95483069131847,4.50851924367179,4.94876684964168
"lambdaTemp",2.52470782042531,0.961061048432394,1.12310399126692,1.76348349745055,2.38223015329607,3.13794517001327,4.63232388368185
"lambdaTemp",2.65683691504564,1.02432381178987,1.12851190043,1.81167924615379,2.52254594636614,3.38967139777873,4.77465485958374
"lambdaTemp",2.94063669990372,1.1769187813663,1.08468595047737,1.92091795688472,2.90610857834226,3.9805766951545,4.89106999482701
"lambdaTemp",2.3747705133651,0.700005754620633,1.32449373134537,1.88460569444673,2.26146484765266,2.74333284880799,4.17701367432227
"lambdaTemp",3.01915822248599,1.08671459107656,1.15651174615394,2.10565127540658,3.01015596487276,3.91524940478874,4.88893370409403
"lambdaTemp",2.72337425163002,1.05723176818697,1.12029023173655,1.85258738726288,2.58864864766511,3.47832464738984,4.85700435449925
"lambdaTemp",2.86873723943788,1.16356465482819,1.07785209727844,1.84800881287413,2.81051288195443,3.85276547860103,4.89217693634538
"lambdaTemp",3.44284763969156,0.950923684043118,1.54040430789281,2.73070168296792,3.48237964947689,4.25159575695834,4.91088931685243
"lambdaTemp",2.94048420949309,1.13723118663811,1.12282410189814,1.95491446388107,2.92136652573658,3.89211985573762,4.84647626359634
"lambdaTemp",3.61564732656426,0.95261235675852,1.63312203609713,2.93613538463149,3.7309169787547,4.42213337123749,4.95883734010644
"lambdaTemp",2.82290466938666,1.19958425449528,1.05978126725451,1.7509065713538,2.71659189013965,3.89092389574857,4.9046139299274
"lambdaTemp",2.92176755852393,1.16011547862653,1.09319425833119,1.90563367176726,2.88644513370722,3.9300373246428,4.8529544445709
"lambdaTemp",3.3616641996552,0.981272676782302,1.45937497431301,2.60746710556518,3.41445177388039,4.18261776557856,4.91771315021738
"lambdaTemp",2.65256485745379,1.04446290835468,1.09188701057795,1.79391366211527,2.53054813030299,3.41947639002128,4.73685813935724
"lambdaTemp",2.60431016030326,1.04996594480694,1.07509347645814,1.71698046643453,2.46369903260784,3.40481606183733,4.73021540175984
"lambdaTemp",3.53103842311286,0.91029504619671,1.67891848775241,2.8894686914373,3.64188178155692,4.28837691252472,4.91445227995177
"lambdaTemp",3.28861333611305,1.12338836821033,1.15821121157923,2.4041802277981,3.40396484183388,4.28598407265715,4.92758494508857
"lambdaTemp",1.90105578607517,0.755444806402448,1.02532153936541,1.31903379592137,1.7089496414534,2.29478182392579,3.84680832042637
"lambdaTemp",2.64751533254333,1.08946231303717,1.06457953342921,1.72973026141335,2.49402642531519,3.51762459625593,4.80703718702653
"lambdaTemp",2.86697860610104,1.1405208311822,1.09537895601859,1.87393332303176,2.82197691691256,3.83308190695369,4.84151056268201
"lambdaTemp",3.72438634537287,0.89022622429537,1.75280502580166,3.1259075047148,3.86718138228824,4.45236744032852,4.96089634703679
"lambdaTemp",2.74556408205761,1.166102555325,1.06798526776584,1.69866506052962,2.62534786364702,3.72799367542299,4.87760033992917
"lambdaTemp",2.97688145968544,0.998580710472935,1.27518423718942,2.15972149347168,2.92413103073723,3.78213596869379,4.81587490797256
"lambdaTemp",2.32747161100559,0.978265940194213,1.06313166359275,1.5313306238695,2.11717021726297,2.9421202618169,4.61849393851391
"lambdaTemp",2.76811469038117,1.1627074143747,1.06846470223997,1.75033017822593,2.63948737069573,3.73918257427912,4.89510925575125
"lambdaTemp",1.94188736893026,0.818363588278237,1.03321302159905,1.31027704705712,1.70914693965761,2.33887202131418,4.03110461747672
"lambdaTemp",2.7491312116165,1.01679705559846,1.14291220159029,1.92279286012032,2.64177374551645,3.50019518263109,4.78207171273463
"lambdaTemp",3.5837709726356,0.950221842293901,1.55216088144273,2.91894460657823,3.69863332208867,4.3975709459054,4.93734489946951
"lambdaTemp",4.33072847582868,0.563310008460751,2.89164954593334,4.03639135122108,4.48895406361339,4.76370296376294,4.98069404041112
"lambdaTemp",3.62274501952287,0.929914228602463,1.65862206384491,2.96221275872679,3.75010080915161,4.40162518205537,4.9337812306075
"lambdaTemp",3.34873685556844,1.00413803683054,1.39358471047929,2.60492969006825,3.40629310312702,4.1917563946327,4.924251722185
"lambdaTemp",3.47363998338889,0.959432439070246,1.55112866260907,2.75860783275764,3.55270388328007,4.28626200173616,4.93180893248881
"lambdaTemp",3.3225334037019,0.969866372960921,1.46259284655174,2.56270963788218,3.36594882556958,4.11127756726888,4.90068570559873
"lambdaTemp",2.82845472003884,1.11095390053713,1.10519776606346,1.88250994138936,2.73427122025898,3.73036298668042,4.88591072387192
"lambdaTemp",3.04173253900829,1.15736715699647,1.1164676773599,2.03904073590034,3.01800872590876,4.0861682075938,4.87805460935268
"lambdaTemp",3.8706642832239,0.833777723887056,1.82116643345305,3.35488590291654,4.06046075980982,4.53880179528293,4.954644041525
"lambdaTemp",2.83679326775765,1.14603898791993,1.08963596676926,1.83776837586774,2.74546413731211,3.80722221668493,4.85130265075598
