"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0546145434035033,-0.000874740357474474,-0.0180568807291746,0.00143511466451418,0.0337291586659115,-0.00316488547940931
"beta",-0.000874740357474474,0.00183872761048182,0.00312361843210802,0.000903566411244064,-0.00871974761238035,-0.00124730053973476
"gamma",-0.0180568807291746,0.00312361843210802,0.0619260202961353,-5.96118466484706e-06,-0.0125066480341636,-0.00448920331154118
"delta",0.00143511466451418,0.000903566411244064,-5.96118466484706e-06,0.00253995422810216,-0.00495702642397882,-0.00155941306908939
"lambda",0.0337291586659115,-0.00871974761238035,-0.0125066480341636,-0.00495702642397882,0.830467064824218,-0.0680333022221919
"luce",-0.00316488547940931,-0.00124730053973476,-0.00448920331154118,-0.00155941306908939,-0.0680333022221919,0.062528950676935
"alpha",0.00660454956672698,0.000790870211526183,-0.00130054052611283,0.00256021548912112,0.0473252048427136,-0.0117771030176802
"beta",0.000790870211526183,0.00246880202289584,0.000897707654940374,0.00105635629879023,-0.0272208586402529,-0.00105344437068188
"gamma",-0.00130054052611283,0.000897707654940374,0.0135625398543154,-0.00304571849724944,-0.00637668053864443,0.00182758256159112
"delta",0.00256021548912112,0.00105635629879023,-0.00304571849724944,0.00577745588551768,-0.000887536356886888,-0.00540780167158497
"lambda",0.0473252048427136,-0.0272208586402529,-0.00637668053864443,-0.000887536356886888,1.07912745295331,-0.139462609614337
"luce",-0.0117771030176802,-0.00105344437068188,0.00182758256159112,-0.00540780167158497,-0.139462609614337,0.0671859474575047
"alpha",0.0569919915800052,-6.22616079283015e-06,-0.0212947607267075,-0.00178798029865849,0.0238007644444006,-0.00386812912606681
"beta",-6.22616079283015e-06,0.00218368948028965,0.0012801909223485,0.00129866089063221,-0.014991213811226,-0.00235148123980391
"gamma",-0.0212947607267075,0.0012801909223485,0.0675528919000268,-0.00237468521399905,0.0124794120405746,-0.00729210363731769
"delta",-0.00178798029865849,0.00129866089063221,-0.00237468521399905,0.00256716118579279,-0.0086299564027136,-0.00165299362664708
"lambda",0.0238007644444006,-0.014991213811226,0.0124794120405746,-0.0086299564027136,1.01419956813683,-0.129048297768335
"luce",-0.00386812912606681,-0.00235148123980391,-0.00729210363731769,-0.00165299362664708,-0.129048297768335,0.0725069608614869
"alpha",0.0533728743392589,0.000312856341759721,-0.0328776579487402,0.00371699226993767,0.00938307875559409,0.00525523884272788
"beta",0.000312856341759721,0.00757422700942481,0.00261167617311379,-0.00115658777411128,-0.0280322617926193,-0.00395380354710423
"gamma",-0.0328776579487402,0.00261167617311379,0.102943217418793,-0.0125367083406953,-0.0323701567235322,-0.0189755874410091
"delta",0.00371699226993767,-0.00115658777411128,-0.0125367083406953,0.0472962189763402,-0.0211219317281773,-0.00418336177098276
"lambda",0.00938307875559409,-0.0280322617926193,-0.0323701567235322,-0.0211219317281773,0.891397602898544,-0.0464210998848877
"luce",0.00525523884272788,-0.00395380354710423,-0.0189755874410091,-0.00418336177098276,-0.0464210998848877,0.0611745076653603
"alpha",0.0192258999116445,0.00354266623289571,-0.000838383560004673,0.000260276538230172,-0.00049106962423307,-0.00621809816986547
"beta",0.00354266623289571,0.00468980081513976,0.00530645622640408,-4.35772971900457e-05,-0.0273671087734245,-0.00494702807629092
"gamma",-0.000838383560004673,0.00530645622640408,0.0627548280619664,-0.00124785551597888,-0.0414625883722154,-0.00496354749536787
"delta",0.000260276538230172,-4.35772971900457e-05,-0.00124785551597888,0.00472925606142077,0.000718239750330951,-0.000409219661652006
"lambda",-0.00049106962423307,-0.0273671087734245,-0.0414625883722154,0.000718239750330951,0.688470850290294,-0.046993852930018
"luce",-0.00621809816986547,-0.00494702807629092,-0.00496354749536787,-0.000409219661652006,-0.046993852930018,0.0469152844928175
"alpha",0.0105196237824155,-0.00194638939927259,-0.00258412507472804,0.0133503753955338,-0.0149741039317367,-0.0187605778925375
"beta",-0.00194638939927259,0.0500661511135463,0.00537970907751923,-0.0203320413846566,-0.0077095226278562,0.00846853412065143
"gamma",-0.00258412507472804,0.00537970907751923,0.0267138990660268,-0.00520199097647683,-0.0145706536458849,-0.00186881272050471
"delta",0.0133503753955338,-0.0203320413846566,-0.00520199097647683,0.0547499689399477,-0.0878276175981647,-0.0321840542181654
"lambda",-0.0149741039317367,-0.0077095226278562,-0.0145706536458849,-0.0878276175981647,1.2466214653801,0.0273646427200056
"luce",-0.0187605778925375,0.00846853412065143,-0.00186881272050471,-0.0321840542181654,0.0273646427200056,0.0817913807742644
"alpha",0.0377768833802878,-0.0114783547860941,-0.0260745472147248,0.0175007982947427,0.00336044832823702,-0.0117025323736032
"beta",-0.0114783547860941,0.0755223776507192,0.0104761865314793,-0.0367885070206775,0.0267062689962611,0.00992067933984032
"gamma",-0.0260745472147248,0.0104761865314793,0.050538733550894,-0.014888220433645,-0.00145598073274569,-0.00570124004258285
"delta",0.0175007982947427,-0.0367885070206775,-0.014888220433645,0.0589649685149816,-0.0638191915938556,-0.0189243324424232
"lambda",0.00336044832823702,0.0267062689962611,-0.00145598073274569,-0.0638191915938556,1.30239758988406,0.0145867749093881
"luce",-0.0117025323736032,0.00992067933984032,-0.00570124004258285,-0.0189243324424232,0.0145867749093881,0.0830875689851719
"alpha",0.0656371156699395,-0.0028624565145941,-0.03609328551409,0.0036710836793184,0.00318210306607459,0.00137824959530746
"beta",-0.0028624565145941,0.0490489316118981,0.00796229719315872,-0.0130444442276119,-0.0359192071215535,-0.00212822801211552
"gamma",-0.03609328551409,0.00796229719315872,0.0719564774519958,-0.00452650987149905,-0.00324259581261431,-0.0101255453593273
"delta",0.0036710836793184,-0.0130444442276119,-0.00452650987149905,0.0138387296721265,-0.0243274194017217,-0.00565020288003124
"lambda",0.00318210306607459,-0.0359192071215535,-0.00324259581261431,-0.0243274194017217,1.27081531405069,-0.0132555747425363
"luce",0.00137824959530746,-0.00212822801211552,-0.0101255453593273,-0.00565020288003124,-0.0132555747425363,0.0812662530828947
"alpha",0.0682149672751735,-0.00229784901879094,-0.0417034284054436,0.00371519959220218,0.00714699180246331,0.00334452067918597
"beta",-0.00229784901879094,0.065861529686632,0.00853999524135995,-0.0204332480082857,-0.0101992736443158,-0.0017136547497229
"gamma",-0.0417034284054436,0.00853999524135995,0.0789891484920994,-0.00509569418537558,0.00134353631823916,-0.0123570417715447
"delta",0.00371519959220218,-0.0204332480082857,-0.00509569418537558,0.0289379985160812,-0.0479294237298081,-0.00793216112549969
"lambda",0.00714699180246331,-0.0101992736443158,0.00134353631823916,-0.0479294237298081,1.36851585276499,-0.00159179900557686
"luce",0.00334452067918597,-0.0017136547497229,-0.0123570417715447,-0.00793216112549969,-0.00159179900557686,0.0801186633343124
"alpha",0.0631496055358768,-0.00459478845724055,-0.0364573194464173,0.00172515918172539,0.00602426957831984,0.00523832381211714
"beta",-0.00459478845724055,0.064749014349699,0.00783178795264254,-0.0157210353365479,-0.0198729779987605,0.000113087225787021
