"","Chi-Square","d.f."
"alpha",311.694398075749,299
"beta",291.925949443944,299
"gamma",303.692987354408,299
"delta",342.985388338475,299
"lambda",309.503729091241,299
"luce",302.611738497573,299
"covariance matrix",1841.58833599713,1800
