,luce,sd,2.5%,25%,50%,75%,97.5%
luceTemp,0.99976016,0.278875236,0.537244374,0.763284307,0.987445063,1.232316042,1.474094808
luceTemp,1.167982061,0.235410522,0.656679686,1.006400621,1.205642744,1.365350752,1.487290701
luceTemp,1.082872167,0.265786934,0.560409342,0.879274908,1.107636396,1.313349038,1.47636394
luceTemp,0.716403731,0.185144896,0.50757139,0.57246538,0.669145518,0.808210698,1.194330829
luceTemp,0.923556965,0.267278122,0.527382363,0.701720026,0.892562113,1.120872958,1.461023959
luceTemp,0.856207316,0.252460626,0.514843516,0.640579737,0.814990131,1.029287611,1.409658046
luceTemp,0.835041467,0.232667837,0.516972706,0.646830865,0.794980375,0.97975164,1.371918757
luceTemp,0.774739544,0.202741799,0.513647274,0.613291268,0.73159079,0.890679563,1.264282757
luceTemp,0.976093929,0.270239438,0.536656475,0.759485095,0.953946718,1.192152724,1.46929847
luceTemp,0.858315521,0.265837906,0.510256653,0.636008323,0.802581908,1.043818948,1.452978247
luceTemp,0.993882011,0.287862872,0.525412449,0.750186278,0.984935121,1.241891645,1.475684434
luceTemp,0.691446694,0.200741066,0.504169568,0.547465498,0.621130797,0.754768719,1.293281243
luceTemp,1.250854011,0.182528594,0.837663998,1.132924993,1.287107193,1.403950389,1.490263906
luceTemp,0.95750153,0.283641834,0.526199309,0.718788244,0.920481329,1.187126428,1.4727262
luceTemp,1.318761023,0.142051578,0.975535935,1.235027296,1.349941048,1.428172292,1.495079944
luceTemp,0.932535252,0.241686185,0.54054431,0.742068779,0.906743499,1.090392313,1.459374685
luceTemp,0.980743776,0.253233624,0.557766596,0.778750392,0.965488994,1.178735336,1.450923107
luceTemp,1.031501943,0.271421737,0.542448188,0.812529955,1.04071204,1.255390414,1.476754767
luceTemp,1.023932891,0.265933835,0.555145387,0.815370965,1.025276007,1.241767556,1.471412336
luceTemp,1.04362405,0.278878145,0.536464198,0.817525193,1.062178386,1.284224604,1.47723038
luceTemp,0.98249868,0.288552674,0.51409624,0.730547244,0.973292449,1.224110596,1.472371657
luceTemp,1.24678377,0.18107157,0.825983483,1.133439586,1.281005481,1.39211059,1.488965333
luceTemp,0.991806848,0.261604262,0.543215203,0.77705345,0.99285499,1.194007305,1.461535313
luceTemp,0.982423892,0.242303773,0.575241152,0.79431178,0.965088314,1.172802527,1.42939922
luceTemp,0.972350598,0.286884913,0.525923786,0.723430105,0.951496527,1.210064646,1.47646771
luceTemp,0.825269557,0.254224008,0.508205712,0.612305366,0.769595029,0.988578882,1.40372594
luceTemp,1.141023096,0.216804071,0.704685989,0.979690837,1.166190609,1.317073072,1.480102859
luceTemp,1.000346143,0.271735123,0.545179617,0.77675253,0.995721758,1.228621864,1.468644253
luceTemp,0.900626621,0.271154339,0.514481973,0.665753671,0.857434136,1.104050249,1.455030606
luceTemp,0.876562769,0.264911407,0.522370754,0.649919747,0.82785422,1.059663466,1.427562391
luceTemp,1.350516961,0.125610566,1.043235895,1.288872868,1.381403503,1.4479998,1.494507238
luceTemp,1.113349409,0.247734993,0.605117051,0.931594758,1.136810493,1.319693063,1.483915594
luceTemp,1.007702063,0.272387922,0.551494607,0.775107683,1.001258794,1.244859754,1.473216286
luceTemp,0.800729615,0.242681141,0.508119657,0.599918952,0.740821378,0.942704684,1.387140796
luceTemp,0.903563672,0.268428667,0.519517852,0.674315183,0.866318172,1.107997538,1.437947517
luceTemp,1.017299478,0.285208823,0.535221406,0.772857209,1.021571166,1.263276512,1.481158132
luceTemp,1.363974929,0.116875055,1.069890497,1.303473832,1.397655624,1.453169487,1.494418596
luceTemp,0.883812978,0.276883543,0.515325734,0.64091937,0.827867723,1.081333496,1.448385651
luceTemp,1.137629743,0.2491206,0.601343124,0.958574228,1.172568323,1.347232202,1.487229748
luceTemp,0.945974691,0.283725281,0.517103657,0.700565998,0.920282441,1.182896067,1.461774231
luceTemp,1.001119272,0.274571599,0.543418056,0.765366372,0.997248838,1.237144357,1.464065505
luceTemp,0.945714347,0.288058901,0.522773091,0.69296068,0.913033028,1.180081357,1.472679951
luceTemp,1.084360484,0.240292739,0.606300459,0.902272961,1.095770589,1.282078053,1.467944687
luceTemp,0.934110671,0.281001413,0.520357225,0.689696179,0.896949686,1.164771438,1.462072259
luceTemp,1.232074745,0.204381782,0.743244036,1.110011284,1.277217412,1.397634305,1.485984778
luceTemp,0.914278541,0.281899195,0.517085868,0.666493419,0.875896166,1.136536986,1.451536674
luceTemp,1.207231462,0.201652924,0.757818175,1.075041039,1.238832389,1.369065113,1.487068554
luceTemp,1.119328861,0.240319805,0.62920593,0.948308411,1.138757374,1.316150545,1.48294739
luceTemp,0.927249324,0.281625905,0.525852507,0.681380804,0.893745528,1.161041089,1.45673737
luceTemp,0.944516674,0.221218259,0.565567736,0.773302882,0.929687606,1.101716881,1.399412627
luceTemp,0.712928819,0.196220549,0.506757626,0.565070983,0.652627344,0.804744875,1.264586481
luceTemp,0.994843243,0.279725669,0.527675012,0.765169728,0.992090782,1.2330219,1.472772371
luceTemp,0.978174895,0.276297925,0.526423425,0.743257564,0.97341156,1.203044411,1.45973421
luceTemp,0.95015482,0.292748631,0.516941113,0.692723374,0.92514777,1.205835165,1.469157963
luceTemp,1.026731843,0.278173765,0.535885645,0.7978053,1.03519393,1.265482653,1.474095749
luceTemp,0.983700009,0.262392851,0.552297402,0.770313998,0.964372246,1.195595201,1.462584174
luceTemp,0.990453455,0.265338657,0.534689308,0.778682807,0.976923898,1.204241229,1.46033796
luceTemp,0.949410057,0.282732122,0.513197897,0.707572315,0.918215822,1.185055871,1.459720227
luceTemp,0.627858495,0.114769068,0.504879234,0.541257095,0.595557293,0.683233104,0.929662723
luceTemp,1.11076941,0.233326602,0.620502181,0.944051966,1.126172709,1.301174649,1.474626221
luceTemp,1.044856317,0.235405154,0.605577482,0.871752331,1.04064134,1.225394327,1.467172547
luceTemp,1.003322111,0.272713146,0.542447314,0.778570933,0.998011611,1.23016404,1.473923268
luceTemp,1.009056464,0.255579556,0.569198292,0.806376307,0.99994829,1.211379363,1.469816946
luceTemp,1.074024205,0.282923369,0.54369175,0.846107279,1.106424178,1.323111961,1.48764309
luceTemp,1.209635258,0.212139164,0.746743402,1.070077909,1.253569673,1.383863717,1.490493951
luceTemp,1.13289463,0.235922858,0.644471729,0.960160555,1.15955914,1.331407655,1.486032925
luceTemp,0.84997256,0.230557976,0.521238319,0.666777089,0.816329876,0.998039825,1.356875661
luceTemp,1.078477881,0.257518519,0.57469757,0.875509404,1.1001986,1.297450029,1.48017403
luceTemp,1.092107928,0.248899414,0.592119654,0.908009582,1.108177354,1.305638498,1.474949857
luceTemp,1.077807005,0.252241214,0.578790434,0.884194412,1.090879173,1.294442568,1.479584714
luceTemp,0.862835564,0.263564448,0.515479052,0.636596124,0.808773295,1.052513764,1.419954883
luceTemp,0.937411694,0.291502958,0.51141785,0.684300537,0.898749341,1.184552907,1.460221764
luceTemp,0.976388052,0.274753374,0.532174685,0.743843394,0.959887384,1.200793928,1.46971223
luceTemp,0.918479623,0.271763916,0.521198165,0.686988297,0.88696504,1.128212873,1.440671636
