,beta,sd,2.5%,25%,50%,75%,97.5%
betaTemp,0.086163872,0.061503928,0.004560817,0.037766266,0.074566222,0.12259439,0.233876993
betaTemp,0.31903577,0.20945084,0.026369036,0.171116128,0.280000104,0.419818761,0.873576613
betaTemp,0.500536546,0.026236168,0.450117975,0.482801442,0.50008814,0.516724868,0.55218987
betaTemp,0.491649602,0.078510933,0.335309807,0.439927754,0.493627826,0.545284183,0.642410272
betaTemp,0.857963421,0.033954602,0.798822285,0.834087589,0.8550076,0.880360747,0.926873741
betaTemp,0.379258104,0.235295815,0.023901631,0.189883796,0.34776842,0.54138295,0.891688075
betaTemp,0.284407568,0.233148361,0.007824301,0.109846563,0.223056005,0.385220284,0.891110811
betaTemp,0.415732859,0.255847083,0.033691298,0.209779828,0.379275958,0.600511495,0.940588579
betaTemp,0.351981691,0.234775962,0.019964202,0.169210098,0.316008906,0.48394889,0.905386321
betaTemp,0.490614168,0.262942528,0.039934023,0.277801797,0.484492747,0.699639831,0.959422524
betaTemp,0.336348125,0.209627407,0.024413045,0.181485047,0.306031232,0.450513801,0.856725087
betaTemp,0.346593755,0.141308004,0.084931487,0.260407091,0.343566349,0.418898027,0.691306103
betaTemp,0.173410614,0.071106695,0.036399469,0.124982457,0.173474722,0.220176166,0.312964517
betaTemp,0.157545826,0.062253944,0.043676385,0.113044754,0.154516661,0.198841714,0.284492824
betaTemp,0.423798992,0.263046255,0.034256324,0.19941281,0.388658845,0.629974562,0.949077909
betaTemp,0.485923948,0.253735778,0.038009233,0.290304434,0.487372368,0.686066958,0.933566248
betaTemp,0.717195722,0.069895385,0.564225341,0.673386383,0.724156118,0.765337192,0.840911664
betaTemp,0.398037878,0.274425027,0.010997926,0.1690947,0.348607225,0.611563112,0.947827648
betaTemp,0.36421015,0.276010189,0.014413598,0.12846565,0.304791083,0.564782973,0.937276658
betaTemp,0.448037306,0.272607476,0.027889346,0.218941168,0.423654026,0.660374952,0.954761407
betaTemp,0.965937219,0.027757774,0.896485007,0.949842424,0.973281422,0.987989145,0.998969206
betaTemp,0.351717156,0.051480625,0.254932915,0.316448586,0.349170596,0.384322876,0.460012249
betaTemp,0.74767915,0.054415491,0.648323323,0.709440158,0.746285627,0.784852774,0.8595785
betaTemp,0.357431666,0.179069378,0.062624722,0.233337647,0.337483236,0.456316649,0.816031691
betaTemp,0.924176211,0.044041011,0.831586764,0.895979368,0.926517426,0.95638713,0.99705525
betaTemp,0.354047003,0.077739566,0.197512962,0.303053727,0.356063319,0.409364634,0.496172828
betaTemp,0.282634312,0.072029371,0.143345849,0.237315157,0.281223827,0.329081108,0.429982681
betaTemp,0.931815279,0.038890524,0.847276118,0.906399006,0.935086307,0.961169302,0.994238414
betaTemp,0.578451529,0.043087707,0.492984848,0.550299258,0.577328071,0.606086609,0.664187485
betaTemp,0.417846454,0.279211131,0.012766088,0.176003598,0.373679697,0.63443759,0.953118958
betaTemp,0.156712668,0.083572049,0.016058103,0.093299545,0.15342431,0.213430166,0.335399608
betaTemp,0.245501261,0.233468034,0.005850614,0.071889322,0.168536361,0.338589784,0.884565095
betaTemp,0.327853877,0.267719942,0.010637253,0.114011621,0.244501615,0.491681667,0.938761477
betaTemp,0.971398634,0.022154458,0.91695773,0.958447001,0.976450988,0.988939368,0.998788948
betaTemp,0.71749246,0.046448558,0.626779097,0.68641008,0.718265702,0.749083511,0.80634285
betaTemp,0.71940146,0.058796302,0.608982,0.679353245,0.715909454,0.757305255,0.844060726
betaTemp,0.824357959,0.056701785,0.717790854,0.785973768,0.823631475,0.863318023,0.935239509
betaTemp,0.420959534,0.23908469,0.047215838,0.235950588,0.389780585,0.577853036,0.93527038
betaTemp,0.602992666,0.076875996,0.462701519,0.548079618,0.59914142,0.650595499,0.767919291
betaTemp,0.396744805,0.255985382,0.027035362,0.188172365,0.354369686,0.569371907,0.941620276
betaTemp,0.818873087,0.039490267,0.736995321,0.794172205,0.820015949,0.845186832,0.895224058
betaTemp,0.424488295,0.26667703,0.024095568,0.205136434,0.385549385,0.637276609,0.943223088
betaTemp,0.399998854,0.255360961,0.02887992,0.19971045,0.354360973,0.569622548,0.94985494
betaTemp,0.084372552,0.066384577,0.003942985,0.032839743,0.06803934,0.122723394,0.247566815
betaTemp,0.943864839,0.036801421,0.861181716,0.920099862,0.949594068,0.972719311,0.997595528
betaTemp,0.183481713,0.179608773,0.008315125,0.067707415,0.135176162,0.223454201,0.763215654
betaTemp,0.188308612,0.140427056,0.008785445,0.088332429,0.165472476,0.256390751,0.534555142
betaTemp,0.254265576,0.081317022,0.093242455,0.202058235,0.251952072,0.309116764,0.413651613
betaTemp,0.459307462,0.042449125,0.384998019,0.429334221,0.457132185,0.485833197,0.550357783
betaTemp,0.791945487,0.063402241,0.680868442,0.746657223,0.788180384,0.832519668,0.931350645
betaTemp,0.12082894,0.09013259,0.004224846,0.048866041,0.10067349,0.176270386,0.33235788
betaTemp,0.830018795,0.054628963,0.717818657,0.792720359,0.831233949,0.868321469,0.935847161
betaTemp,0.201225534,0.078898136,0.040492057,0.148390865,0.201596973,0.253001587,0.360499274
betaTemp,0.7340249,0.044733674,0.653053019,0.703755212,0.731398147,0.761388982,0.827779706
betaTemp,0.248416874,0.069672308,0.117207271,0.201261343,0.247231632,0.294484732,0.391227031
betaTemp,0.422322531,0.266161306,0.027627479,0.19534606,0.398864936,0.630759818,0.937210467
betaTemp,0.81527537,0.071681106,0.685981627,0.766071106,0.811066797,0.863607106,0.962196375
betaTemp,0.613681058,0.076454857,0.454987028,0.565215341,0.612391734,0.664832072,0.7607702
betaTemp,0.879462376,0.0416612,0.803079126,0.849492912,0.877785079,0.908358957,0.963732252
betaTemp,0.955791749,0.037458248,0.861188339,0.935963391,0.965065593,0.985194082,0.999111692
betaTemp,0.532986402,0.074493264,0.376240869,0.483778774,0.536776022,0.58495469,0.667182787
betaTemp,0.937010057,0.04567873,0.83451879,0.908136777,0.945158469,0.974201813,0.997426945
betaTemp,0.363399416,0.244134278,0.016699528,0.177566906,0.319063493,0.501059421,0.953770965
betaTemp,0.887665239,0.037091624,0.805263496,0.864828706,0.890725978,0.913688805,0.951000774
betaTemp,0.096006602,0.084512633,0.0037997,0.038089492,0.077102262,0.132581537,0.275759581
betaTemp,0.222836426,0.063392388,0.106615451,0.179507823,0.221628942,0.262326639,0.353164879
betaTemp,0.728791829,0.049220649,0.636105806,0.69451494,0.728554113,0.761473599,0.829027046
betaTemp,0.388532768,0.066232455,0.269493083,0.341550535,0.384299592,0.432764747,0.527710313
betaTemp,0.341851684,0.105963616,0.114139897,0.275881274,0.345354554,0.412487769,0.54067692
betaTemp,0.672011836,0.033307762,0.606242416,0.64916017,0.672091723,0.694924104,0.737106138
betaTemp,0.448198272,0.231694384,0.061412416,0.281359048,0.412819117,0.595111135,0.941470584
betaTemp,0.438580762,0.271425061,0.02250723,0.211461827,0.414708335,0.645636369,0.963027569
betaTemp,0.472513863,0.228536978,0.066915973,0.303018503,0.460612486,0.637829956,0.928966914
betaTemp,0.680004374,0.042697138,0.597375192,0.651072921,0.679867892,0.709029511,0.763423022
betaTemp,0.361246429,0.171501187,0.063585509,0.252308681,0.344308399,0.441919081,0.818504424
betaTemp,0.158396713,0.086505642,0.012000528,0.091822527,0.153962234,0.219038938,0.337012646
betaTemp,0.43871159,0.228982945,0.054447191,0.267049559,0.416286327,0.590284494,0.919641808
betaTemp,0.505638224,0.039932916,0.431131175,0.478697759,0.503365771,0.53228162,0.586397751
betaTemp,0.70266504,0.051385213,0.618517458,0.667040385,0.6959998,0.732570834,0.825000592
betaTemp,0.368548841,0.2642433,0.013642439,0.141940833,0.315670173,0.570434564,0.927416268
betaTemp,0.152689555,0.077781325,0.018540584,0.096116813,0.150491631,0.202563163,0.321406569
betaTemp,0.530760771,0.063634521,0.4108011,0.485771492,0.527613586,0.574871795,0.65839414
betaTemp,0.748064113,0.047882782,0.667888109,0.716018289,0.742904076,0.773253249,0.860521213
betaTemp,0.258393762,0.177667807,0.016215543,0.135023857,0.226238126,0.332896371,0.747761778
betaTemp,0.911032776,0.0398639,0.830343379,0.883530914,0.910720534,0.940063089,0.986271272
betaTemp,0.382586122,0.268869389,0.011697672,0.166386247,0.329098409,0.563236284,0.946219649
betaTemp,0.315711229,0.118250748,0.078884696,0.243708254,0.314193428,0.392117303,0.536668789
betaTemp,0.410028949,0.272462947,0.016758654,0.177585532,0.371570445,0.618657651,0.960140096
betaTemp,0.780295182,0.037619264,0.711594837,0.754159655,0.778655666,0.804919133,0.857807069
betaTemp,0.700916988,0.065098409,0.595485122,0.654856942,0.694329996,0.74079976,0.843397017
betaTemp,0.905711051,0.040447376,0.821210145,0.87945053,0.906330406,0.933154495,0.982061658
betaTemp,0.396223484,0.280569741,0.014405887,0.152296865,0.349312338,0.617817162,0.957391596
betaTemp,0.368653655,0.267389604,0.014600129,0.157603283,0.300775345,0.542433743,0.945445638
betaTemp,0.363053976,0.247051361,0.017230868,0.164767425,0.314766545,0.53248301,0.889766791
betaTemp,0.715584664,0.138074591,0.449828425,0.617182914,0.713387942,0.81919773,0.969991453
betaTemp,0.438223993,0.285426736,0.01821296,0.195722696,0.39989233,0.66395462,0.977854627
betaTemp,0.927484756,0.037859499,0.850309621,0.90051759,0.929183224,0.95725754,0.992383984
betaTemp,0.363786916,0.265318808,0.018570454,0.147956154,0.299997951,0.539220495,0.954890405
betaTemp,0.406060895,0.281416694,0.014200619,0.157126768,0.36647893,0.627493927,0.950464299
betaTemp,0.366701919,0.245968368,0.016794571,0.165460871,0.32527494,0.533192326,0.910993426
betaTemp,0.637699074,0.038925045,0.5585008,0.612039867,0.637550667,0.664170447,0.710709794
betaTemp,0.081694032,0.065131398,0.002668211,0.030248041,0.066018066,0.119471973,0.241232545
betaTemp,0.890681805,0.025835268,0.840974764,0.874172291,0.889633163,0.906055754,0.943394496
betaTemp,0.867412657,0.053712302,0.761721424,0.831193177,0.868157017,0.90294011,0.975813934
betaTemp,0.555097429,0.049585954,0.460045911,0.522021396,0.553886192,0.586813459,0.656323636
betaTemp,0.204531807,0.097786857,0.021050164,0.135231679,0.204468513,0.272960301,0.40037795
betaTemp,0.776920801,0.045535485,0.68542474,0.746130859,0.777670018,0.808901091,0.865910046
betaTemp,0.725259734,0.046421367,0.628779329,0.694615028,0.724893729,0.756610396,0.814263712
betaTemp,0.487084181,0.035071956,0.424518933,0.462614039,0.485200346,0.509686065,0.562977151
betaTemp,0.325909468,0.105549773,0.125049895,0.257242384,0.321754201,0.394070846,0.546449085
betaTemp,0.816423042,0.104054102,0.616434251,0.740833268,0.818956537,0.899813814,0.991858845
betaTemp,0.835921366,0.099764329,0.626629454,0.767514221,0.843556457,0.915687784,0.990853911
betaTemp,0.384532994,0.26498329,0.021075167,0.162968036,0.327110652,0.576332985,0.933854956
betaTemp,0.914704361,0.042699167,0.828505861,0.885541294,0.915253234,0.946832431,0.990825327
betaTemp,0.374628628,0.257458415,0.025490482,0.162618439,0.323156329,0.5462506,0.940475975
betaTemp,0.452759821,0.055407228,0.353798513,0.413924823,0.450525942,0.487914825,0.570529137
betaTemp,0.08766925,0.080173055,0.003052473,0.027652805,0.063574273,0.129120907,0.3011745
betaTemp,0.293649503,0.06036974,0.17805988,0.253402044,0.291703402,0.333131053,0.415681957
betaTemp,0.662108719,0.055636596,0.55949268,0.623211917,0.659220674,0.6983042,0.777425771
betaTemp,0.707058795,0.054461101,0.60724465,0.668728522,0.704189139,0.742695869,0.821754882
betaTemp,0.230627982,0.081034599,0.077098696,0.174825313,0.229245117,0.284202958,0.393369436
betaTemp,0.272795515,0.231284189,0.009542268,0.10855786,0.204597236,0.368056035,0.932609316
betaTemp,0.153720119,0.082859879,0.018419199,0.089347504,0.147807029,0.207484324,0.326568474
betaTemp,0.12153281,0.08514382,0.005282927,0.053718385,0.105819049,0.173784978,0.31918575
betaTemp,0.782046239,0.030216086,0.727854074,0.761620376,0.780853582,0.80063724,0.850861425
betaTemp,0.375136428,0.133381225,0.135118903,0.28899629,0.362922752,0.453185007,0.666987169
betaTemp,0.537462539,0.051447355,0.443173219,0.502029318,0.536220116,0.571544239,0.645535343
betaTemp,0.944599936,0.038187172,0.861471268,0.918680564,0.949893307,0.975593156,0.998219893
