"","Chi-Square","d.f."
"alpha",327.676109840259,299
"beta",269.55292324042,299
"gamma",303.176697941716,299
"delta",339.274765649808,299
"lambda",302.971764112121,299
"luce",299.39475889954,299
"covariance matrix",1803.32835587384,1800
