,alpha,beta,gamma,delta,lambda,luce
lambda,-0.00624965,0.007233091,-0.000100821,-0.050845226,1.33293543,0.028437005
luce,-0.012219417,0.004005707,-0.001331434,-0.014433297,0.028437005,0.06843679
alpha,0.001935722,-0.002336269,-2.38E-05,0.001264989,-0.001981292,-0.006523391
beta,-0.002336269,0.061880778,-0.000410396,-0.013358966,0.006092915,0.015660055
gamma,-2.38E-05,-0.000410396,0.00113569,-0.000468016,-0.003181185,-0.00334912
delta,0.001264989,-0.013358966,-0.000468016,0.012230544,-0.035723415,-0.003539057
lambda,-0.001981292,0.006092915,-0.003181185,-0.035723415,1.354414832,0.008559516
luce,-0.006523391,0.015660055,-0.00334912,-0.003539057,0.008559516,0.058711119
alpha,0.035187154,-0.004849114,-0.02814466,0.007782102,0.006506314,-0.0073991
beta,-0.004849114,0.066494581,0.012414013,-0.019822243,-0.025266875,-0.001741879
gamma,-0.02814466,0.012414013,0.079300124,-0.012701053,-0.011823191,-0.001350688
delta,0.007782102,-0.019822243,-0.012701053,0.020309954,-0.025917696,-0.006198394
lambda,0.006506314,-0.025266875,-0.011823191,-0.025917696,1.297425861,-0.028629362
luce,-0.0073991,-0.001741879,-0.001350688,-0.006198394,-0.028629362,0.082302953
alpha,0.052668613,-0.001374059,-0.029483021,0.000943476,0.007066813,-0.000653343
beta,-0.001374059,0.005850676,0.004981254,-0.000205175,-0.043365989,-0.00476173
gamma,-0.029483021,0.004981254,0.060095166,-0.00133751,-0.012078207,-0.006660185
delta,0.000943476,-0.000205175,-0.00133751,0.001127012,-0.005574646,-0.001625481
lambda,0.007066813,-0.043365989,-0.012078207,-0.005574646,0.813497779,-0.084602455
luce,-0.000653343,-0.00476173,-0.006660185,-0.001625481,-0.084602455,0.064629846
alpha,0.012625131,0.003059744,-0.003497379,0.002604821,0.011994643,-0.009447356
beta,0.003059744,0.003555654,0.003363815,0.000599052,-0.019609688,-0.004853829
gamma,-0.003497379,0.003363815,0.038684634,-0.00316261,-0.031103062,-0.007064998
delta,0.002604821,0.000599052,-0.00316261,0.00975751,-0.006996578,-0.003844105
lambda,0.011994643,-0.019609688,-0.031103062,-0.006996578,0.629080646,-0.071608003
luce,-0.009447356,-0.004853829,-0.007064998,-0.003844105,-0.071608003,0.047004005
alpha,0.057330606,-0.001823086,-0.035681407,0.001104113,0.030615048,-0.003389525
beta,-0.001823086,0.002926184,0.005270094,0.000525876,-0.028731532,-0.004031877
gamma,-0.035681407,0.005270094,0.072983702,-0.001872089,-0.041340342,-0.00544208
delta,0.001104113,0.000525876,-0.001872089,0.001529123,-0.006673155,-0.002470002
lambda,0.030615048,-0.028731532,-0.041340342,-0.006673155,0.992798239,-0.135417056
luce,-0.003389525,-0.004031877,-0.00544208,-0.002470002,-0.135417056,0.073839977
alpha,0.058776485,-0.000799969,-0.026091982,-0.000100698,0.012261453,-0.001464306
beta,-0.000799969,0.002136759,0.001958999,0.001463122,-0.019871245,-0.002141503
gamma,-0.026091982,0.001958999,0.076888841,-0.001272038,0.014790174,-0.01194586
delta,-0.000100698,0.001463122,-0.001272038,0.001988082,-0.011237303,-0.0012793
lambda,0.012261453,-0.019871245,0.014790174,-0.011237303,1.069835507,-0.153438818
luce,-0.001464306,-0.002141503,-0.01194586,-0.0012793,-0.153438818,0.073524675
alpha,0.049682016,0.000337017,-0.017674478,-7.60E-05,0.0132785,-0.004087052
beta,0.000337017,0.002003077,0.00437094,0.001089379,-0.015657512,-0.000637456
gamma,-0.017674478,0.00437094,0.105858058,-0.000420395,-0.038467088,-0.003631748
delta,-7.60E-05,0.001089379,-0.000420395,0.001870689,-0.004955541,-0.000911113
lambda,0.0132785,-0.015657512,-0.038467088,-0.004955541,0.959952715,-0.166046561
luce,-0.004087052,-0.000637456,-0.003631748,-0.000911113,-0.166046561,0.070178053
alpha,0.005420401,0.001177907,0.00097973,-7.48E-05,0.005293624,-0.001329199
beta,0.001177907,0.000900447,0.001339256,-0.000189741,-0.004997562,-0.000697732
gamma,0.00097973,0.001339256,0.015137003,-0.000432636,-0.001195324,-0.000730316
delta,-7.48E-05,-0.000189741,-0.000432636,0.000442416,-0.000947316,-0.000438753
lambda,0.005293624,-0.004997562,-0.001195324,-0.000947316,0.235948637,-0.004073627
luce,-0.001329199,-0.000697732,-0.000730316,-0.000438753,-0.004073627,0.015778014
alpha,0.002936999,5.74E-05,-0.000849811,0.00061055,0.013692005,-0.009006401
beta,5.74E-05,0.00467087,0.002035289,-0.00069578,-0.032622884,-0.002971279
gamma,-0.000849811,0.002035289,0.006259913,7.47E-06,-0.01337229,-0.003664193
delta,0.00061055,-0.00069578,7.47E-06,0.000611765,-0.003018585,-0.002028483
lambda,0.013692005,-0.032622884,-0.01337229,-0.003018585,0.801489709,-0.042252942
luce,-0.009006401,-0.002971279,-0.003664193,-0.002028483,-0.042252942,0.061372627
alpha,0.005536359,0.000471282,-0.001548126,0.000139291,0.050516586,-0.008829152
beta,0.000471282,0.002997937,0.005197772,0.00073236,-0.020845265,2.16E-05
gamma,-0.001548126,0.005197772,0.027286354,0.000574082,-0.021411218,-0.004619079
delta,0.000139291,0.00073236,0.000574082,0.000574575,-0.006803796,-0.000716247
lambda,0.050516586,-0.020845265,-0.021411218,-0.006803796,0.965652301,-0.130414902
luce,-0.008829152,2.16E-05,-0.004619079,-0.000716247,-0.130414902,0.07419518
alpha,0.058372672,-0.002749904,-0.038421207,0.00360858,-0.002005559,-0.00018128
beta,-0.002749904,0.006724888,0.008541782,-0.000606932,-0.039808367,-0.005874207
gamma,-0.038421207,0.008541782,0.083218404,-0.004756502,-0.010320743,-0.009216523
delta,0.00360858,-0.000606932,-0.004756502,0.003538339,-0.013434948,-0.003401699
lambda,-0.002005559,-0.039808367,-0.010320743,-0.013434948,0.718756374,-0.051501198
luce,-0.00018128,-0.005874207,-0.009216523,-0.003401699,-0.051501198,0.058894136
alpha,0.066885432,-0.001186748,-0.044497231,0.001598111,0.038581275,0.00437038
beta,-0.001186748,0.003782733,0.002502426,0.0002655,-0.023451438,-0.002520658
gamma,-0.044497231,0.002502426,0.094907415,-0.004716704,-0.069059351,-0.012126526
delta,0.001598111,0.0002655,-0.004716704,0.010037987,0.002425463,-0.001919136
lambda,0.038581275,-0.023451438,-0.069059351,0.002425463,1.088669635,-0.163669227
luce,0.00437038,-0.002520658,-0.012126526,-0.001919136,-0.163669227,0.072053949
alpha,0.008737405,0.000354606,-0.00198293,0.006051807,-0.008317133,-0.014431991
beta,0.000354606,0.043869655,0.006900343,-0.015752873,-0.010778351,0.002439594
gamma,-0.00198293,0.006900343,0.024780364,-0.007052899,-0.005151571,-0.001758043
delta,0.006051807,-0.015752873,-0.007052899,0.027868557,-0.049972116,-0.019105081
lambda,-0.008317133,-0.010778351,-0.005151571,-0.049972116,1.322491666,0.0148371
luce,-0.014431991,0.002439594,-0.001758043,-0.019105081,0.0148371,0.081344073
alpha,0.043230892,0.000942447,-0.027352818,0.005163059,0.003155856,0.00126315
beta,0.000942447,0.000688337,0.001887013,0.000349077,-0.003027897,-0.000464667
gamma,-0.027352818,0.001887013,0.068854638,-0.005148239,-0.008590571,-0.00125788
delta,0.005163059,0.000349077,-0.005148239,0.002845171,-0.002252599,-0.000441092
lambda,0.003155856,-0.003027897,-0.008590571,-0.002252599,0.162427252,-0.002424964
luce,0.00126315,-0.000464667,-0.00125788,-0.000441092,-0.002424964,0.013659778
alpha,0.014053771,0.000654768,-0.007126147,0.002369633,0.019024258,-0.00857309
beta,0.000654768,0.006163967,0.003846304,0.000732239,-0.03720906,-0.006136634
gamma,-0.007126147,0.003846304,0.016628907,-0.000512383,-0.014830631,-0.008749124
delta,0.002369633,0.000732239,-0.000512383,0.004900803,-0.013967782,-0.005222771
lambda,0.019024258,-0.03720906,-0.014830631,-0.013967782,0.692292913,-0.079135983
luce,-0.00857309,-0.006136634,-0.008749124,-0.005222771,-0.079135983,0.076664496
alpha,0.027283498,-0.000101703,-0.01424332,-0.000200278,0.044333637,-0.000473313
beta,-0.000101703,0.001152915,0.003657715,-0.000451784,-0.01122732,-0.001240871
gamma,-0.01424332,0.003657715,0.041177572,-0.001804954,-0.018594522,-0.004482596
delta,-0.000200278,-0.000451784,-0.001804954,0.00076895,0.001612257,-0.000709924
lambda,0.044333637,-0.01122732,-0.018594522,0.001612257,0.782721896,-0.054345438
luce,-0.000473313,-0.001240871,-0.004482596,-0.000709924,-0.054345438,0.062061073
alpha,0.042201296,-0.007904919,-0.029554845,0.005003794,0.005446809,-0.000297299
beta,-0.007904919,0.055364121,0.027079831,-0.0133601,-0.060024624,-0.009901824
gamma,-0.029554845,0.027079831,0.090525591,-0.009441815,-0.030258256,-0.023511379
delta,0.005003794,-0.0133601,-0.009441815,0.008502293,-0.005512312,-0.000690263
lambda,0.005446809,-0.060024624,-0.030258256,-0.005512312,1.338417478,-0.00094531
luce,-0.000297299,-0.009901824,-0.023511379,-0.000690263,-0.00094531,0.080500035
alpha,0.004513666,-0.004325034,-0.001460927,0.013322579,0.001689852,-0.015220259
beta,-0.004325034,0.054358158,0.00412506,-0.03384824,-0.014622244,0.013140195
gamma,-0.001460927,0.00412506,0.005800674,-0.005454496,-0.003289632,-0.000805526
delta,0.013322579,-0.03384824,-0.005454496,0.084044367,-0.082088141,-0.041277774
lambda,0.001689852,-0.014622244,-0.003289632,-0.082088141,1.284897638,-0.014410158
luce,-0.015220259,0.013140195,-0.000805526,-0.041277774,-0.014410158,0.075389563
alpha,0.071205931,-0.00378259,-0.028467126,0.001817046,0.008100292,0.007938963
beta,-0.00378259,0.06545773,0.004907203,-0.010926608,-0.01059946,-0.002449283
gamma,-0.028467126,0.004907203,0.044363916,-0.000104346,-0.007639837,-0.017527076
delta,0.001817046,-0.010926608,-0.000104346,0.008075082,-0.014390158,-0.002763687
lambda,0.008100292,-0.01059946,-0.007639837,-0.014390158,1.307792588,-0.003589781
luce,0.007938963,-0.002449283,-0.017527076,-0.002763687,-0.003589781,0.082977931
alpha,0.002866867,-0.00272494,-0.000478919,0.005878459,-0.00113166,-0.008293898
beta,-0.00272494,0.055119752,0.002415234,-0.024605894,-0.017060011,0.008078239
gamma,-0.000478919,0.002415234,0.003162702,-0.002069237,-0.003097568,0.00011235
delta,0.005878459,-0.024605894,-0.002069237,0.060949545,-0.082115589,-0.019432423
lambda,-0.00113166,-0.017060011,-0.003097568,-0.082115589,1.311814664,0.00853252
luce,-0.008293898,0.008078239,0.00011235,-0.019432423,0.00853252,0.0577406
alpha,0.037085946,0.00028966,-0.016128058,0.001708738,-0.009345267,-0.006833686
beta,0.00028966,0.069138773,0.000690003,-0.005390021,-0.014270087,-0.000899049
gamma,-0.016128058,0.000690003,0.027529541,0.000129341,0.009428152,-0.009306723
delta,0.001708738,-0.005390021,0.000129341,0.005102665,-0.017972069,-0.002760912
lambda,-0.009345267,-0.014270087,0.009428152,-0.017972069,1.329295624,-0.002805719
luce,-0.006833686,-0.000899049,-0.009306723,-0.002760912,-0.002805719,0.078961794
alpha,0.002001955,-0.002031756,0.000252038,0.005120054,0.003567191,-0.005655605
beta,-0.002031756,0.04394365,0.001070448,-0.025086971,-0.024941669,0.004745135
gamma,0.000252038,0.001070448,0.001877805,-0.000941206,-0.002080078,1.13E-05
delta,0.005120054,-0.025086971,-0.000941206,0.046742483,-0.039998567,-0.012681514
lambda,0.003567191,-0.024941669,-0.002080078,-0.039998567,1.253411063,-0.019122631
luce,-0.005655605,0.004745135,1.13E-05,-0.012681514,-0.019122631,0.041771913
alpha,0.024890895,-0.000430217,-0.007934808,0.015407625,-0.019766853,-0.015499564
beta,-0.000430217,0.019967952,0.001244878,-0.003877574,-0.027576539,-0.004898019
gamma,-0.007934808,0.001244878,0.00423655,-0.003428275,0.006553603,-0.001634441
delta,0.015407625,-0.003877574,-0.003428275,0.030716639,-0.072112475,-0.017625863
lambda,-0.019766853,-0.027576539,0.006553603,-0.072112475,0.907317727,-0.018218045
luce,-0.015499564,-0.004898019,-0.001634441,-0.017625863,-0.018218045,0.079467156
alpha,0.003262683,0.001451946,-0.002158001,0.001291016,0.017483406,-0.0059369
beta,0.001451946,0.005056162,0.000913127,0.000639076,-0.026880798,-0.005115241
gamma,-0.002158001,0.000913127,0.005696952,0.000123737,-0.016476559,-0.002212038
delta,0.001291016,0.000639076,0.000123737,0.010823749,-0.019395924,-0.00477978
lambda,0.017483406,-0.026880798,-0.016476559,-0.019395924,0.711116989,-0.043949152
luce,-0.0059369,-0.005115241,-0.002212038,-0.00477978,-0.043949152,0.040663902
alpha,0.0647375,-0.001370098,-0.040260013,-0.000379556,0.019749326,0.00727582
beta,-0.001370098,0.003875554,0.003692809,0.000425268,-0.020490182,-0.006240112
gamma,-0.040260013,0.003692809,0.083285556,-0.001012477,-0.041882815,-0.017555312
delta,-0.000379556,0.000425268,-0.001012477,0.007183548,-0.008873967,-0.001783006
lambda,0.019749326,-0.020490182,-0.041882815,-0.008873967,0.653052048,-0.074959158
luce,0.00727582,-0.006240112,-0.017555312,-0.001783006,-0.074959158,0.057753609
alpha,0.057007249,-0.004287411,-0.029917587,0.000465718,0.00707212,0.001727829
beta,-0.004287411,0.069193333,0.00565803,-0.008247422,-0.028076756,-0.00264471
gamma,-0.029917587,0.00565803,0.049840515,-0.000665691,-0.0002683,-0.01145029
delta,0.000465718,-0.008247422,-0.000665691,0.005984359,-0.013403934,-0.002527377
lambda,0.00707212,-0.028076756,-0.0002683,-0.013403934,1.280697016,-0.011569372
luce,0.001727829,-0.00264471,-0.01145029,-0.002527377,-0.011569372,0.079313151
alpha,0.001034093,-0.00113118,-0.00028584,0.001111073,0.001803644,-0.002320118
beta,-0.00113118,0.064381845,0.003344826,-0.017827201,-0.008276994,0.003067687
gamma,-0.00028584,0.003344826,0.003591173,0.000374779,-0.001283595,-0.000767079
delta,0.001111073,-0.017827201,0.000374779,0.026909097,-0.043890026,-0.004622122
lambda,0.001803644,-0.008276994,-0.001283595,-0.043890026,1.390812252,-0.017075912
luce,-0.002320118,0.003067687,-0.000767079,-0.004622122,-0.017075912,0.048937518
alpha,0.003525697,0.001013988,0.000442308,0.001776022,0.005389018,-0.008312332
beta,0.001013988,0.004885365,0.00252004,0.000390344,-0.034530202,-0.002166019
gamma,0.000442308,0.00252004,0.009901721,0.000524262,-0.012020723,-0.004415084
delta,0.001776022,0.000390344,0.000524262,0.002261027,-0.006301802,-0.004151878
lambda,0.005389018,-0.034530202,-0.012020723,-0.006301802,0.444945867,-0.026968172
luce,-0.008312332,-0.002166019,-0.004415084,-0.004151878,-0.026968172,0.038502504
alpha,0.020128317,-0.004964907,-0.011603149,0.004272201,-0.004050712,-0.009173662
beta,-0.004964907,0.075309096,0.004496988,-0.013546133,-0.007764109,0.000970119
gamma,-0.011603149,0.004496988,0.019853493,-0.002629192,0.001447332,-0.006819576
delta,0.004272201,-0.013546133,-0.002629192,0.012546075,-0.026345788,-0.004395066
lambda,-0.004050712,-0.007764109,0.001447332,-0.026345788,1.365045427,-0.001519399
luce,-0.009173662,0.000970119,-0.006819576,-0.004395066,-0.001519399,0.07824645
alpha,0.026794811,-0.002543317,-0.026162216,0.006162095,-0.000967496,-0.008749212
beta,-0.002543317,0.076181624,0.015568256,-0.023745241,-0.013752571,0.000542848
gamma,-0.026162216,0.015568256,0.093552576,-0.019013092,-0.002318188,0.003931557
delta,0.006162095,-0.023745241,-0.019013092,0.028675825,-0.028203046,-0.007169999
lambda,-0.000967496,-0.013752571,-0.002318188,-0.028203046,1.222062279,0.002394794
luce,-0.008749212,0.000542848,0.003931557,-0.007169999,0.002394794,0.076340544
alpha,0.077405877,-0.001437958,-0.025372084,0.000104974,-0.003506834,0.007298069
beta,-0.001437958,0.074314836,-0.001706307,-0.006414311,-0.028204399,-0.003136785
gamma,-0.025372084,-0.001706307,0.045015823,0.000421708,-0.008405664,-0.014777663
delta,0.000104974,-0.006414311,0.000421708,0.003712895,-0.005306736,-0.001524045
lambda,-0.003506834,-0.028204399,-0.008405664,-0.005306736,1.32873345,-0.006001838
luce,0.007298069,-0.003136785,-0.014777663,-0.001524045,-0.006001838,0.085701761
alpha,0.005428218,3.89E-05,-0.002008833,0.001689123,0.052985075,-0.005263511
beta,3.89E-05,0.000770494,0.000782589,0.000596224,-0.006346747,0.000757396
gamma,-0.002008833,0.000782589,0.017933736,-0.000765956,0.016021513,-0.003009146
delta,0.001689123,0.000596224,-0.000765956,0.001754065,0.012408841,-0.000297463
lambda,0.052985075,-0.006346747,0.016021513,0.012408841,0.845604897,-0.104847305
luce,-0.005263511,0.000757396,-0.003009146,-0.000297463,-0.104847305,0.077380644
alpha,0.064456705,-0.001384343,-0.042093867,0.001021517,0.018404526,0.001076667
beta,-0.001384343,0.002650255,0.004849071,0.000171195,-0.018120776,-0.002810553
gamma,-0.042093867,0.004849071,0.091242509,-0.00068096,-0.040819165,-0.009834593
delta,0.001021517,0.000171195,-0.00068096,0.00253459,-0.000658391,-0.000796844
lambda,0.018404526,-0.018120776,-0.040819165,-0.000658391,0.855029736,-0.164668869
luce,0.001076667,-0.002810553,-0.009834593,-0.000796844,-0.164668869,0.068850008
alpha,0.049625275,-0.000503279,-0.032239859,0.000579905,0.008477604,-0.001334161
beta,-0.000503279,0.002961046,0.003823349,0.000784114,-0.02585558,-0.004913043
gamma,-0.032239859,0.003823349,0.0892745,-0.000418506,-0.017852325,-0.00931004
delta,0.000579905,0.000784114,-0.000418506,0.001245447,-0.011455985,-0.00311809
lambda,0.008477604,-0.02585558,-0.017852325,-0.011455985,0.925814502,-0.099199401
luce,-0.001334161,-0.004913043,-0.00931004,-0.00311809,-0.099199401,0.070404603
alpha,0.073486179,-0.005038953,-0.032079924,0.003116846,-0.015232436,0.007499452
beta,-0.005038953,0.032065842,0.011021533,-0.007098193,-0.055789889,-0.011042058
gamma,-0.032079924,0.011021533,0.057334299,-0.003315004,0.006870216,-0.017686835
delta,0.003116846,-0.007098193,-0.003315004,0.006571317,-0.01401954,-0.001874143
lambda,-0.015232436,-0.055789889,0.006870216,-0.01401954,1.281230376,-0.008627154
luce,0.007499452,-0.011042058,-0.017686835,-0.001874143,-0.008627154,0.079937453
alpha,0.056538816,-0.000439454,-0.027462942,0.001183852,0.003408099,0.000835743
beta,-0.000439454,0.001939611,0.003406782,-0.000173997,-0.00357708,-0.001899343
gamma,-0.027462942,0.003406782,0.067605485,-0.000866222,-0.002559837,-0.00372714
delta,0.001183852,-0.000173997,-0.000866222,0.000729536,0.000159006,0.000203497
lambda,0.003408099,-0.00357708,-0.002559837,0.000159006,0.054534095,-0.008499463
luce,0.000835743,-0.001899343,-0.00372714,0.000203497,-0.008499463,0.013171939
alpha,0.003181849,0.001089087,-0.001233361,0.001698098,0.021459781,-0.00884047
beta,0.001089087,0.00604344,0.001815444,0.002226443,-0.045010675,-0.000747834
gamma,-0.001233361,0.001815444,0.009141873,-0.001526807,-0.016030267,-0.001622855
delta,0.001698098,0.002226443,-0.001526807,0.013491289,-0.030328459,-0.001312885
lambda,0.021459781,-0.045010675,-0.016030267,-0.030328459,0.849748315,-0.115842095
luce,-0.00884047,-0.000747834,-0.001622855,-0.001312885,-0.115842095,0.054441303
alpha,0.003400032,0.001855334,-0.000682178,0.003133204,0.014844522,-0.010149564
beta,0.001855334,0.00518823,0.000969459,0.000855804,-0.030821786,-0.00426834
gamma,-0.000682178,0.000969459,0.008701538,-0.001514879,-0.007849945,-0.000563535
delta,0.003133204,0.000855804,-0.001514879,0.012587618,-0.022377906,-0.011369043
lambda,0.014844522,-0.030821786,-0.007849945,-0.022377906,0.874630575,-0.064550952
luce,-0.010149564,-0.00426834,-0.000563535,-0.011369043,-0.064550952,0.055415587
alpha,0.062000942,0.000437937,-0.032387573,0.000975401,0.004031728,-0.00433927
beta,0.000437937,0.001512473,0.001345168,0.001222467,-0.006907754,-0.001962747
gamma,-0.032387573,0.001345168,0.09527674,-0.001094876,0.001394165,-0.008546902
delta,0.000975401,0.001222467,-0.001094876,0.001553657,-0.005274807,-0.001696069
lambda,0.004031728,-0.006907754,0.001394165,-0.005274807,0.900380859,-0.112960206
luce,-0.00433927,-0.001962747,-0.008546902,-0.001696069,-0.112960206,0.07437246
alpha,0.004027526,-4.03E-05,-0.001388381,0.001314232,0.043885789,-0.009557008
beta,-4.03E-05,0.00185655,0.002086285,0.000806228,-0.021877329,-6.55E-05
gamma,-0.001388381,0.002086285,0.008860737,-0.001381209,-0.015505006,-0.004230281
delta,0.001314232,0.000806228,-0.001381209,0.004506578,-0.007373614,-0.000570479
lambda,0.043885789,-0.021877329,-0.015505006,-0.007373614,0.952898072,-0.164138691
luce,-0.009557008,-6.55E-05,-0.004230281,-0.000570479,-0.164138691,0.065320909
alpha,0.022252997,-0.002300475,-0.010738611,0.002226372,-0.003395468,-0.008562871
beta,-0.002300475,0.077958856,0.001530788,-0.011770431,0.013351537,0.001115862
gamma,-0.010738611,0.001530788,0.010736391,-0.001002077,0.000929839,-0.004856909
delta,0.002226372,-0.011770431,-0.001002077,0.009758835,-0.028201498,-0.002849112
lambda,-0.003395468,0.013351537,0.000929839,-0.028201498,1.399822692,-0.003087035
luce,-0.008562871,0.001115862,-0.004856909,-0.002849112,-0.003087035,0.080045633
alpha,0.003042657,0.001316069,-0.001778799,0.003613432,0.013983849,-0.007941718
beta,0.001316069,0.006984287,0.000956914,-0.00046171,-0.042282573,-0.002013529
gamma,-0.001778799,0.000956914,0.012641635,-0.004366486,-0.014922754,0.00114801
delta,0.003613432,-0.00046171,-0.004366486,0.023291547,-0.040888237,-0.00986204
lambda,0.013983849,-0.042282573,-0.014922754,-0.040888237,1.11851894,-0.076389789
luce,-0.007941718,-0.002013529,0.00114801,-0.00986204,-0.076389789,0.045003025
alpha,0.002862576,-0.002109506,-0.00063448,0.005224689,0.00559425,-0.008430149
beta,-0.002109506,0.054507323,0.002649721,-0.03661587,-0.000755207,0.003237564
gamma,-0.00063448,0.002649721,0.002840379,-0.00349858,-0.006333564,-0.000418683
delta,0.005224689,-0.03661587,-0.00349858,0.071440065,-0.04073875,-0.013217466
lambda,0.00559425,-0.000755207,-0.006333564,-0.04073875,1.38394615,-0.006651281
luce,-0.008430149,0.003237564,-0.000418683,-0.013217466,-0.006651281,0.055659595
alpha,0.003340319,-0.002061774,-0.000549848,0.005902753,0.002791127,-0.010518382
beta,-0.002061774,0.071673967,0.001317988,-0.035084839,0.014790535,0.004542642
gamma,-0.000549848,0.001317988,0.004223356,-0.0031233,-0.002036453,-0.00118732
delta,0.005902753,-0.035084839,-0.0031233,0.068765728,-0.063823345,-0.01615846
lambda,0.002791127,0.014790535,-0.002036453,-0.063823345,1.358037718,-0.01282845
luce,-0.010518382,0.004542642,-0.00118732,-0.01615846,-0.01282845,0.05315698
alpha,0.056954964,0.000603895,-0.014167241,-0.003080671,0.037610116,0.003793755
beta,0.000603895,0.00049082,0.00082488,0.000176864,-0.00137513,-8.29E-05
gamma,-0.014167241,0.00082488,0.06892756,-0.00285378,0.024534765,0.003265975
delta,-0.003080671,0.000176864,-0.00285378,0.001475577,-0.004586748,-0.001470438
lambda,0.037610116,-0.00137513,0.024534765,-0.004586748,0.737643832,-0.072919231
luce,0.003793755,-8.29E-05,0.003265975,-0.001470438,-0.072919231,0.066315787
alpha,0.068998007,-0.000881427,-0.04015137,0.000296804,0.01310876,0.001469003
beta,-0.000881427,0.002157469,0.003211663,0.000838193,-0.012404338,-0.004302739
gamma,-0.04015137,0.003211663,0.092545433,-0.001197733,-0.021897474,-0.00920019
delta,0.000296804,0.000838193,-0.001197733,0.001610602,-0.003693601,-0.00175924
lambda,0.01310876,-0.012404338,-0.021897474,-0.003693601,0.652682106,-0.078827986
luce,0.001469003,-0.004302739,-0.00920019,-0.00175924,-0.078827986,0.061950918
alpha,0.026715352,0.001095502,-0.010848603,-0.000607821,0.032094958,-0.006810636
beta,0.001095502,0.003457005,0.005975428,0.000813722,-0.027440268,-0.004103166
gamma,-0.010848603,0.005975428,0.063965194,-0.00095566,-0.034544119,-0.005148264
delta,-0.000607821,0.000813722,-0.00095566,0.001460951,-0.007800176,-0.002049754
lambda,0.032094958,-0.027440268,-0.034544119,-0.007800176,0.864651829,-0.091519446
luce,-0.006810636,-0.004103166,-0.005148264,-0.002049754,-0.091519446,0.06362563
alpha,0.049921236,-0.000112164,-0.021244076,0.000502005,0.018388515,-0.003966287
beta,-0.000112164,0.003215092,0.0058365,0.000805899,-0.024408409,-0.001844426
gamma,-0.021244076,0.0058365,0.086936397,0.000799707,-0.002227913,-0.014324305
delta,0.000502005,0.000805899,0.000799707,0.001191575,-0.00910057,-0.001129275
lambda,0.018388515,-0.024408409,-0.002227913,-0.00910057,0.853791268,-0.150772297
luce,-0.003966287,-0.001844426,-0.014324305,-0.001129275,-0.150772297,0.069466218
alpha,0.081254039,-0.001245987,-0.027724019,0.001698486,0.001112375,0.006185428
beta,-0.001245987,0.057161489,0.008099658,-0.010094626,-0.026203192,-0.005653023
gamma,-0.027724019,0.008099658,0.049524392,-0.000980228,-0.001198871,-0.018894275
delta,0.001698486,-0.010094626,-0.000980228,0.007193538,-0.014370963,-0.002699668
lambda,0.001112375,-0.026203192,-0.001198871,-0.014370963,1.267551729,-0.006107811
luce,0.006185428,-0.005653023,-0.018894275,-0.002699668,-0.006107811,0.084973974
alpha,0.076829168,-0.003924461,-0.041306674,0.001426782,0.008395738,0.003321809
beta,-0.003924461,0.005909919,0.007006576,-0.000606659,-0.042671573,-0.006401218
gamma,-0.041306674,0.007006576,0.071747391,-0.002202866,-0.015916567,-0.006989853
delta,0.001426782,-0.000606659,-0.002202866,0.001012208,-0.005995726,-0.001817632
lambda,0.008395738,-0.042671573,-0.015916567,-0.005995726,1.060703724,-0.082943178
luce,0.003321809,-0.006401218,-0.006989853,-0.001817632,-0.082943178,0.075489417
alpha,0.030050244,-0.003481569,-0.021949825,0.003977476,-0.001103019,-0.005229299
beta,-0.003481569,0.065528516,0.013061389,-0.016293674,-0.016949189,-0.000661257
gamma,-0.021949825,0.013061389,0.089634847,-0.009726901,0.003780901,-0.006900032
delta,0.003977476,-0.016293674,-0.009726901,0.018122214,-0.028926058,-0.005783682
lambda,-0.001103019,-0.016949189,0.003780901,-0.028926058,1.292594305,-0.014424586
luce,-0.005229299,-0.000661257,-0.006900032,-0.005783682,-0.014424586,0.073855626
alpha,0.042161305,-0.000621157,-0.010925791,-0.000358624,0.025349637,-0.003677317
beta,-0.000621157,0.001559481,0.004081433,0.00065206,-0.008440255,-0.000940529
gamma,-0.010925791,0.004081433,0.072753929,0.000335349,-0.022427732,-0.006014258
delta,-0.000358624,0.00065206,0.000335349,0.001384131,-0.000301094,-0.001041598
lambda,0.025349637,-0.008440255,-0.022427732,-0.000301094,0.986772787,-0.185807985
luce,-0.003677317,-0.000940529,-0.006014258,-0.001041598,-0.185807985,0.074339247
alpha,0.063277663,-0.004399191,-0.029826432,0.001310561,-7.90E-06,0.003349697
beta,-0.004399191,0.071116639,0.005281879,-0.009406047,-0.014058096,-0.001710909
gamma,-0.029826432,0.005281879,0.047172063,-0.00122843,0.007515259,-0.014430338
delta,0.001310561,-0.009406047,-0.00122843,0.007760806,-0.021131074,-0.002990973
lambda,-7.90E-06,-0.014058096,0.007515259,-0.021131074,1.343151845,-0.018478351
luce,0.003349697,-0.001710909,-0.014430338,-0.002990973,-0.018478351,0.082573953
alpha,0.071828145,-0.005720276,-0.036634024,0.002619095,-0.00383263,-0.002025963
beta,-0.005720276,0.06520922,0.011902959,-0.012513332,-0.035842443,-0.008449619
gamma,-0.036634024,0.011902959,0.062989656,-0.003468116,0.008990674,-0.009852024
delta,0.002619095,-0.012513332,-0.003468116,0.01215147,-0.023670482,-0.003425955
