,delta,sd,2.5%,25%,50%,75%,97.5%
deltaTemp,0.372237393,0.059483939,0.267409867,0.330474594,0.369521566,0.40881,0.502724301
deltaTemp,0.865447703,0.100189756,0.631214591,0.806535516,0.887702387,0.945282533,0.994178656
deltaTemp,0.26432593,0.166938782,0.022450324,0.140316606,0.243857386,0.3572408,0.677175
deltaTemp,0.837918338,0.053340145,0.748592055,0.799699284,0.831074336,0.871747645,0.948643131
deltaTemp,0.462820861,0.070005733,0.340866164,0.414023423,0.458634005,0.506184721,0.610283262
deltaTemp,0.684824553,0.027729944,0.633153024,0.666337141,0.68343508,0.702412821,0.743117493
deltaTemp,0.211721758,0.092207879,0.031407492,0.148874024,0.204408011,0.271113402,0.405119349
deltaTemp,0.370128574,0.289904066,0.007379364,0.098668799,0.329594089,0.605655267,0.937650851
deltaTemp,0.129659414,0.089861462,0.008996004,0.062557805,0.112258345,0.179115656,0.347061361
deltaTemp,0.319176643,0.246879615,0.022454459,0.126917422,0.240590372,0.474221813,0.915253865
deltaTemp,0.109571748,0.071432938,0.006395014,0.058449158,0.104137453,0.145045304,0.277498592
deltaTemp,0.370474907,0.2162001,0.030636406,0.20599853,0.339508812,0.497590568,0.883477985
deltaTemp,0.417425673,0.175261629,0.043581682,0.311884993,0.428097529,0.532123535,0.745119627
deltaTemp,0.782261415,0.104037249,0.590316471,0.707867766,0.778969553,0.857770385,0.982897112
deltaTemp,0.878110378,0.084755813,0.69185798,0.822517081,0.892402982,0.947829549,0.995199382
deltaTemp,0.101893614,0.077358638,0.005615887,0.047807041,0.084907474,0.134219495,0.307189142
deltaTemp,0.25136087,0.164039926,0.031307882,0.147437372,0.211314604,0.309608439,0.733626619
deltaTemp,0.372974614,0.047550257,0.28195817,0.339961961,0.373144966,0.403792865,0.468295879
deltaTemp,0.125424146,0.112009264,0.004536306,0.048895146,0.096306795,0.164966838,0.433419511
deltaTemp,0.161370649,0.169339379,0.006519635,0.055586694,0.103932801,0.201832445,0.687527203
deltaTemp,0.086176957,0.060933529,0.005464635,0.040099133,0.077764016,0.115981101,0.236121218
deltaTemp,0.883933738,0.041881562,0.797873213,0.854518968,0.887531949,0.914220348,0.959563202
deltaTemp,0.934702301,0.050344712,0.813172338,0.904023006,0.944821616,0.975567176,0.997691473
deltaTemp,0.432409727,0.035290893,0.368716477,0.406466634,0.43067815,0.455598933,0.50590614
deltaTemp,0.235746191,0.081063662,0.041401004,0.188492899,0.239421364,0.286738413,0.392224491
deltaTemp,0.578567875,0.027009916,0.526772151,0.560486186,0.578450699,0.59623591,0.631967642
deltaTemp,0.79252124,0.11615201,0.562286163,0.705692482,0.796437538,0.884018935,0.984713577
deltaTemp,0.606830952,0.112194552,0.422239649,0.528313268,0.594168272,0.675387463,0.858000428
deltaTemp,0.89835398,0.039416456,0.816165663,0.872716263,0.899214595,0.9250885,0.97412668
deltaTemp,0.890210104,0.067131052,0.755018734,0.84240142,0.894723077,0.944911631,0.994596277
deltaTemp,0.094062433,0.098786816,0.003899548,0.033769638,0.068741047,0.115405267,0.379257816
deltaTemp,0.616872471,0.152615684,0.375319338,0.500970971,0.588312686,0.722007894,0.952995944
deltaTemp,0.35552539,0.267282743,0.013882273,0.111861334,0.309222117,0.547794388,0.917699371
deltaTemp,0.261582101,0.262232203,0.008202251,0.067044259,0.140981059,0.416497849,0.905959178
deltaTemp,0.690971619,0.038413243,0.623761815,0.66215012,0.688989769,0.718556615,0.767037605
deltaTemp,0.544942574,0.040132307,0.463118803,0.517953251,0.545787246,0.574594428,0.615741717
deltaTemp,0.535374481,0.038222388,0.4621097,0.507935899,0.535321963,0.561933787,0.609541083
deltaTemp,0.489948827,0.034519193,0.422126963,0.465668932,0.490390919,0.514424856,0.552741809
deltaTemp,0.165501719,0.08481473,0.0162549,0.111281457,0.159525426,0.216130885,0.350265306
deltaTemp,0.275955972,0.031815215,0.216539703,0.2549927,0.274633358,0.295205022,0.343104393
deltaTemp,0.15976391,0.134618773,0.005855428,0.06494306,0.125730459,0.218344508,0.502718424
deltaTemp,0.953264235,0.037203913,0.865453802,0.931592156,0.961838321,0.983022513,0.99869674
deltaTemp,0.104626879,0.088095436,0.005060405,0.042758655,0.083880933,0.137795758,0.336405392
deltaTemp,0.158614706,0.110233708,0.007313736,0.074324,0.140894637,0.225004534,0.411004085
deltaTemp,0.676040307,0.169583143,0.3434678,0.559514051,0.666718145,0.802144109,0.971033221
deltaTemp,0.344519163,0.013229791,0.323517253,0.335780033,0.343065483,0.351402555,0.376176241
deltaTemp,0.580239202,0.313038246,0.020231112,0.333793313,0.662702243,0.849814885,0.985008092
deltaTemp,0.709293633,0.236766189,0.054184805,0.616714423,0.762050356,0.880080145,0.989721186
deltaTemp,0.833854377,0.105720201,0.597365552,0.765740615,0.847997656,0.919985745,0.989196811
deltaTemp,0.763025094,0.066770671,0.64436318,0.715268008,0.758565058,0.803544371,0.905358329
deltaTemp,0.278600784,0.015068247,0.247346235,0.268825043,0.278857458,0.288819549,0.307069496
deltaTemp,0.589289269,0.167945533,0.289838689,0.473142407,0.576446716,0.696557572,0.938739973
deltaTemp,0.493041551,0.036728393,0.421579276,0.467674922,0.492867284,0.518713124,0.561048866
deltaTemp,0.581166925,0.116837544,0.400567675,0.497299751,0.564679266,0.647089107,0.852277078
deltaTemp,0.806755677,0.052550371,0.716247581,0.769197282,0.801350055,0.839993736,0.919134572
deltaTemp,0.774497956,0.129802392,0.51857269,0.677479554,0.778706859,0.881449328,0.985374207
deltaTemp,0.081177908,0.057761277,0.005933812,0.039306896,0.070289323,0.109540932,0.221116243
deltaTemp,0.246496848,0.020929637,0.204085729,0.23302471,0.247217291,0.260729025,0.284952481
deltaTemp,0.347262013,0.037449122,0.27868609,0.320688481,0.344310475,0.371769493,0.426903054
deltaTemp,0.865206442,0.042695622,0.785941668,0.835740051,0.86272105,0.893836235,0.952927502
deltaTemp,0.364880175,0.025280355,0.318713114,0.347070481,0.363743304,0.381127337,0.416832562
deltaTemp,0.83798334,0.091423457,0.646333467,0.774374875,0.84106079,0.910676716,0.988541332
deltaTemp,0.275581557,0.013529752,0.246142892,0.267234637,0.276164877,0.284524912,0.300905207
deltaTemp,0.258642251,0.194221345,0.009859981,0.11428126,0.20833817,0.365728196,0.768447808
