,alpha,sd,2.5%,25%,50%,75%,97.5%
alphaTemp,0.288487039,0.241604371,0.010860926,0.104766396,0.218822916,0.397399485,0.909141093
alphaTemp,0.284903662,0.258622181,0.007249763,0.080619015,0.193010956,0.43359051,0.914670581
alphaTemp,0.327717757,0.093474087,0.132265416,0.2676647,0.327614018,0.389131883,0.507924869
alphaTemp,0.37921569,0.207920397,0.037901883,0.237738636,0.358650573,0.480155166,0.915466191
alphaTemp,0.484115725,0.118548602,0.254223781,0.414617002,0.480220427,0.552447871,0.732990472
alphaTemp,0.631846981,0.16517717,0.222778734,0.553089864,0.644503067,0.729592954,0.942400228
alphaTemp,0.262482926,0.205429539,0.010372754,0.119833394,0.222048847,0.331938832,0.849807832
alphaTemp,0.662878856,0.067183822,0.553183616,0.609037297,0.654894173,0.713802822,0.794929358
alphaTemp,0.348877108,0.266844395,0.011694527,0.118188337,0.282021921,0.550709701,0.924445438
alphaTemp,0.883058257,0.053543131,0.780802046,0.845740522,0.882665117,0.921062832,0.982999999
alphaTemp,0.372420799,0.192577117,0.041044129,0.226971665,0.362346475,0.490584509,0.802929502
alphaTemp,0.80929631,0.04474321,0.727156645,0.778823193,0.806698789,0.836355066,0.90380979
alphaTemp,0.710928118,0.157768487,0.380551761,0.604917194,0.721240327,0.827898314,0.978244666
alphaTemp,0.634051371,0.0571199,0.528190068,0.596618576,0.632194711,0.66917049,0.754635092
alphaTemp,0.298460001,0.254435649,0.011990091,0.094012398,0.214901966,0.452906617,0.904004525
alphaTemp,0.292456155,0.238761909,0.015388884,0.109158488,0.222289266,0.41232317,0.896693086
alphaTemp,0.957565265,0.03215731,0.880055552,0.937658828,0.964717764,0.983642838,0.997950641
alphaTemp,0.632309428,0.059377576,0.502093137,0.594538635,0.638837558,0.676375873,0.730806475
alphaTemp,0.405248262,0.141874301,0.134636083,0.318322677,0.397296196,0.486213532,0.721142377
alphaTemp,0.166839701,0.163691207,0.005734702,0.062284195,0.123289414,0.20743522,0.691948705
alphaTemp,0.384541886,0.278219118,0.012335444,0.137782338,0.336164164,0.604213611,0.943573776
alphaTemp,0.86148005,0.073676444,0.701798545,0.813411072,0.867513274,0.916564986,0.983006408
alphaTemp,0.285585332,0.253883251,0.009023353,0.082297857,0.201353443,0.42127414,0.900003768
alphaTemp,0.287695553,0.222767312,0.009852532,0.116830921,0.238290302,0.39385374,0.856277044
alphaTemp,0.32566031,0.271083344,0.010965672,0.107542749,0.236413207,0.497615718,0.95701875
alphaTemp,0.387218674,0.237778923,0.021781723,0.20155768,0.364079407,0.532819836,0.943050223
alphaTemp,0.576949085,0.056407881,0.468943028,0.540395136,0.575334213,0.612823956,0.695611277
alphaTemp,0.60225899,0.058309789,0.489524389,0.563037367,0.600696283,0.640711149,0.719705674
alphaTemp,0.329027953,0.248999883,0.011556798,0.13122633,0.274121443,0.470819836,0.915322033
alphaTemp,0.717523563,0.063462792,0.587701797,0.675423409,0.720590241,0.762831014,0.828697834
alphaTemp,0.466584917,0.149174386,0.188179574,0.374007972,0.458978189,0.547221693,0.808971435
alphaTemp,0.505769572,0.05516028,0.404623911,0.468700912,0.502267103,0.538797576,0.622136457
alphaTemp,0.872632524,0.053503044,0.77277166,0.83287235,0.87030405,0.90936253,0.980591455
alphaTemp,0.841622709,0.057795495,0.732113964,0.800176713,0.841929966,0.883265656,0.948901948
alphaTemp,0.464521503,0.238652391,0.030506277,0.277874751,0.476046399,0.647697894,0.902557059
alphaTemp,0.310107997,0.262674717,0.010219401,0.103124969,0.233340583,0.446996194,0.93420056
alphaTemp,0.437903047,0.163448317,0.093328351,0.34043157,0.447810492,0.538506585,0.779449241
alphaTemp,0.346770005,0.223430606,0.015580602,0.169694742,0.326866158,0.480826746,0.871466424
alphaTemp,0.408924791,0.285050942,0.016404235,0.159076489,0.358023218,0.6377031,0.960445365
alphaTemp,0.308137208,0.27718075,0.007669281,0.077394637,0.203239358,0.489026728,0.921456098
alphaTemp,0.220741696,0.173350061,0.010418021,0.105654929,0.189023561,0.281552563,0.750294292
alphaTemp,0.411317981,0.205332181,0.029255939,0.264719285,0.423277377,0.551309158,0.824134273
alphaTemp,0.315885641,0.251550517,0.011375321,0.112341264,0.245508141,0.471377798,0.896869148
alphaTemp,0.319461259,0.268007733,0.00833493,0.094235995,0.2435912,0.492745184,0.917204578
alphaTemp,0.361978288,0.264570329,0.013995524,0.145169052,0.303488322,0.545191993,0.927938512
alphaTemp,0.332018414,0.259279716,0.013429969,0.12178336,0.261309407,0.494965864,0.941194169
alphaTemp,0.856891975,0.062687049,0.734748311,0.812971709,0.855921075,0.90301506,0.968727855
alphaTemp,0.65530921,0.078625007,0.500808791,0.602538325,0.65849271,0.710228483,0.802667572
alphaTemp,0.532488747,0.220225994,0.070309077,0.384235239,0.542169243,0.693700945,0.918189495
alphaTemp,0.299316597,0.222833724,0.01448316,0.130824642,0.253484657,0.393557841,0.87621617
alphaTemp,0.287398977,0.234365739,0.010588425,0.113284416,0.224257182,0.39817686,0.911094127
alphaTemp,0.352642251,0.08897716,0.182733301,0.294267343,0.351304389,0.409722692,0.528613253
alphaTemp,0.480161733,0.237691537,0.056138529,0.29873543,0.478660689,0.655970206,0.937394634
alphaTemp,0.550409925,0.05409352,0.449019004,0.513569926,0.549793258,0.586688616,0.659413188
alphaTemp,0.330316327,0.232357387,0.013288887,0.149554027,0.287779047,0.459870105,0.886232928
alphaTemp,0.305753549,0.268489631,0.006490825,0.092232565,0.213781513,0.464820394,0.937449985
alphaTemp,0.333877738,0.249711283,0.014764416,0.131854682,0.272797586,0.49533607,0.906364829
alphaTemp,0.285770087,0.191260064,0.014826276,0.149467856,0.265767792,0.379697113,0.851688847
