"","Chi-Square","d.f."
"alpha",303.512656227774,299
"beta",316.57241697719,299
"gamma",293.151392151555,299
"delta",252.793953006484,299
"lambda",314.121743328627,299
"luce",327.691004418985,299
"covariance matrix",1740.66065693046,1800
