"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0100491832885015,0.00205858799474566,0.000447720690413706,0.00029285464724106,0.0267130193521682,-0.0154729425778349
"beta",0.00205858799474566,0.00566971143999855,0.000917154279089454,0.000548311537079047,-0.0300398584339666,-0.00274199165055897
"gamma",0.000447720690413706,0.000917154279089454,0.013568424498369,5.36652566514128e-05,-0.00763639339626614,0.00176143119471501
"delta",0.00029285464724106,0.000548311537079047,5.36652566514128e-05,0.00114273809963019,0.00261428995943324,0.000443435693558691
"lambda",0.0267130193521682,-0.0300398584339666,-0.00763639339626614,0.00261428995943324,1.14546139018737,-0.103680300348321
"luce",-0.0154729425778349,-0.00274199165055897,0.00176143119471501,0.000443435693558691,-0.103680300348321,0.074820294372113
"alpha",0.0073531449254254,0.00104278203434665,-0.00130457909196897,0.00046186146528124,0.0383674427322247,-0.013680434933085
"beta",0.00104278203434665,0.00579339436409472,0.00105651623315888,0.000215970596423627,-0.0464660852642387,-0.00405491450359857
"gamma",-0.00130457909196897,0.00105651623315888,0.024725593820333,-0.000631891018634997,-0.0110761136606096,-0.000696776756183616
"delta",0.00046186146528124,0.000215970596423627,-0.000631891018634997,0.00406525566382314,-0.00191421404319635,-0.000321423916708873
"lambda",0.0383674427322247,-0.0464660852642387,-0.0110761136606096,-0.00191421404319635,1.12212577195592,-0.128045000849543
"luce",-0.013680434933085,-0.00405491450359857,-0.000696776756183616,-0.000321423916708873,-0.128045000849543,0.0664239876581389
"alpha",0.0590270015384155,-3.8224691300472e-05,-0.0230366844458339,-1.1555631025085e-06,0.0113642642271269,-0.00721207631676388
"beta",-3.8224691300472e-05,0.00211148260902908,0.000302398969711587,0.000645144869474714,-0.00497507719341358,-0.001294102709543
"gamma",-0.0230366844458339,0.000302398969711587,0.0325169506906525,-0.000723868848994905,-0.00304800197160724,-0.000213695730313169
"delta",-1.1555631025085e-06,0.000645144869474714,-0.000723868848994905,0.0019301242102453,2.29473159622683e-05,0.000803159227682083
"lambda",0.0113642642271269,-0.00497507719341358,-0.00304800197160724,2.29473159622683e-05,0.885711840254436,-0.02056287508091
"luce",-0.00721207631676388,-0.001294102709543,-0.000213695730313169,0.000803159227682083,-0.02056287508091,0.0656222578914491
"alpha",0.0161873672549602,-0.000865855440952122,0.0047824916698366,0.00146896985834594,-0.000685849518480807,-0.0112715383683868
"beta",-0.000865855440952122,0.0788513417523193,0.000733803255238319,-0.0182026891477267,-0.00361551678715146,0.00435663409668565
"gamma",0.0047824916698366,0.000733803255238319,0.0626327303332248,-0.000892837769757979,0.0109070080545616,-0.000700931975124573
"delta",0.00146896985834594,-0.0182026891477267,-0.000892837769757979,0.0239264140970504,-0.0312768561920424,-0.00658441742159397
"lambda",-0.000685849518480807,-0.00361551678715146,0.0109070080545616,-0.0312768561920424,1.34886593397049,-0.00640995075803584
"luce",-0.0112715383683868,0.00435663409668565,-0.000700931975124573,-0.00658441742159397,-0.00640995075803584,0.0767359656883011
"alpha",0.00817038732565472,0.00146276983742216,-0.0022288663499122,0.000601056438322402,0.0194493944745964,-0.0102421497619781
"beta",0.00146276983742216,0.0044508415623019,0.00316401890335529,-0.000124300777786863,-0.038794558760923,-0.00450243858245498
"gamma",-0.0022288663499122,0.00316401890335529,0.0314335844126944,-0.000644947843317127,-0.0290999017900194,-0.00355062143811325
"delta",0.000601056438322402,-0.000124300777786863,-0.000644947843317127,0.00401033997478236,0.00516096025335737,0.000164212762484703
"lambda",0.0194493944745964,-0.038794558760923,-0.0290999017900194,0.00516096025335737,1.04705441554621,-0.0950611666924747
"luce",-0.0102421497619781,-0.00450243858245498,-0.00355062143811325,0.000164212762484703,-0.0950611666924747,0.068938002563736
"alpha",0.0112754388400144,-0.000149552978755849,-0.00143945189336764,0.00316239574408404,-0.00193174185491645,-0.0154938424791209
"beta",-0.000149552978755849,0.0614686540387465,0.00537603349576919,-0.0196997025632424,0.000801437792435413,0.00478377714759824
"gamma",-0.00143945189336764,0.00537603349576919,0.0361140770243252,-0.00147870816134736,-0.00390329172100585,-0.00329297589608251
"delta",0.00316239574408404,-0.0196997025632424,-0.00147870816134736,0.0278585153775199,-0.0573562544019297,-0.0132923678743404
"lambda",-0.00193174185491645,0.000801437792435413,-0.00390329172100585,-0.0573562544019297,1.28595395539811,0.00490664538291105
"luce",-0.0154938424791209,0.00478377714759824,-0.00329297589608251,-0.0132923678743404,0.00490664538291105,0.0776906171914059
"alpha",0.0149305631974954,0.000434220241888835,0.00266081830549902,0.00451701443085828,0.0158594726740653,-0.013966007850657
"beta",0.000434220241888835,0.0225431324782564,0.00104522282641771,-0.0211538932249417,-0.0362778108876236,0.00243366028801604
"gamma",0.00266081830549902,0.00104522282641771,0.0147631318084515,-0.00244713474162669,-0.00914871168601029,0.00196790609178727
"delta",0.00451701443085828,-0.0211538932249417,-0.00244713474162669,0.0725739477320259,0.0281299991419014,-0.0170525542833918
"lambda",0.0158594726740653,-0.0362778108876236,-0.00914871168601029,0.0281299991419014,1.32511627713371,-0.0933661909093513
"luce",-0.013966007850657,0.00243366028801604,0.00196790609178727,-0.0170525542833918,-0.0933661909093513,0.0794209859648411
"alpha",0.0435177527664053,-0.00295424229945233,-0.023918012017396,0.00684319847547168,0.0147701592992172,-0.00781363995093513
"beta",-0.00295424229945233,0.0533150595176173,0.00398625379037537,-0.0262261071633305,-0.0232916370267025,-0.000587901998079875
"gamma",-0.023918012017396,0.00398625379037537,0.0428989687002852,-0.00435923204673897,-0.00974447121396205,-0.00192705135907956
"delta",0.00684319847547168,-0.0262261071633305,-0.00435923204673897,0.0465867031656774,-0.0417736272311482,-0.0121178274293802
"lambda",0.0147701592992172,-0.0232916370267025,-0.00974447121396205,-0.0417736272311482,1.23602250712218,-0.00998643419349391
"luce",-0.00781363995093513,-0.000587901998079875,-0.00192705135907956,-0.0121178274293802,-0.00998643419349391,0.0815096650799901
"alpha",0.0415705912877825,-0.00432873533918121,-0.0219138410506951,0.0101757992474268,0.0166826537002433,-0.0100413258973354
"beta",-0.00432873533918121,0.0390212681699417,0.00573948072934874,-0.0267502621378946,-0.0268602409741309,-0.00170400252417091
"gamma",-0.0219138410506951,0.00573948072934874,0.075414868275765,-0.00915511246512913,-0.0158334498567715,-0.00431609398621298
"delta",0.0101757992474268,-0.0267502621378946,-0.00915511246512913,0.0900090367321621,-0.0538688862101809,-0.0142213127155696
"lambda",0.0166826537002433,-0.0268602409741309,-0.0158334498567715,-0.0538688862101809,1.1738049273652,-0.0496099242761843
"luce",-0.0100413258973354,-0.00170400252417091,-0.00431609398621298,-0.0142213127155696,-0.0496099242761843,0.071071529640755
"alpha",0.0721738820553449,0.00513113846564691,-0.028964040265755,-0.000898489930541944,0.00315984165077896,0.00136737296914249
"beta",0.00513113846564691,0.0742516640878724,-0.00345590968433396,-0.0134106578100876,0.0233230797561088,0.00293509464370743
"gamma",-0.028964040265755,-0.00345590968433396,0.0488842659543304,0.00175838691229097,-0.00258236582546705,-0.00928756908282678
"delta",-0.000898489930541944,-0.0134106578100876,0.00175838691229097,0.0136473287052762,-0.0323462784050125,-0.00540736964030296
"lambda",0.00315984165077896,0.0233230797561088,-0.00258236582546705,-0.0323462784050125,1.33588144325294,-0.00307073860030299
"luce",0.00136737296914249,0.00293509464370743,-0.00928756908282678,-0.00540736964030296,-0.00307073860030299,0.0815823693010382
"alpha",0.00438022208758589,-0.00124175956562643,-0.0012261868667163,0.00322848850821528,0.00319922805603382,-0.00844007720358205
"beta",-0.00124175956562643,0.0658022196945494,0.00140282723692793,-0.0284707194749719,0.00681709430827795,-0.00421710221884658
"gamma",-0.0012261868667163,0.00140282723692793,0.00755068134264446,-0.00186673569465149,-0.00514523857067207,-0.00145365218696281
"delta",0.00322848850821528,-0.0284707194749719,-0.00186673569465149,0.0491694071030105,-0.04447649955475,-0.00611622116197349
"lambda",0.00319922805603382,0.00681709430827795,-0.00514523857067207,-0.04447649955475,1.30903835934887,0.00335957753219119
"luce",-0.00844007720358205,-0.00421710221884658,-0.00145365218696281,-0.00611622116197349,0.00335957753219119,0.065868306584377
"alpha",0.0775861001595876,-0.0019343272660113,-0.0300808501074742,0.000560322005627131,-0.0128632419682924,0.00625546056061487
"beta",-0.0019343272660113,0.0172272629430558,0.00358251669776838,-0.00549316633979689,-0.0385647651260132,-0.00727567120044251
"gamma",-0.0300808501074742,0.00358251669776838,0.0463162299919575,-0.000350041355257203,0.00163719431596899,-0.00996005627566088
"delta",0.000560322005627131,-0.00549316633979689,-0.000350041355257203,0.00479386151092886,-0.0184308348320294,-0.0035078142305799
"lambda",-0.0128632419682924,-0.0385647651260132,0.00163719431596899,-0.0184308348320294,1.13173047069887,-0.0351383776162274
"luce",0.00625546056061487,-0.00727567120044251,-0.00996005627566088,-0.0035078142305799,-0.0351383776162274,0.0792680085768198
"alpha",0.00281271239776137,-1.13258854274058e-05,-0.00170230703295316,0.000530602912253054,0.0258848444084769,-0.00482813363734316
"beta",-1.13258854274058e-05,0.00381774323200091,0.0018001011425472,-0.000476776727095148,-0.0420533466056394,-0.00145258167316549
"gamma",-0.00170230703295316,0.0018001011425472,0.00557621455631313,-0.00080742116131461,-0.0192098168614127,-0.000929153873700871
"delta",0.000530602912253054,-0.000476776727095148,-0.00080742116131461,0.00529281122285243,-0.0059939389438331,-0.00187343189974158
"lambda",0.0258848444084769,-0.0420533466056394,-0.0192098168614127,-0.0059939389438331,0.992291548599257,-0.0485822264042735
"luce",-0.00482813363734316,-0.00145258167316549,-0.000929153873700871,-0.00187343189974158,-0.0485822264042735,0.0433073241945082
"alpha",0.00254429346913263,0.000356992354135384,-9.54103030714118e-05,0.00122597132266369,-0.000763303698293741,-0.0074892535881871
"beta",0.000356992354135384,0.060227621391973,0.000130429073503712,-0.0203803624341431,-0.0312968344106421,-0.0010128423442954
"gamma",-9.54103030714118e-05,0.000130429073503712,0.00367453053743244,0.000565251724948194,-0.00421797605318338,0.00194025716660488
"delta",0.00122597132266369,-0.0203803624341431,0.000565251724948194,0.0268655542417762,-0.039465736198836,-0.0061703211972493
"lambda",-0.000763303698293741,-0.0312968344106421,-0.00421797605318338,-0.039465736198836,1.29406744852182,-0.00409632395547515
"luce",-0.0074892535881871,-0.0010128423442954,0.00194025716660488,-0.0061703211972493,-0.00409632395547515,0.0684592589267407
"alpha",0.0538908382351282,-0.00019921332161233,-0.0306213519401903,0.00078733849737328,0.0200082036070115,-0.00296393983633888
"beta",-0.00019921332161233,0.00851337635424224,0.00175756739813696,0.00317406600532823,-0.0432358294503245,-0.00645088260527194
"gamma",-0.0306213519401903,0.00175756739813696,0.0786220487402195,-0.00138581744559251,-0.0108213005368503,-0.00632368162366062
"delta",0.00078733849737328,0.00317406600532823,-0.00138581744559251,0.00758662322417005,-0.0168189192807732,-0.0029394244831104
"lambda",0.0200082036070115,-0.0432358294503245,-0.0108213005368503,-0.0168189192807732,1.12397686158376,-0.117122280811451
"luce",-0.00296393983633888,-0.00645088260527194,-0.00632368162366062,-0.0029394244831104,-0.117122280811451,0.0716496123806571
"alpha",0.00928556878595166,0.00153130830192719,-0.00694953157253022,0.00988577677019458,0.0122480047546928,-0.0169429322998076
"beta",0.00153130830192719,0.0241369430970243,0.00108284226300021,-0.0143499078822987,-0.0259257130258281,-0.00418561115627244
"gamma",-0.00694953157253022,0.00108284226300021,0.0167611698603173,-0.00831772024524846,-0.00300695631083795,0.00725368034655424
"delta",0.00988577677019458,-0.0143499078822987,-0.00831772024524846,0.0690084053464941,-0.0510841595493799,-0.0129758189362177
"lambda",0.0122480047546928,-0.0259257130258281,-0.00300695631083795,-0.0510841595493799,0.954069688791246,-0.0730688865929011
"luce",-0.0169429322998076,-0.00418561115627244,0.00725368034655424,-0.0129758189362177,-0.0730688865929011,0.0801065883974218
"alpha",0.00515789075741414,-0.000265347516069822,-0.00275303231766574,0.00122657511404041,0.0437702478781858,-0.0115014453058823
"beta",-0.000265347516069822,0.00571853267542895,0.00242729971853185,0.00122102712365443,-0.0505528523657551,-0.00277490471092775
"gamma",-0.00275303231766574,0.00242729971853185,0.0128570713561132,-0.00108454293571388,-0.0174454963854608,0.000339836064967337
"delta",0.00122657511404041,0.00122102712365443,-0.00108454293571388,0.0069107080595413,-0.0107127648839431,-0.00242024012739568
"lambda",0.0437702478781858,-0.0505528523657551,-0.0174454963854608,-0.0107127648839431,1.16697592118468,-0.118671401079504
"luce",-0.0115014453058823,-0.00277490471092775,0.000339836064967337,-0.00242024012739568,-0.118671401079504,0.0695376909758189
"alpha",0.0460851574219482,-0.000443962343766032,-0.0219046129545555,-0.000556177744958509,-0.00311465653972008,-0.00385735333153734
"beta",-0.000443962343766032,0.00172678143481957,0.00121851191548658,0.000740823809781784,0.00220601188576196,0.00126643932708056
"gamma",-0.0219046129545555,0.00121851191548658,0.0703191481348267,0.000600019761908739,0.0145834594236015,-0.0062253873347082
"delta",-0.000556177744958509,0.000740823809781784,0.000600019761908739,0.00371788133656765,0.0193894491835783,0.00357597937389785
"lambda",-0.00311465653972008,0.00220601188576196,0.0145834594236015,0.0193894491835783,1.22184479623496,-0.0617372051502986
"luce",-0.00385735333153734,0.00126643932708056,-0.0062253873347082,0.00357597937389785,-0.0617372051502986,0.0807132733355829
"alpha",0.0461192937104082,-0.00072806634664757,-0.0176351814235763,0.00123972647222815,0.0246948438577614,-0.00741067393689118
"beta",-0.00072806634664757,0.0057022553245679,0.00204032415026047,0.000436136007738125,-0.0410238416345878,-0.00476791142050612
"gamma",-0.0176351814235763,0.00204032415026047,0.0296640932292423,-0.000169989177215792,-0.0134252742107876,-0.00263904380471927
"delta",0.00123972647222815,0.000436136007738125,-0.000169989177215792,0.00579847063257509,-0.00938630943272544,-0.00205600049114681
"lambda",0.0246948438577614,-0.0410238416345878,-0.0134252742107876,-0.00938630943272544,1.02553564137253,-0.121709881360777
"luce",-0.00741067393689118,-0.00476791142050612,-0.00263904380471927,-0.00205600049114681,-0.121709881360777,0.0763183359528858
"alpha",0.0703783362660053,0.000888778580346153,-0.0172742207280394,-6.29620630443812e-05,-0.00609530971532546,-0.000188087986764609
"beta",0.000888778580346153,0.0462999907008965,0.00375344972949319,-0.0107912079787403,-0.0548862169850473,-0.0105113431491686
"gamma",-0.0172742207280394,0.00375344972949319,0.028614643700008,-0.00059342764641001,0.00476091155179349,-0.0107051205075823
"delta",-6.29620630443812e-05,-0.0107912079787403,-0.00059342764641001,0.00601106365871488,-0.0136821037117024,-0.00262019068285809
"lambda",-0.00609530971532546,-0.0548862169850473,0.00476091155179349,-0.0136821037117024,1.25806327589246,-0.0188572273080453
"luce",-0.000188087986764609,-0.0105113431491686,-0.0107051205075823,-0.00262019068285809,-0.0188572273080453,0.0858445555226629
"alpha",0.00353801085557599,0.000423215505048703,-0.000684670993339734,0.000102213635010473,0.0222627385419197,-0.00610973526694562
"beta",0.000423215505048703,0.00132670267651278,0.000414360069194941,-0.000215587125107063,-0.00526852100798053,0.00126616280524056
"gamma",-0.000684670993339734,0.000414360069194941,0.00608537807865284,-0.000234617160713571,0.000384059662805153,0.000554433105549373
"delta",0.000102213635010473,-0.000215587125107063,-0.000234617160713571,0.000911088520455803,-0.00291721459549592,-0.000819764876086621
"lambda",0.0222627385419197,-0.00526852100798053,0.000384059662805153,-0.00291721459549592,0.355864083494637,-0.0782746461077106
"luce",-0.00610973526694562,0.00126616280524056,0.000554433105549373,-0.000819764876086621,-0.0782746461077106,0.0671176500273274
"alpha",0.00140914600055619,-0.000146836280980145,-0.000453862629860556,0.00104480700750522,0.00365100507797809,-0.00240524850063604
"beta",-0.000146836280980145,0.0227268955506822,0.000710171775927609,-0.015644166733301,-0.0498969435998151,-0.00597766409262487
"gamma",-0.000453862629860556,0.000710171775927609,0.00365769783449463,-0.000412011255609674,-0.00692676669702776,0.00136513916756693
"delta",0.00104480700750522,-0.015644166733301,-0.000412011255609674,0.0507392367520978,0.0139079132993116,0.00628554165147515
"lambda",0.00365100507797809,-0.0498969435998151,-0.00692676669702776,0.0139079132993116,1.2761339139371,0.00718322806633293
"luce",-0.00240524850063604,-0.00597766409262487,0.00136513916756693,0.00628554165147515,0.00718322806633293,0.0622309843065559
"alpha",0.00506885143433611,0.000542177551255135,-0.00359761387771544,0.000615416153201432,0.0130956739177829,-0.00623124003301151
"beta",0.000542177551255135,0.00300756663016778,0.00120780026994956,-0.00086472209141397,-0.0181736443833386,-0.00279842849993229
"gamma",-0.00359761387771544,0.00120780026994956,0.0178529272882878,-0.000914637030689461,-0.0035713406163421,-0.0014671277831114
"delta",0.000615416153201432,-0.00086472209141397,-0.000914637030689461,0.00121953217884416,0.00012957720853427,-0.000685990893878042
"lambda",0.0130956739177829,-0.0181736443833386,-0.0035713406163421,0.00012957720853427,0.642401449639882,-0.0314432714991873
"luce",-0.00623124003301151,-0.00279842849993229,-0.0014671277831114,-0.000685990893878042,-0.0314432714991873,0.0497608772088828
"alpha",0.0450844940348824,0.000791612336962262,-0.0162326083505105,0.00163096404927379,-0.0121744896421695,-0.00810603417542512
"beta",0.000791612336962262,0.077974483441601,0.00102347980854628,-0.0137184597946205,0.00820484319686155,-0.000139396879701543
"gamma",-0.0162326083505105,0.00102347980854628,0.0232972012096275,-0.000435877765467638,0.00192323302795759,-0.0052087967259762
"delta",0.00163096404927379,-0.0137184597946205,-0.000435877765467638,0.0120179878811527,-0.0245583195412069,-0.00296757967364535
