"","alpha","gamma","luce"
"",0,0,0
"alpha",0.000863937283152003,-0.000387922145090485,-0.00413190994955661
"gamma",-0.000387922145090485,0.000417830200763942,0.00175308394004932
"luce",-0.00413190994955661,0.00175308394004932,0.0301496309975938
"alpha",0.00123557466823765,-0.000404696098367244,-0.003822314372349
"gamma",-0.000404696098367244,0.000618704751645252,0.00123747373087989
"luce",-0.003822314372349,0.00123747373087989,0.014417943446602
"alpha",0.00246424188661512,-0.000525552018872183,-0.00976890719416313
"gamma",-0.000525552018872183,0.000268166524345535,0.0023776262937965
"luce",-0.00976890719416313,0.0023776262937965,0.0428455702519515
"alpha",0.00427390426450184,-0.0012896093629683,-0.0124417582544709
"gamma",-0.0012896093629683,0.00997973845658312,0.00251056835589319
"luce",-0.0124417582544709,0.00251056835589319,0.0437105090142809
"alpha",0.00174965904966495,-0.000513336835848159,-0.00822161418871212
"gamma",-0.000513336835848159,0.0002518482481701,0.00264363705517873
"luce",-0.00822161418871212,0.00264363705517873,0.04465176050384
"alpha",0.000939781747704163,-0.000103568410674107,-0.00264921459684904
"gamma",-0.000103568410674107,0.00126959250251948,0.000299246011156598
"luce",-0.00264921459684904,0.000299246011156598,0.00925021325418153
"alpha",0.00160781124017504,-0.000782392225191441,-0.00744770572046381
"gamma",-0.000782392225191441,0.00457561695422767,0.00342374992989934
"luce",-0.00744770572046381,0.00342374992989934,0.0410025978050483
"alpha",0.0190148351404858,-0.00195478934023058,-0.0177549171794417
"gamma",-0.00195478934023058,0.000317828314557417,-8.62691581659231e-05
"luce",-0.0177549171794417,-8.62691581659231e-05,0.0782530131879484
"alpha",0.0042598221252123,0.00011421172099324,-0.0153935603524247
"gamma",0.00011421172099324,0.0015124027840693,0.0016540130755562
"luce",-0.0153935603524247,0.0016540130755562,0.0630303061432586
"alpha",0.00568795778721326,-0.000146266223218264,-0.0194034837504625
"gamma",-0.000146266223218264,0.00218600165511218,0.00102848774921089
"luce",-0.0194034837504625,0.00102848774921089,0.0712001247607767
"alpha",0.000527638069662137,-0.000131960194921041,-0.00240539119210824
"gamma",-0.000131960194921041,5.96168486020639e-05,0.000484734774373471
"luce",-0.00240539119210824,0.000484734774373471,0.0293344611294623
"alpha",0.0212599397313176,-0.000255590942433077,-0.0132238412505973
"gamma",-0.000255590942433077,0.0007929585195129,-0.000271819296171377
"luce",-0.0132238412505973,-0.000271819296171377,0.0748351501802045
"alpha",0.00232930524799291,-0.000702848321423414,-0.00873810118386594
"gamma",-0.000702848321423414,0.000255021392943411,0.00241470995286636
"luce",-0.00873810118386594,0.00241470995286636,0.0486496855853687
"alpha",0.0022559552597378,-0.000775100454022154,-0.0110493809931943
"gamma",-0.000775100454022154,0.0015409165401779,0.00365296266754932
"luce",-0.0110493809931943,0.00365296266754932,0.0672883008282238
"alpha",0.0014806460721433,-0.000392489517720982,-0.00159581543614068
"gamma",-0.000392489517720982,0.0142258233561285,-0.000140039014568227
"luce",-0.00159581543614068,-0.000140039014568227,0.00759289714058563
"alpha",0.00096487823502635,-0.000658548860760178,-0.00478172302188398
"gamma",-0.000658548860760178,0.00376154842257939,0.00316842738014464
"luce",-0.00478172302188398,0.00316842738014464,0.0299833010085947
"alpha",0.000992533824570836,-0.000285556180292526,-0.00418761092417936
"gamma",-0.000285556180292526,0.000131692390093399,0.00118784282990944
"luce",-0.00418761092417936,0.00118784282990944,0.0286923765144171
"alpha",0.00273230406824426,4.32553036370792e-05,-0.00843568326347696
"gamma",4.32553036370792e-05,0.00312191228295497,0.00414915332535429
"luce",-0.00843568326347696,0.00414915332535429,0.0389213710795917
"alpha",0.0147495143031654,-0.00220333124533582,-0.0133114698466842
"gamma",-0.00220333124533582,0.000510252477308312,-0.00111949589163594
"luce",-0.0133114698466842,-0.00111949589163594,0.0811044160163463
"alpha",0.00388651152977527,-0.000234189780394467,-0.0112707987876702
"gamma",-0.000234189780394467,0.00395145290880593,0.000343240843649798
"luce",-0.0112707987876702,0.000343240843649798,0.0387664252654953
