"","delta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"deltaTemp",0.977329938479877,0.0183311284351905,0.930918298994062,0.967790161964425,0.982118474471266,0.991203775206955,0.999104876021274
"deltaTemp",0.849202374995212,0.0490061636436848,0.762787785115898,0.815324455271745,0.846103498111774,0.881335700987685,0.953024856906288
"deltaTemp",0.771465644858546,0.0208228913548563,0.731494422381398,0.757464672589005,0.771176102760409,0.785507622479328,0.811947874644928
"deltaTemp",0.445660389924337,0.179291857803168,0.112093924390988,0.331062349520749,0.427008764757184,0.540771261830161,0.882012038290218
"deltaTemp",0.957979309592661,0.0339334433060587,0.875075474038643,0.939345148164737,0.96562856589366,0.985237429774928,0.99866952397924
"deltaTemp",0.337779714702797,0.120484527607663,0.126072906346402,0.242746868079612,0.348497561019491,0.42825263393638,0.558013797434989
"deltaTemp",0.19173065798029,0.2479754980932,0.00545379433057513,0.0435033662067394,0.081804295816505,0.168246264915943,0.880974745097236
"deltaTemp",0.217094137795063,0.103333630723064,0.0515509855971453,0.145353625987736,0.199805312752322,0.269764517375589,0.46624915463527
"deltaTemp",0.0922977889429321,0.101974669407392,0.00389198225974995,0.0398836359652428,0.0716485170718387,0.107321130424129,0.427999531736571
"deltaTemp",0.0803923708856918,0.0587466009154771,0.00564181886935621,0.0375033880476257,0.0714894857227845,0.108558359010508,0.206685145829017
"deltaTemp",0.32774977641707,0.0895173076674757,0.173017727333122,0.261898971927785,0.322884710282667,0.385804314826028,0.510565854906018
"deltaTemp",0.272275707952084,0.0268284331398432,0.221905332389364,0.253906640882044,0.272027345479813,0.289437064938679,0.328293594090878
"deltaTemp",0.672341438387481,0.0386271137442077,0.604146671738504,0.6458040241788,0.670352379885186,0.695788255172821,0.758277197551903
"deltaTemp",0.301415405421017,0.105814484409207,0.13460546040481,0.218237152108944,0.289290459181323,0.372187856227848,0.524228106464148
"deltaTemp",0.861386090033374,0.0375720210372392,0.795431904701712,0.834643355506499,0.859385597292641,0.885533058193695,0.941505375641659
"deltaTemp",0.169497793088848,0.149671343543568,0.00592747459263774,0.0705101672523669,0.127851692772779,0.21733503617853,0.579470232614456
"deltaTemp",0.875562809910841,0.0437526446852323,0.797405190386026,0.844768777310887,0.873345806476666,0.903883336353808,0.96742908283205
"deltaTemp",0.735186463764817,0.0232479552167417,0.692414988087713,0.719160628723381,0.734622117552252,0.751096270705609,0.782358614123957
"deltaTemp",0.605936101263418,0.0442598740105288,0.527575080981807,0.576465221891287,0.603954083906995,0.631832881688924,0.700067398883353
"deltaTemp",0.199823033930255,0.0574870647239433,0.114605289566597,0.157002859596277,0.191096913917679,0.233348957860456,0.330140496912533
"deltaTemp",0.54685954522079,0.0142212141822445,0.520004352865296,0.53703360442348,0.546450403053522,0.556376550462538,0.575680982703459
