"","gamma","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"gammaTemp",0.802176951670263,0.0764066434102259,0.667436071315722,0.746546498478111,0.796367110036276,0.852969493066922,0.965505820920216
"gammaTemp",0.77853421962193,0.0762852040771878,0.644564026210832,0.72475766933841,0.773037988619182,0.825896629977327,0.947527461255648
"gammaTemp",0.434198854386759,0.0999412988734485,0.283731554195938,0.369663470279856,0.420277853445387,0.481609310119068,0.668144316938308
"gammaTemp",0.636493988930548,0.226665304457141,0.149660697271767,0.483228001346065,0.657879826999005,0.820861906650742,0.981938802273489
"gammaTemp",0.568617240798322,0.0850888742723716,0.420199614302173,0.509764849771734,0.563114215170138,0.619246177830365,0.752332579347049
"gammaTemp",0.873337877972958,0.0754800297982429,0.719810416523576,0.820288995662462,0.876696859695711,0.934013471904364,0.990611753357186
"gammaTemp",0.71159102388998,0.147613131684468,0.439172763547337,0.59811594480334,0.70865822676826,0.830142073305356,0.975483133699724
"gammaTemp",0.232609227350385,0.111042359025934,0.0321222938383539,0.161847465550857,0.217823485188229,0.290996176932111,0.48733370425496
"gammaTemp",0.12741497565992,0.0985755963808778,0.00852808483010029,0.0618988631873067,0.112011871498434,0.165842125519105,0.381470684533573
"gammaTemp",0.259688379462054,0.16008928671382,0.016287292447913,0.152268051865488,0.237757122532361,0.339871007078865,0.65588838861614
"gammaTemp",0.52426182005984,0.0227016215518951,0.478392068091613,0.509259425419799,0.524333899583491,0.539239304368098,0.568861361801037
"gammaTemp",0.0898069758087305,0.0862386904973751,0.00485225878588451,0.0374213439445844,0.0718828747424553,0.114996001308736,0.320315895151582
"gammaTemp",0.480048705274249,0.0277066362073272,0.426398385924728,0.461656329341225,0.479789397651488,0.498858483397483,0.532555121952601
"gammaTemp",0.964517891372375,0.0271008807477118,0.901176093090873,0.948362487987849,0.970416986986563,0.985921409292263,0.998797461896514
"gammaTemp",0.430541521624287,0.274045676306627,0.0276090064643265,0.192308846544852,0.396858853690977,0.648363216597462,0.956840516623351
"gammaTemp",0.826964355908643,0.103720432035409,0.615192387703464,0.750678626173957,0.833535725103989,0.910029445169043,0.990089708142475
"gammaTemp",0.501119013865366,0.03681214664475,0.431449783594879,0.475614906087322,0.499888284807119,0.525275666588635,0.576593838343081
"gammaTemp",0.485006786766088,0.219991717499848,0.0814567677412848,0.332108633214928,0.462248706995013,0.624191356041618,0.951230166071438
"gammaTemp",0.276901314341571,0.073387317665806,0.155829250715725,0.220323575176499,0.272008408510938,0.326084166897546,0.431870064150762
"gammaTemp",0.55786445590996,0.337101726545019,0.0175040635154286,0.176758484369313,0.672115621036866,0.853135492440346,0.988554246277811
"gammaTemp",0.752562502648923,0.0317657600317005,0.693427890353336,0.730678780012667,0.751825774731679,0.773274377437466,0.817650484883245
"gammaTemp",0.981176245467376,0.0163951512597319,0.93983010025592,0.973179615911297,0.985654722923316,0.993650476627772,0.999378502705038
"gammaTemp",0.656607836206603,0.071159746253365,0.530079421536176,0.608546648890744,0.652426346899776,0.699293515028683,0.81248011630836
"gammaTemp",0.19055975709514,0.107246336036989,0.011180210241659,0.120803401709838,0.176073574747256,0.245069841772088,0.44705081919248
"gammaTemp",0.299903711073393,0.0331513177785448,0.234469353365385,0.276888521121701,0.300414929997402,0.321961853544056,0.365095192710399
"gammaTemp",0.505043069872145,0.303678566763042,0.0245523812418064,0.219517960481774,0.523174237110716,0.780902110101779,0.977179579978311
"gammaTemp",0.0949326543485606,0.0795669019994776,0.00611180042866552,0.0457252031782966,0.0866726387463218,0.126484293904239,0.228968625268242
"gammaTemp",0.185679608192165,0.0407248808616262,0.132166717360254,0.155517395652999,0.177184961944568,0.206860236186309,0.280911688468479
"gammaTemp",0.143267554289068,0.0659156502698539,0.0163830415264557,0.113608953259525,0.136392506097478,0.168801804062411,0.308947764012198
"gammaTemp",0.694297509659996,0.189068627215937,0.234269373447171,0.586731414093589,0.71069650819835,0.835830074206393,0.977970309478573
"gammaTemp",0.540321346168304,0.197860500004496,0.184519702171368,0.401480303925102,0.522137309413426,0.673411565588591,0.945273104476064
"gammaTemp",0.317686676668282,0.0749550135397182,0.180036938950856,0.263798864707657,0.316120131456247,0.369604091116639,0.466095350287421
"gammaTemp",0.0881643901439755,0.0913010644442752,0.00405496291988692,0.0372645402434356,0.0722033031777182,0.110319391284346,0.292081349529443
"gammaTemp",0.728388896836611,0.168854940178584,0.372878721135942,0.609469996419331,0.739527432982645,0.866240458075805,0.987585406774028
"gammaTemp",0.243315432548725,0.219283243503774,0.00830068694943109,0.0867410503531797,0.17114093065667,0.327452859896996,0.841305998441549
"gammaTemp",0.682167094487262,0.14402196928368,0.404834945266671,0.580871274105255,0.673613092578063,0.781175209782545,0.969522859981038
"gammaTemp",0.772936416489249,0.0717876002797363,0.643762914408303,0.721736978514379,0.767808096937487,0.81964125511211,0.924450071106904
"gammaTemp",0.422148068341953,0.0229452496340145,0.381987594226785,0.405609714200415,0.420554587472847,0.436815885404583,0.472506445001856
"gammaTemp",0.613136595143053,0.0337866326222001,0.548870773424934,0.589126821646248,0.612775240342278,0.636235165375922,0.679115056029732
"gammaTemp",0.18957010969256,0.202678762477624,0.00663579704240433,0.0638772208547407,0.130760702215954,0.215419992738964,0.873668200293713
"gammaTemp",0.551215964559907,0.231447497514034,0.0764798737386384,0.389527904997371,0.552303193914117,0.725502811946582,0.963663394534298
"gammaTemp",0.20262189937046,0.0570593898927031,0.128994625704196,0.159206661599274,0.190939297153563,0.233954648386442,0.336839121289599
"gammaTemp",0.566729861689312,0.098910322803806,0.401136502792902,0.501461342920361,0.556956621353903,0.618105245902814,0.793473416492907
"gammaTemp",0.727179494203686,0.0615563905784767,0.615735743529677,0.684602845088729,0.72478376117247,0.765945684871053,0.854105476502077
"gammaTemp",0.21539200630806,0.124934964058043,0.0162025787882012,0.13303038097443,0.194733141574458,0.272403640609659,0.523713995227386
"gammaTemp",0.76972618766781,0.154963627627113,0.429768310283225,0.664665166383519,0.794527007442375,0.889782971654952,0.990366557626451
"gammaTemp",0.704002585304248,0.0297687854009428,0.64630335340702,0.684474282851187,0.703265596114756,0.722832070876119,0.7663646886584
"gammaTemp",0.836725852211158,0.106979007207115,0.60075955512539,0.765966297662215,0.845916198251891,0.925072103536958,0.992452708154592
"gammaTemp",0.273787404493127,0.0381847935014681,0.203829022748731,0.24600177616661,0.272790507662765,0.300675901121026,0.348666735069903
"gammaTemp",0.416577178921775,0.168915658484646,0.13859126592563,0.307056300266437,0.390181039659917,0.497257139866041,0.877088226229297
"gammaTemp",0.535929924412985,0.14873269659883,0.269450121461759,0.435601659547638,0.528567394865233,0.625874624150673,0.875851113412016
