"","Chi-Square","d.f."
"alpha",277.794987564666,299
"beta",307.423746509692,299
"gamma",261.699079738366,299
"delta",287.426478157811,299
"lambda",297.409796833827,299
"luce",310.25256893331,299
"covariance matrix",1709.01999647027,1800
