"","Chi-Square","d.f."
"alpha",303.867496281966,299
"beta",268.810780983006,299
"gamma",292.664406782829,299
"delta",301.167963776279,299
"lambda",303.163251400866,299
"luce",311.988500226905,299
"covariance matrix",1830.028925579,1800
