"","beta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"betaTemp",0.908727861883162,0.0634749881473156,0.771918404561785,0.863590545579556,0.919733451156635,0.960792351444856,0.995927921551777
"betaTemp",0.617975684202448,0.0875334429659003,0.446968768039403,0.557927957658632,0.620298578585752,0.676926859349404,0.779366940132986
"betaTemp",0.885616715760822,0.0744064526254368,0.732423817604771,0.832981622791207,0.893781431947795,0.948366640899435,0.995643974117747
"betaTemp",0.517922387990997,0.247307257193248,0.0699035261333961,0.324145431793072,0.513900161931401,0.7154556950393,0.951147854751844
"betaTemp",0.41883751016013,0.0973218983608451,0.232919547930871,0.351341916934585,0.416148759860874,0.482699994184069,0.617722694664138
"betaTemp",0.159880080029016,0.107411014001886,0.00673349162400375,0.0721464275179648,0.143103561282329,0.232901364673668,0.392958629897611
"betaTemp",0.21192109801374,0.138653169637509,0.00875926667057492,0.0994505231288293,0.195994562491339,0.305336041130616,0.509387541253568
"betaTemp",0.119606929494812,0.0849162598039224,0.00572858508407064,0.0511216601522826,0.104228461904903,0.173058062420394,0.313721356178194
"betaTemp",0.497477678448335,0.258498692395776,0.0548199518716371,0.29374555440059,0.483867972053297,0.704856461681087,0.963232415207974
"betaTemp",0.49241679894063,0.257085594778216,0.0417894254366739,0.286901479818155,0.48212940594938,0.698715957096186,0.951726508677834
"betaTemp",0.439706855190372,0.233500082421239,0.0586610132299021,0.259849539080194,0.412263832151406,0.598007905498375,0.934603245540986
"betaTemp",0.4500594922648,0.237606221375964,0.0665219559803004,0.266801708524293,0.432107649096529,0.615605292366311,0.933502398672984
"betaTemp",0.518149852693095,0.114833713872028,0.301875459286913,0.436415013157409,0.516903305890436,0.600878570757633,0.740821712159419
"betaTemp",0.122014113663857,0.0817458373255303,0.00760056441122299,0.058026781313921,0.107926787862943,0.173158693186774,0.31158131376676
"betaTemp",0.769738294703808,0.0600514071752514,0.662962937136936,0.727581250543587,0.765867909502692,0.807943115916391,0.899759863129412
"betaTemp",0.193910334306165,0.116357982003431,0.0158006523631002,0.100273139262742,0.180701556521409,0.275537483894986,0.433470838927487
"betaTemp",0.577656976894252,0.0602066172146602,0.452703630390528,0.539257151996553,0.581928572204436,0.617712777969315,0.688171322977778
