"","alpha","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"alphaTemp",0.678996530860316,0.102111475779781,0.475175103243113,0.611485894611879,0.679694912077183,0.746782545695925,0.876893375806481
"alphaTemp",0.653729929545358,0.0796617948953293,0.500449821545661,0.596883291108752,0.653207616250187,0.71054961887639,0.807039827226661
"alphaTemp",0.542233830187987,0.118073533563068,0.316952391594011,0.460356442444049,0.540764912548081,0.620251030364844,0.785129794256255
"alphaTemp",0.0964463552538644,0.070251180298227,0.00624027653206857,0.0410205089404104,0.0824167043235275,0.136455203047915,0.261210075523421
"alphaTemp",0.554631463875162,0.103763900607315,0.344036395699227,0.486239929741066,0.560569278035261,0.630518066354348,0.733893641338387
"alphaTemp",0.489560351654765,0.0969304546499117,0.295072894046217,0.42646028876883,0.489439586679945,0.556332821478076,0.675299937011166
"alphaTemp",0.49190055418485,0.0946184914009834,0.29638068273204,0.427547671938913,0.494845572640655,0.561262342557224,0.662472435981047
"alphaTemp",0.664391925734282,0.179356580558476,0.324784181481696,0.533374191873822,0.665764852912391,0.807079160978228,0.972296580529094
"alphaTemp",0.185400711279482,0.0888008025989395,0.0290710587681691,0.118247629481702,0.18263552854253,0.247389161688562,0.368411148185766
"alphaTemp",0.352297718681634,0.108324457595296,0.158388444573542,0.276046689856602,0.344509591270142,0.425518022588498,0.576896747002298
"alphaTemp",0.875061116607484,0.09606740024842,0.642968050693682,0.820250597615123,0.895737332795326,0.95195899215509,0.99512441988693
"alphaTemp",0.613331407631567,0.205234957681482,0.246456200148595,0.454852648993432,0.605146200952742,0.778376189217644,0.979518432595222
"alphaTemp",0.828892394994468,0.103764750297216,0.607266118049434,0.758832016027317,0.839234173659488,0.911260568084916,0.989288327619519
"alphaTemp",0.931920662436892,0.0504308445733221,0.813894314937287,0.899315151143924,0.942361052044062,0.972962005032198,0.996871589447698
"alphaTemp",0.12040446939767,0.0883038548077644,0.00608777932058861,0.0475965434924645,0.102031960534932,0.177252641328999,0.326085886228201
"alphaTemp",0.6034529545111,0.0776977664493181,0.44867557221194,0.549952572644343,0.605747978285967,0.657788889125474,0.746243809231025
"alphaTemp",0.630908470092981,0.085045981329176,0.462365351849724,0.57291538838137,0.632977433617997,0.687431985003812,0.79412146074336
"alphaTemp",0.0952569130884738,0.0737177811642242,0.00293323860588969,0.037650759803894,0.0766862592131751,0.139372753606826,0.274432722616537
"alphaTemp",0.64867408310359,0.176597504502948,0.32008564753215,0.515948957209992,0.64059031010864,0.786180491570668,0.971054621661465
"alphaTemp",0.281062570037689,0.114546598475114,0.0470517181712593,0.200942174239052,0.285317357965447,0.366466657197477,0.487153501146419
"alphaTemp",0.9056802412918,0.0727232824438498,0.738029018212676,0.859517713072828,0.920678715755948,0.965088073413301,0.996843733069177
"alphaTemp",0.86604466554476,0.0832916046735088,0.684700415240759,0.809311127034103,0.875755136150856,0.932736150666146,0.991064443420251
"alphaTemp",0.575381879763193,0.0846437832889435,0.411188213390774,0.516331921554729,0.575497675275912,0.633392740697626,0.741393535469446
"alphaTemp",0.639541432175608,0.189323797784258,0.286576559783014,0.496119986956018,0.639203943908625,0.789173756121689,0.970381900031635
"alphaTemp",0.627427611944399,0.142548985988795,0.368486255601519,0.527981203763391,0.62280717110412,0.724781060610109,0.913473474468536
"alphaTemp",0.126340838943259,0.0827957815835948,0.00579612375235031,0.0599962953354783,0.114093759203084,0.180264462400109,0.309716345550375
"alphaTemp",0.605302644621136,0.205944981778203,0.230690053966441,0.445667565933296,0.596828320421174,0.767466342733481,0.968599243471751
"alphaTemp",0.79214335379317,0.143108047773411,0.467875318847391,0.698097759963665,0.815281884719722,0.908495023022547,0.989573111865028
"alphaTemp",0.664367259363701,0.183267077129371,0.305445477900608,0.528344418637704,0.66944987983123,0.806282723639699,0.974763957993344
"alphaTemp",0.0654620373191214,0.0542382831830311,0.0018888745637893,0.0225304988841131,0.0523197773376831,0.0958616739489148,0.200942348336389
"alphaTemp",0.146605775018737,0.0815343212757872,0.0133567176539129,0.0835058540076353,0.141003721312799,0.200609076738238,0.320359293684349
"alphaTemp",0.492372163726466,0.118579443644297,0.274473540223428,0.412277406182459,0.483198482635615,0.570489799100689,0.748157824973116
"alphaTemp",0.335059248060015,0.128477877338657,0.0891014003562584,0.245727282475019,0.332431379620167,0.421872607884289,0.596378977446298
"alphaTemp",0.196429730648561,0.107823600090589,0.0154640853072912,0.116517555242728,0.191677603609645,0.272036760915649,0.413271658554311
"alphaTemp",0.115025712814501,0.0845287154582807,0.00526957012870929,0.0482768819640682,0.0983372374485806,0.165762011043528,0.316140840808921
"alphaTemp",0.179881638460126,0.0999990934232275,0.0187727861714795,0.0989194072330914,0.173947611232754,0.254631667229728,0.37873283517072
"alphaTemp",0.549594746053959,0.0810428012854176,0.377647628093365,0.500091846428882,0.554879650927077,0.605335109212138,0.692969409050977
"alphaTemp",0.854607243281239,0.106443712408987,0.598684851959305,0.790601999777732,0.875857182840027,0.938879380610378,0.993361479772319
"alphaTemp",0.704015056520448,0.106912729872468,0.502216619801211,0.630518640371445,0.704775715551427,0.774512750045072,0.91451641521311
"alphaTemp",0.286904560751764,0.105030596019745,0.0754592114600826,0.215543714745597,0.289538528438301,0.359686517784072,0.484825858556872
"alphaTemp",0.143442821758893,0.0862026728281955,0.0111714853126647,0.0735897753004421,0.137769064140853,0.20092322783606,0.333259421863339
"alphaTemp",0.647742326145867,0.193888617082616,0.286798498952795,0.495741796921562,0.650290219348966,0.805570008037719,0.979841064601122
"alphaTemp",0.426375839384616,0.0943782762088128,0.226743285541517,0.365492661602396,0.432144275860508,0.494182713493321,0.587638016604038
"alphaTemp",0.57724237151065,0.0754599724307831,0.431907175487858,0.525581032088313,0.577809097777948,0.627953771002036,0.727800339279087
"alphaTemp",0.325353745521984,0.114251831267396,0.0959426258509158,0.251208896806854,0.323241743687021,0.402110100766817,0.542739342654277
"alphaTemp",0.403245211034343,0.0953957070630786,0.209949209085364,0.342194890048007,0.405146893755066,0.472294041085998,0.576333677719922
"alphaTemp",0.743686626416416,0.0927350447739917,0.553890228181514,0.684534941464324,0.74590327736654,0.805518748509834,0.916866298359229
"alphaTemp",0.400069305610342,0.0855305245521005,0.230027618809472,0.342377905237767,0.399183459883554,0.459299558922806,0.563277414828819
"alphaTemp",0.722870533273366,0.151336204677369,0.416318020497609,0.620405794780583,0.727049118743718,0.841491803252335,0.972598027533721
"alphaTemp",0.11884745414523,0.0811096491106938,0.0072428305495418,0.0535393133175078,0.105765370067018,0.170255593985392,0.303123721614546
"alphaTemp",0.142672515813957,0.0911357167284425,0.00852000105232346,0.0690414464571638,0.133618840352865,0.206885775286471,0.339751036610877
"alphaTemp",0.253298044929312,0.1103045403393,0.0536971168259107,0.171221862804912,0.251592713454645,0.329223959769253,0.473365628256253
