"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0104267534859247,0.00115347141516334,-0.00324961232683873,0.000409483507977491,0.00589733279697296,-0.00927006362573404
"beta",0.00115347141516334,0.00402907412030186,-0.000475195125962671,-0.00137847313240988,-0.0149419770265834,-0.00165758381262383
"gamma",-0.00324961232683873,-0.000475195125962671,0.0118260963778555,8.17483464872989e-05,0.00592887235427963,0.00407986587749716
"delta",0.000409483507977491,-0.00137847313240988,8.17483464872989e-05,0.00534394730805882,-0.00218286612081864,-0.000286309775366101
"lambda",0.00589733279697296,-0.0149419770265834,0.00592887235427963,-0.00218286612081864,1.14647968481944,0.0010143685072626
"luce",-0.00927006362573404,-0.00165758381262383,0.00407986587749716,-0.000286309775366101,0.0010143685072626,0.0701587787791465
"alpha",0.00634600156594552,0.00149572911277541,-0.0032862023960633,-0.00107989520996747,0.0333978949840886,-0.0132302389182804
"beta",0.00149572911277541,0.00766210363746452,-0.00051265396645695,-0.00598354378637619,-0.0433385184913893,-0.000344833904858346
"gamma",-0.0032862023960633,-0.00051265396645695,0.0107093906389141,0.000131054234805561,-0.0116944507075712,0.00356790407846831
"delta",-0.00107989520996747,-0.00598354378637619,0.000131054234805561,0.0117209557291969,0.0246258237781418,-0.000513277601196466
"lambda",0.0333978949840886,-0.0433385184913893,-0.0116944507075712,0.0246258237781418,1.07423452788088,-0.120656974884112
"luce",-0.0132302389182804,-0.000344833904858346,0.00356790407846831,-0.000513277601196466,-0.120656974884112,0.0740417938942708
"alpha",0.013941359328069,0.0013191498280681,-0.00256809744309144,0.00028977794830153,0.0108738559570691,-0.0175312155605954
"beta",0.0013191498280681,0.00553632019230136,-0.000247308002369975,-0.00173111912651312,-0.0173772007184701,-0.00172206750761775
"gamma",-0.00256809744309144,-0.000247308002369975,0.00388671124513411,9.12991162889977e-05,0.000475155730590804,0.00550791273049902
"delta",0.00028977794830153,-0.00173111912651312,9.12991162889977e-05,0.00564754529433878,-0.00339568779695858,0.0004143035739231
"lambda",0.0108738559570691,-0.0173772007184701,0.000475155730590804,-0.00339568779695858,1.23694498620189,-0.0199695720360338
"luce",-0.0175312155605954,-0.00172206750761775,0.00550791273049902,0.0004143035739231,-0.0199695720360338,0.0785645140578693
"alpha",0.004935228333294,0.00111987814068199,0.000881317294664981,7.20781712233699e-05,-0.00111025907691291,-0.00666063852277781
"beta",0.00111987814068199,0.0611608794604473,-0.000429934779752007,-0.00401299532357385,-0.0653641484569228,-0.00843881998874805
"gamma",0.000881317294664981,-0.000429934779752007,0.0251957336817622,0.000231401742074146,-0.0115501213894825,0.00619928375972663
"delta",7.20781712233699e-05,-0.00401299532357385,0.000231401742074146,0.00282133682904954,0.000170287367942616,-0.000893194706578004
"lambda",-0.00111025907691291,-0.0653641484569228,-0.0115501213894825,0.000170287367942616,1.26788145710501,-0.00253930579753194
"luce",-0.00666063852277781,-0.00843881998874805,0.00619928375972663,-0.000893194706578004,-0.00253930579753194,0.0594943161964999
"alpha",0.0107669470692448,0.00295779225471414,-0.00278084813800478,-0.000288152395886084,0.0204779815485074,-0.0183105441787315
"beta",0.00295779225471414,0.00947155190055866,-0.000511639568426247,-0.00158761868117541,-0.069208512937591,-0.00731447618268779
"gamma",-0.00278084813800478,-0.000511639568426247,0.00608631182547572,0.000479197271360264,-0.00304428750754711,0.00579871693347086
"delta",-0.000288152395886084,-0.00158761868117541,0.000479197271360264,0.0067788228343065,0.0174110665933805,0.00231075177638622
"lambda",0.0204779815485074,-0.069208512937591,-0.00304428750754711,0.0174110665933805,1.25079191300483,-0.0646007515868797
"luce",-0.0183105441787315,-0.00731447618268779,0.00579871693347086,0.00231075177638622,-0.0646007515868797,0.0660123150742873
"alpha",0.0093955130386386,0.0015993773542261,0.00106202268198037,-0.00131022638072717,0.0159266717204468,-0.017451853643348
"beta",0.0015993773542261,0.0115371259289134,2.28125439169767e-05,2.62569777384699e-05,-0.0533065658089041,-0.0076497793981651
"gamma",0.00106202268198037,2.28125439169767e-05,0.00775764341498332,2.73754448869555e-05,-0.00155908852840943,0.00125648952689694
"delta",-0.00131022638072717,2.62569777384699e-05,2.73754448869555e-05,0.0143343117631379,0.0209657415582525,0.00347676782506811
"lambda",0.0159266717204468,-0.0533065658089041,-0.00155908852840943,0.0209657415582525,0.962281662007168,-0.0882527326404371
"luce",-0.017451853643348,-0.0076497793981651,0.00125648952689694,0.00347676782506811,-0.0882527326404371,0.0742445350444122
"alpha",0.00895265891499797,0.00296489226921888,-0.00236913737241913,-0.000180669278914834,0.0146996606843333,-0.0169862482966347
"beta",0.00296489226921888,0.0192247014505277,-0.00143766094719949,-0.000751507990353165,-0.0881134187517536,-0.0115730293280226
"gamma",-0.00236913737241913,-0.00143766094719949,0.0161925447602483,0.00035139425715699,-0.00844646281551752,0.00758741114396613
"delta",-0.000180669278914834,-0.000751507990353165,0.00035139425715699,0.00502158114106407,0.00335936928848252,0.00037064060476964
"lambda",0.0146996606843333,-0.0881134187517536,-0.00844646281551752,0.00335936928848252,1.14508218845603,-0.0629975744058058
"luce",-0.0169862482966347,-0.0115730293280226,0.00758741114396613,0.00037064060476964,-0.0629975744058058,0.0679266389906996
"alpha",0.0321687829896289,0.0013264401908877,-0.00300623305410497,-0.000870346365376783,0.0207541084762971,-0.0149763563402882
"beta",0.0013264401908877,0.00721077117908724,5.3665155771682e-05,-0.000187869353730638,-0.034942496621177,-0.00619656156736955
"gamma",-0.00300623305410497,5.3665155771682e-05,0.00444277060143029,0.000255539998510889,-0.00116376842160313,-0.00083659313188746
"delta",-0.000870346365376783,-0.000187869353730638,0.000255539998510889,0.0167672560454917,0.012501951389361,0.00167209770624445
"lambda",0.0207541084762971,-0.034942496621177,-0.00116376842160313,0.012501951389361,0.860548755453072,-0.105599188047921
"luce",-0.0149763563402882,-0.00619656156736955,-0.00083659313188746,0.00167209770624445,-0.105599188047921,0.0771566778009118
"alpha",0.00788558254221582,0.00184004907960794,0.00315413299001231,3.30515632273948e-05,0.00441503212219781,-0.0139739358972825
"beta",0.00184004907960794,0.0668215739703262,-0.000896375927972931,-0.00359305566765901,-0.0382008009570965,-0.0082886260394407
"gamma",0.00315413299001231,-0.000896375927972931,0.0229085275394721,0.000179065936573962,-0.00195150160997373,0.00824744637249656
"delta",3.30515632273948e-05,-0.00359305566765901,0.000179065936573962,0.00230870522682178,-0.00456155923022655,-0.00102884785294261
"lambda",0.00441503212219781,-0.0382008009570965,-0.00195150160997373,-0.00456155923022655,1.20105139144774,-0.0181492916845986
"luce",-0.0139739358972825,-0.0082886260394407,0.00824744637249656,-0.00102884785294261,-0.0181492916845986,0.0771534204339427
"alpha",0.0117341881133151,0.00178499684356111,0.00116450084361478,8.10221344461955e-05,0.00136720900127603,-0.0210708881239271
"beta",0.00178499684356111,0.0660930030424689,-0.00144886990777338,-0.00427935593529424,-0.0586870337653317,-0.00827263872022734
"gamma",0.00116450084361478,-0.00144886990777338,0.00782251916164202,6.51758819316765e-05,0.000448249859937078,0.000395642978220753
"delta",8.10221344461955e-05,-0.00427935593529424,6.51758819316765e-05,0.00258504990789627,-0.00235565692815145,-0.000626084260877051
"lambda",0.00136720900127603,-0.0586870337653317,0.000448249859937078,-0.00235565692815145,1.2198735365495,-0.00996816420008551
"luce",-0.0210708881239271,-0.00827263872022734,0.000395642978220753,-0.000626084260877051,-0.00996816420008551,0.079296801083748
"alpha",0.00922894539049013,0.000147245047547595,-0.00436323546729985,2.28326917462719e-05,0.00598835725316124,-0.00218337667428155
"beta",0.000147245047547595,0.0545222884907255,0.000202013777078223,-0.0116304330624947,-0.0754654799823551,-0.0134635127923168
"gamma",-0.00436323546729985,0.000202013777078223,0.00517371243499338,5.38690349481457e-05,-0.00179365976145404,-0.000622056453380512
"delta",2.28326917462719e-05,-0.0116304330624947,5.38690349481457e-05,0.00648244542120765,-0.00468287606011999,0.000718370086475002
"lambda",0.00598835725316124,-0.0754654799823551,-0.00179365976145404,-0.00468287606011999,1.29305092834932,-0.0278529878561016
"luce",-0.00218337667428155,-0.0134635127923168,-0.000622056453380512,0.000718370086475002,-0.0278529878561016,0.0746440441576241
"alpha",0.0421213878545198,0.000798590571406106,-0.00235899814334034,-7.0605510932853e-05,0.000996228394149364,-0.0108507982221218
"beta",0.000798590571406106,0.0564567164365637,0.000124850122854957,-0.0112370475908579,-0.0876264206024274,-0.0165288042574058
"gamma",-0.00235899814334034,0.000124850122854957,0.00195861167027689,4.69373207847755e-05,-4.5527312088446e-05,-0.000378537449567664
"delta",-7.0605510932853e-05,-0.0112370475908579,4.69373207847755e-05,0.00584587105289474,-0.000966104044356667,0.000436899325970864
"lambda",0.000996228394149364,-0.0876264206024274,-4.5527312088446e-05,-0.000966104044356667,1.29746276314917,-0.00574579043351172
"luce",-0.0108507982221218,-0.0165288042574058,-0.000378537449567664,0.000436899325970864,-0.00574579043351172,0.0805302912463482
"alpha",0.0107671234042436,0.00341410057588626,-0.00688335229274976,0.000136907651191301,0.0220871885601406,-0.00587933874706631
"beta",0.00341410057588626,0.0131867818416429,-0.00146157384037422,-0.00550938090149979,-0.0862034608397732,-0.00578736006917206
"gamma",-0.00688335229274976,-0.00146157384037422,0.00772218269544903,-0.000435722228055222,-0.0109546851811414,-0.0016770988825502
"delta",0.000136907651191301,-0.00550938090149979,-0.000435722228055222,0.00669939930479206,0.039757905242276,0.0042897889332459
"lambda",0.0220871885601406,-0.0862034608397732,-0.0109546851811414,0.039757905242276,1.03505376884667,-0.0166904362850764
"luce",-0.00587933874706631,-0.00578736006917206,-0.0016770988825502,0.0042897889332459,-0.0166904362850764,0.0769274853598927
"alpha",0.00254327008437857,0.00035866198482511,-0.00107694440321759,0.000693666624068833,0.00934627402770149,-0.00202079636709836
"beta",0.00035866198482511,0.00668238192005207,-0.000135023021623342,-0.00137746762220248,-0.0495354836232721,-0.00396148419283962
"gamma",-0.00107694440321759,-0.000135023021623342,0.0101067315845604,-0.000628374735450846,-0.00206491529509577,-0.000694727557731982
"delta",0.000693666624068833,-0.00137746762220248,-0.000628374735450846,0.0163318624006665,0.0293624870984423,0.00515780816867346
"lambda",0.00934627402770149,-0.0495354836232721,-0.00206491529509577,0.0293624870984423,1.13648342253699,-0.0219737397196338
"luce",-0.00202079636709836,-0.00396148419283962,-0.000694727557731982,0.00515780816867346,-0.0219737397196338,0.0567832377248796
"alpha",0.00779757077391073,0.00095163926099447,-1.13598727947589e-06,-0.000235659145373577,-0.00242298123168819,-0.00725345392171321
"beta",0.00095163926099447,0.00360617150372784,-1.5054789548805e-05,-0.00307696883648408,-0.0285629952717864,-0.00417415364965999
"gamma",-1.13598727947589e-06,-1.5054789548805e-05,0.0329800318422368,8.13324894498683e-05,0.00389270691902069,0.00354890853968951
"delta",-0.000235659145373577,-0.00307696883648408,8.13324894498683e-05,0.0051014163515587,0.00867868840691823,0.00230958462905556
"lambda",-0.00242298123168819,-0.0285629952717864,0.00389270691902069,0.00867868840691823,1.27062937769024,-0.0256813830314848
"luce",-0.00725345392171321,-0.00417415364965999,0.00354890853968951,0.00230958462905556,-0.0256813830314848,0.0644912220184496
"alpha",0.00603694291121277,0.00253998614127565,-0.00274452464849149,0.000468699280623035,0.0211180252807559,-0.0145329009860332
"beta",0.00253998614127565,0.0135391799759107,-0.000981433764775616,-0.00271240287762095,-0.0620200207389789,-0.00930918391079
"gamma",-0.00274452464849149,-0.000981433764775616,0.0115896722745653,-0.000903056756216148,-0.00529072073321254,0.0058805675773621
"delta",0.000468699280623035,-0.00271240287762095,-0.000903056756216148,0.0173704974553644,0.0147198145933193,0.00304302113133543
"lambda",0.0211180252807559,-0.0620200207389789,-0.00529072073321254,0.0147198145933193,0.925976259786503,-0.0773707536119764
"luce",-0.0145329009860332,-0.00930918391079,0.0058805675773621,0.00304302113133543,-0.0773707536119764,0.0667672934319968
"alpha",0.00723281894024255,0.00120637744352686,-0.00221158817271074,-0.000505304328241519,0.013237298938222,-0.0100217661077232
"beta",0.00120637744352686,0.00362483675643262,-0.000214975979145275,-0.00142346560972855,-0.0187351134605397,-0.00251463967279055
"gamma",-0.00221158817271074,-0.000214975979145275,0.00226285414370828,6.4031258925645e-05,-0.00372869241156207,0.00309994858513698
"delta",-0.000505304328241519,-0.00142346560972855,6.4031258925645e-05,0.00529729863204301,0.0208195926920158,0.00398263419471229
"lambda",0.013237298938222,-0.0187351134605397,-0.00372869241156207,0.0208195926920158,0.839568656960391,-0.0251209898984744
"luce",-0.0100217661077232,-0.00251463967279055,0.00309994858513698,0.00398263419471229,-0.0251209898984744,0.0630791876415482
"alpha",0.00543431125977644,0.000356150982205001,-0.000101497048644913,-4.31709397354703e-05,-0.00236988260477969,-0.00726710551171064
"beta",0.000356150982205001,0.00714559470468147,3.92304025820852e-05,-0.00221924285385942,-0.0102153709698478,-0.00289300709505351
"gamma",-0.000101497048644913,3.92304025820852e-05,0.0507650383960284,-7.64282774907745e-05,-0.00872202853761609,0.00481981803232253
"delta",-4.31709397354703e-05,-0.00221924285385942,-7.64282774907745e-05,0.00560283740021943,0.00468617032008571,0.000501310542928752
"lambda",-0.00236988260477969,-0.0102153709698478,-0.00872202853761609,0.00468617032008571,1.22419057350998,-0.0109756320139201
"luce",-0.00726710551171064,-0.00289300709505351,0.00481981803232253,0.000501310542928752,-0.0109756320139201,0.0692232391136329
"alpha",0.0311866785966688,0.00218800754462819,-0.00642993350269341,-0.00106434039210878,0.0121886869447,-0.0141172372826537
"beta",0.00218800754462819,0.0170844133687594,0.000225713920029863,-0.00649717437750602,-0.0856352385281486,-0.0130238845384445
"gamma",-0.00642993350269341,0.000225713920029863,0.00420794892258971,-1.69874525426034e-06,-0.00243006612008642,-0.000535241649567282
"delta",-0.00106434039210878,-0.00649717437750602,-1.69874525426034e-06,0.0047100158976942,0.0388361974973641,0.00641256388585408
"lambda",0.0121886869447,-0.0856352385281486,-0.00243006612008642,0.0388361974973641,1.27466916514501,-0.0231104647871735
"luce",-0.0141172372826537,-0.0130238845384445,-0.000535241649567282,0.00641256388585408,-0.0231104647871735,0.0772670307671422
"alpha",0.013120923222219,0.00396267263977184,0.00134067969190016,0.000317000705975191,0.00150603427334477,-0.0198737853070701
"beta",0.00396267263977184,0.0598318115739919,4.11445275817384e-05,-0.00864494161068945,-0.0864006423640361,-0.0116990916300021
"gamma",0.00134067969190016,4.11445275817384e-05,0.01316842759076,-0.000255637729620168,-0.000411879511595394,0.00196350155063549
"delta",0.000317000705975191,-0.00864494161068945,-0.000255637729620168,0.00566994751728387,-0.00136524939574616,-0.00165697927075111
"lambda",0.00150603427334477,-0.0864006423640361,-0.000411879511595394,-0.00136524939574616,1.31352404665529,-0.0165667661309591
"luce",-0.0198737853070701,-0.0116990916300021,0.00196350155063549,-0.00165697927075111,-0.0165667661309591,0.0711168617346156
"alpha",0.00528867580940796,0.00115464831467814,0.000132108710867386,-2.74261134316209e-05,0.0302419778014433,-0.0019278671816173
"beta",0.00115464831467814,0.0045085455803858,0.000162681984949115,-0.00138448795655279,-0.0223037356367908,0.000944475586800935
"gamma",0.000132108710867386,0.000162681984949115,0.00645042557329322,-0.000113172614765225,0.00317244031504118,0.00324156620856741
"delta",-2.74261134316209e-05,-0.00138448795655279,-0.000113172614765225,0.00111602271819331,0.00945473275362546,0.00098783152098656
"lambda",0.0302419778014433,-0.0223037356367908,0.00317244031504118,0.00945473275362546,0.792209672576707,-0.0225652168780889
"luce",-0.0019278671816173,0.000944475586800935,0.00324156620856741,0.00098783152098656,-0.0225652168780889,0.0802033987951218
"alpha",0.00693749140908807,0.00545294964731066,-0.00131503684813266,0.00037963944019687,0.00432761347382647,-0.00969698130260932
"beta",0.00545294964731066,0.0398024165276309,-0.00119604879219586,-0.0109417200843669,-0.0894476170334409,-0.0118768569892309
"gamma",-0.00131503684813266,-0.00119604879219586,0.0100156786240373,5.00372702329866e-05,-0.00330939845814863,0.00302515833980021
"delta",0.00037963944019687,-0.0109417200843669,5.00372702329866e-05,0.0055548582013509,0.00357435863132791,0.00174794742421353
"lambda",0.00432761347382647,-0.0894476170334409,-0.00330939845814863,0.00357435863132791,1.25376659484778,-0.00135404539295671
"luce",-0.00969698130260932,-0.0118768569892309,0.00302515833980021,0.00174794742421353,-0.00135404539295671,0.0723987103117713
"alpha",0.00716457004946563,0.0030572468968963,-0.00297108046810975,-0.000976793899275673,0.0057728871698364,-0.00972582445551726
"beta",0.0030572468968963,0.0241563469490051,-0.00103585443864992,-0.00786493261665731,-0.04534790791242,-0.00844589299251241
"gamma",-0.00297108046810975,-0.00103585443864992,0.00851453991169471,0.000310171127671243,0.000115228597856231,0.00350721889252849
"delta",-0.000976793899275673,-0.00786493261665731,0.000310171127671243,0.00304951417065705,0.0145940495899422,0.00290173128013595
"lambda",0.0057728871698364,-0.04534790791242,0.000115228597856231,0.0145940495899422,0.924898423790245,-0.00986865057402864
"luce",-0.00972582445551726,-0.00844589299251241,0.00350721889252849,0.00290173128013595,-0.00986865057402864,0.0651793490240165
"alpha",0.0358435004074545,0.00283447198662649,-0.00245137996881936,-0.000480576858870994,0.00482708742035753,-0.0104796054808174
"beta",0.00283447198662649,0.0692840939187551,0.000269420433369187,-0.00607663724168839,-0.0584483038173953,-0.0126316601205029
"gamma",-0.00245137996881936,0.000269420433369187,0.00241943201802746,0.000212189302031499,-0.00292859668949189,-0.000310616167079983
"delta",-0.000480576858870994,-0.00607663724168839,0.000212189302031499,0.0040351069432352,-0.00550283786151031,-0.000557043473692583
"lambda",0.00482708742035753,-0.0584483038173953,-0.00292859668949189,-0.00550283786151031,1.34175323038761,-0.0251194344768519
"luce",-0.0104796054808174,-0.0126316601205029,-0.000310616167079983,-0.000557043473692583,-0.0251194344768519,0.0797149931207304
"alpha",0.0203202134064336,0.00967697891058507,-0.00128522511728476,0.00117165234672565,0.0258239410245719,-0.0155152559254085
"beta",0.00967697891058507,0.0456819093240279,-0.000422452160140828,-0.0110221522585358,-0.0670596013272149,-0.0114066429443955
"gamma",-0.00128522511728476,-0.000422452160140828,0.00381959524423328,0.000254139051920763,0.00144215788185111,0.00429044034223706
"delta",0.00117165234672565,-0.0110221522585358,0.000254139051920763,0.00582262627219512,0.004165170927144,0.000728592756910938
"lambda",0.0258239410245719,-0.0670596013272149,0.00144215788185111,0.004165170927144,1.13033363707082,-0.00982441897043144
"luce",-0.0155152559254085,-0.0114066429443955,0.00429044034223706,0.000728592756910938,-0.00982441897043144,0.0764711152927273
"alpha",0.00685514144803834,0.00186368538285315,0.000391515426618381,-0.000619484620031704,0.00935948091802653,-0.0115716790682607
"beta",0.00186368538285315,0.0137881437674937,-0.000875599168122154,0.000397322561094502,-0.0851534253806942,-0.0108974186671721
"gamma",0.000391515426618381,-0.000875599168122154,0.0196602880868213,0.000888063816286409,0.00323799738015423,0.00187281023648009
"delta",-0.000619484620031704,0.000397322561094502,0.000888063816286409,0.00587866531407025,0.00981057860550303,-0.000232304719246197
"lambda",0.00935948091802653,-0.0851534253806942,0.00323799738015423,0.00981057860550303,1.21410826974078,-0.0703089466635855
"luce",-0.0115716790682607,-0.0108974186671721,0.00187281023648009,-0.000232304719246197,-0.0703089466635855,0.066693847237153
"alpha",0.0424133355196242,0.00246376260698674,-0.00448055013608475,-0.000651351279899024,-0.0106031493155521,-0.0143373521148099
"beta",0.00246376260698674,0.0265148872569463,-0.000419574615845545,-0.0079810809309376,-0.0369239144291555,-0.00534414602279508
"gamma",-0.00448055013608475,-0.000419574615845545,0.00483645886820685,0.000150409429464587,0.00056471296219602,-0.00102210849421962
"delta",-0.000651351279899024,-0.0079810809309376,0.000150409429464587,0.00274874256512485,0.0115536630121299,0.00161893185930404
"lambda",-0.0106031493155521,-0.0369239144291555,0.00056471296219602,0.0115536630121299,1.07771684609206,-0.0125650608668777
"luce",-0.0143373521148099,-0.00534414602279508,-0.00102210849421962,0.00161893185930404,-0.0125650608668777,0.068372364666722
"alpha",0.0204799133375169,0.000844163479744227,-0.00318332669400998,0.000194814598560212,-0.00251711082136334,-0.00837486595441624
"beta",0.000844163479744227,0.0671881883223523,0.000285737370322046,-0.00657164283546775,-0.053503961047096,-0.00833291656097497
"gamma",-0.00318332669400998,0.000285737370322046,0.00319942741322888,-9.58473616486484e-06,0.00142394874468995,0.000819485976128782
"delta",0.000194814598560212,-0.00657164283546775,-9.58473616486484e-06,0.00431691633249238,-0.00517276911110191,0.00027393201194479
"lambda",-0.00251711082136334,-0.053503961047096,0.00142394874468995,-0.00517276911110191,1.31011939786924,-0.0132851066761929
"luce",-0.00837486595441624,-0.00833291656097497,0.000819485976128782,0.00027393201194479,-0.0132851066761929,0.0664782910211832
"alpha",0.0335868215595428,0.000676973525614059,-0.00195580221783814,0.00038012182900356,0.0113980963935687,-0.0157463749892634
"beta",0.000676973525614059,0.0570868760662906,0.000716128802052157,-0.0103448506271445,-0.0667958595259826,-0.00703464913929771
"gamma",-0.00195580221783814,0.000716128802052157,0.00629292229613373,0.00026362055973037,-0.0012394476660639,-3.55251513640899e-05
"delta",0.00038012182900356,-0.0103448506271445,0.00026362055973037,0.00426541221716096,-0.0102422569733973,-0.00201503937587787
"lambda",0.0113980963935687,-0.0667958595259826,-0.0012394476660639,-0.0102422569733973,1.33094941312935,-0.0266262811696085
"luce",-0.0157463749892634,-0.00703464913929771,-3.55251513640899e-05,-0.00201503937587787,-0.0266262811696085,0.0781390696440883
"alpha",0.00294179136264267,0.000495344692495643,0.00049611162765821,-1.22070003555015e-05,0.000722084193547999,-0.0030806128629874
"beta",0.000495344692495643,0.0340664114009542,-4.11413002544616e-05,-0.00685595030745437,-0.0540729645076183,-0.0107834351421866
"gamma",0.00049611162765821,-4.11413002544616e-05,0.0460171945677489,-0.00020776053877245,0.0074497616127605,0.00516391236586517
"delta",-1.22070003555015e-05,-0.00685595030745437,-0.00020776053877245,0.00338223604715708,0.00538155009742212,0.00104637579624449
"lambda",0.000722084193547999,-0.0540729645076183,0.0074497616127605,0.00538155009742212,1.00310833929045,-0.0213255853435401
"luce",-0.0030806128629874,-0.0107834351421866,0.00516391236586517,0.00104637579624449,-0.0213255853435401,0.0550170660845479
"alpha",0.00664784554590328,0.00116154431563761,-0.00116476144710411,-1.45472637776663e-05,0.0065853153052529,-0.00882480471883868
"beta",0.00116154431563761,0.00803134341260466,4.05649480230418e-05,-0.000755595465705764,-0.0579302514839801,-0.00803095586042657
