"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"lambdaTemp",4.01123809943553,0.708702785301549,2.43606566310071,3.55369182296595,4.14659337538298,4.59555515195434,4.95609094395162
"lambdaTemp",2.78344823521788,1.15793961159557,1.0599974461542,1.78406053916757,2.66518129799155,3.75099638533617,4.91262238099501
"lambdaTemp",2.82575734874465,1.12139165036631,1.10406582841436,1.84327944249003,2.73513801543697,3.76233129196391,4.83667415960999
"lambdaTemp",2.92000818030673,1.14837862066974,1.07533769637104,1.92103347142594,2.92607439046091,3.88300530548534,4.87439677012098
"lambdaTemp",2.06388838280429,0.871505096114037,1.03944322436136,1.35835358251959,1.83862455322094,2.54955082809458,4.17054901305887
"lambdaTemp",3.78651032851635,0.838567778495358,1.99974715106842,3.18424601853308,3.89181906011027,4.50536763126338,4.95530013914881
"lambdaTemp",3.19005784498492,0.951597166249614,1.42937146567224,2.47524235631162,3.21043615332016,3.95296785547078,4.84703602307718
"lambdaTemp",2.90832714293986,1.03552433839572,1.18141287095973,2.08546831547435,2.82719065528803,3.70851562608627,4.83608979232207
"lambdaTemp",2.79645906991537,0.968879824858346,1.24997456874115,2.02776881899933,2.68918579395711,3.47916432010625,4.7855170439424
"lambdaTemp",4.43596816644783,0.497095407798752,3.15927156602794,4.17854525232065,4.57641771153475,4.82129144548823,4.98605093850427
"lambdaTemp",3.55635985750381,0.918254302194314,1.62773449364586,2.91028046289049,3.65633820654472,4.32518128386355,4.92619524905582
"lambdaTemp",3.06428306308747,1.01503112988398,1.31327179783699,2.25099955619976,3.04776901361661,3.88104761158109,4.8727438045548
"lambdaTemp",2.0135925760361,0.865397747105027,1.0372660272471,1.33595383755281,1.76851614274329,2.46507508600853,4.27793786328043
"lambdaTemp",2.80894753900394,0.979472821937201,1.2022101026075,2.0169425728601,2.73104922621181,3.5520480470456,4.74004827646492
"lambdaTemp",2.75406992023732,1.10953579137114,1.09105877448993,1.80003748659637,2.66713955878537,3.62664771921468,4.84552846487268
"lambdaTemp",4.50785260410281,0.419551988426135,3.4070882313385,4.28830287014441,4.61441108371385,4.83218191688254,4.98677303599714
"lambdaTemp",1.94968645513382,0.828004802093485,1.02705155922773,1.31994253808661,1.7355134073138,2.33305137889547,4.14175249825158
"lambdaTemp",3.71922256174499,0.864767281569828,1.85364569049184,3.13805424790297,3.85202126317406,4.45087659767059,4.93891572780915
"lambdaTemp",3.10395150699443,1.12062555680248,1.15521031749022,2.17144923987697,3.14697046131164,4.05181067661794,4.89127364943108
"lambdaTemp",2.60522660399805,1.13760818525396,1.05792845826991,1.61250308731121,2.40677446135042,3.49690389634984,4.80813505214877
"lambdaTemp",2.88910536553873,1.12963209646312,1.12969548045049,1.89007014774598,2.82805218007549,3.83405300411365,4.86498285996827
"lambdaTemp",2.6877000835063,1.149126600178,1.0635221657579,1.67368356226462,2.53582494763843,3.63293369215016,4.82490856807812
"lambdaTemp",2.81697431377816,1.14436984918717,1.05519812952469,1.82074291169962,2.7311655725469,3.80149413066637,4.83770404165238
"lambdaTemp",2.79022860178111,1.16120072944822,1.07334952197718,1.75569084404419,2.69559052799212,3.75333194177814,4.88954361565412
"lambdaTemp",2.08850400088885,0.960698445702159,1.03061947441794,1.33739622935807,1.78949705153707,2.569544875392,4.5897483894342
"lambdaTemp",3.76758634893371,0.850269198977162,1.91021763289204,3.18945534054341,3.87787360883392,4.47913959466909,4.95437087011722
"lambdaTemp",3.79463603721941,0.817838721105313,1.94960732494954,3.23790579791781,3.90588486226077,4.47772133031853,4.95676751739249
"lambdaTemp",3.02843025194979,1.1430519411169,1.12375549501817,2.04200759799511,3.04722844962107,3.99130606738754,4.91752043291444
