"","Chi-Square","d.f."
"alpha",330.083755770526,299
"beta",266.711361468985,299
"gamma",304.198000187868,299
"delta",343.272037401494,299
"lambda",301.497866189404,299
"luce",296.250002853994,299
"covariance matrix",1797.18051851087,1800
