"","alpha","gamma","luce"
"",0,0,0
"alpha",0.00367938341313594,-0.000994351729822735,-0.011405926718135
"gamma",-0.000994351729822735,0.00580137902665915,0.002487217276554
"luce",-0.011405926718135,0.002487217276554,0.0479899434352985
"alpha",0.00345436202151466,-0.00102206702808762,-0.0132673205560281
"gamma",-0.00102206702808762,0.00635909666224743,0.00277853551383305
"luce",-0.0132673205560281,0.00277853551383305,0.0685354299492045
"alpha",0.00728181953899387,-0.00242290970163939,-0.0184305490231314
"gamma",-0.00242290970163939,0.00809057335045382,0.00380406000273672
"luce",-0.0184305490231314,0.00380406000273672,0.0829345875160474
"alpha",0.00790757787261519,0.00147097333353564,-0.00626210042459825
"gamma",0.00147097333353564,0.0510283473711602,0.00675740076392201
"luce",-0.00626210042459825,0.00675740076392201,0.0781532658023641
"alpha",0.00275740370445195,-0.00128180231561396,-0.00923715423877239
"gamma",-0.00128180231561396,0.00900895589363036,0.00230813968328261
"luce",-0.00923715423877239,0.00230813968328261,0.053881687797702
"alpha",0.00397751372388279,-0.000238025371432995,-0.0148632019469011
"gamma",-0.000238025371432995,0.00494110605033142,0.00138809461779711
"luce",-0.0148632019469011,0.00138809461779711,0.0791709048080872
"alpha",0.0139391668490382,0.00638258608614575,-0.0166231007735337
"gamma",0.00638258608614575,0.0402946399476781,-0.000571490664391275
"luce",-0.0166231007735337,-0.000571490664391275,0.079174609392473
"alpha",0.0349614226651252,-0.0103074945395478,-0.0172059284157937
"gamma",-0.0103074945395478,0.00535600774782701,0.000717875585175007
"luce",-0.0172059284157937,0.000717875585175007,0.0786687532748762
"alpha",0.0494721669098205,-0.0156558420645537,-0.0117716859248923
"gamma",-0.0156558420645537,0.0156268638749238,-0.000358635977810668
"luce",-0.0117716859248923,-0.000358635977810668,0.0795492962119928
"alpha",0.0131957473391349,-0.0057655717332399,-0.0115010502387399
"gamma",-0.0057655717332399,0.043052044786296,0.00169735617158218
"luce",-0.0115010502387399,0.00169735617158218,0.0817630115739081
"alpha",0.00056948865219766,-0.000158401765352074,-0.000942388785748356
"gamma",-0.000158401765352074,0.000840966291458844,0.000367145348317638
"luce",-0.000942388785748356,0.000367145348317638,0.0407622857496084
"alpha",0.0658999656234196,-0.0152305784474969,-0.00701376088241171
"gamma",-0.0152305784474969,0.0156364807174859,-0.000712685571698922
"luce",-0.00701376088241171,-0.000712685571698922,0.084320678610363
"alpha",0.00234583737243413,-0.000827874140201919,-0.00696985004912512
"gamma",-0.000827874140201919,0.001395792310359,0.00152834746888069
"luce",-0.00696985004912512,0.00152834746888069,0.0450826715862721
"alpha",0.00122853567056587,-4.22888830819513e-05,-0.00297357483213457
"gamma",-4.22888830819513e-05,0.00116814428435767,0.000466715293358063
"luce",-0.00297357483213457,0.000466715293358063,0.0317392620427673
"alpha",0.00846124883891827,-0.00656399848328626,-0.00820035961713714
"gamma",-0.00656399848328626,0.0750830303516229,0.00987670266769157
"luce",-0.00820035961713714,0.00987670266769157,0.0800489875895599
