"","beta","delta","lambdaluce"
"beta",0.0530231354513878,-0.000141565399550036,-0.14440600867312
"delta",-0.000141565399550036,0.0114267497890587,0.0213610615848868
"lambdaluce",-0.14440600867312,0.0213610615848868,1.66961901662827
"beta",0.0669321818227656,-0.00512211008950635,-0.145032923835443
"delta",-0.00512211008950635,0.0074244716616846,0.0550728727365142
"lambdaluce",-0.145032923835443,0.0550728727365142,1.75244063997464
"beta",0.0679693554083625,0.0015733269767055,-0.115585541385563
"delta",0.0015733269767055,0.0105973098795169,0.00998855778242436
"lambdaluce",-0.115585541385563,0.00998855778242436,0.727977120810681
"beta",0.0477676668867621,-0.0108015179577016,-0.16063477640499
"delta",-0.0108015179577016,0.0168947389426097,0.05250881470352
"lambdaluce",-0.16063477640499,0.05250881470352,2.05026233887175
"beta",0.0410830166474196,-0.00145305677459005,-0.0607695406618856
"delta",-0.00145305677459005,0.00956544526966749,0.00938324138832836
"lambdaluce",-0.0607695406618856,0.00938324138832836,0.331287049478963
"beta",0.0449796034536798,-0.011481148535415,-0.120773417162442
"delta",-0.011481148535415,0.0109107266804105,0.0373172684333119
"lambdaluce",-0.120773417162442,0.0373172684333119,1.79375244070074
"beta",0.0715240955463861,-0.00207944205693313,-0.0726597145962722
"delta",-0.00207944205693313,0.00461360718247711,-0.00624860078276005
"lambdaluce",-0.0726597145962722,-0.00624860078276005,1.72170807328514
"beta",0.0256285863467447,-0.00608788106782783,-0.0792687034492752
"delta",-0.00608788106782783,0.011852631011128,0.0292198156602691
"lambdaluce",-0.0792687034492752,0.0292198156602691,1.68030207147337
"beta",0.0243557646398562,0.000923985629274139,-0.0432732604417368
"delta",0.000923985629274139,0.00709065295443171,0.0158549201845877
"lambdaluce",-0.0432732604417368,0.0158549201845877,0.905010677217322
"beta",0.0314271597314127,-0.00287279326149056,-0.0697970658639581
"delta",-0.00287279326149056,0.0197488245306796,0.0482759014207289
"lambdaluce",-0.0697970658639581,0.0482759014207289,0.76290016886096
"beta",0.0361577129834929,-0.0019954898550114,-0.0259930335100695
"delta",-0.0019954898550114,0.0457464203351181,0.00596894828559021
"lambdaluce",-0.0259930335100695,0.00596894828559021,0.160086239932566
"beta",0.0558106654133519,-0.00128725792116077,-0.0930871318148945
"delta",-0.00128725792116077,0.0270508753532085,0.0219476153171219
"lambdaluce",-0.0930871318148945,0.0219476153171219,0.629701508158203
"beta",0.0726163204240708,-0.00135480165742357,-0.0829686025688318
"delta",-0.00135480165742357,0.00730724980357473,-0.00379130578132484
"lambdaluce",-0.0829686025688318,-0.00379130578132484,1.78507954123527
"beta",0.0519234328021475,-0.00251188771970912,-0.162764039828122
"delta",-0.00251188771970912,0.020526655304937,0.0313290948029276
"lambdaluce",-0.162764039828122,0.0313290948029276,1.67088426455281
"beta",0.0664594136660265,-0.00275008286962521,-0.0752966450227311
"delta",-0.00275008286962521,0.00579290358669966,0.0157093890567947
"lambdaluce",-0.0752966450227311,0.0157093890567947,1.62571133383483
"beta",0.0366448940886725,-0.00311077981698969,-0.0893906153045983
"delta",-0.00311077981698969,0.0242175846858998,0.0287449482841929
"lambdaluce",-0.0893906153045983,0.0287449482841929,0.877152921912075
"beta",0.0614215100904147,-0.00209633239354774,-0.0634803342402562
"delta",-0.00209633239354774,0.00689657893313181,0.026216890198084
"lambdaluce",-0.0634803342402562,0.026216890198084,1.64533181111297
"beta",0.0375669594733975,-0.00383003870899593,-0.0638598184548859
"delta",-0.00383003870899593,0.00943261194658138,0.0175039140705157
"lambdaluce",-0.0638598184548859,0.0175039140705157,1.18791428915498
"beta",0.0488309168934314,-0.00627174808478417,-0.0773771790511124
"delta",-0.00627174808478417,0.0256725208222518,0.0317379850134576
"lambdaluce",-0.0773771790511124,0.0317379850134576,0.563553563628474
"beta",0.0763870728836711,-0.00346753143757496,-0.141745619964647
"delta",-0.00346753143757496,0.00753572037661002,-0.00301006014771423
"lambdaluce",-0.141745619964647,-0.00301006014771423,1.87527855346975
"beta",0.0497673634651053,-0.00575800562003645,-0.0462482467496311
"delta",-0.00575800562003645,0.0042482173087006,0.028477816044675
"lambdaluce",-0.0462482467496311,0.028477816044675,1.822124440645
"beta",0.0657877628858533,0.00400432551285733,-0.0499115755041678
"delta",0.00400432551285733,0.0457800778101,0.00917761623827123
"lambdaluce",-0.0499115755041678,0.00917761623827123,0.21666938962332
"beta",0.0727918111036397,-0.00358885659659089,-0.082112285623772
"delta",-0.00358885659659089,0.00820834495091135,0.0014582575849308
"lambdaluce",-0.082112285623772,0.0014582575849308,1.75636607831073
"beta",0.0700116934823368,-0.00136831931801798,-0.0850056357894588
"delta",-0.00136831931801798,0.00463409319407548,-0.0106694971185803
"lambdaluce",-0.0850056357894588,-0.0106694971185803,1.77863903908966
"beta",0.0564515932533113,-0.00380153992748394,-0.130504472760235
"delta",-0.00380153992748394,0.0145444372435976,0.031024333806955
"lambdaluce",-0.130504472760235,0.031024333806955,1.033913889365
"beta",0.0426461946389684,-0.00896297029399218,-0.142661176676755
"delta",-0.00896297029399218,0.0192474530228311,0.0611004809791015
"lambdaluce",-0.142661176676755,0.0611004809791015,1.97518405101742
"beta",0.0670169156579593,-0.00825727237451488,-0.0693943769087062
"delta",-0.00825727237451488,0.0307721688618261,0.0292269671253793
"lambdaluce",-0.0693943769087062,0.0292269671253793,0.432136126987728
"beta",0.0363797382829132,-0.00153605620661392,-0.107478332469489
"delta",-0.00153605620661392,0.0122005580393441,0.0338884036620838
"lambdaluce",-0.107478332469489,0.0338884036620838,1.66952670405238
"beta",0.0601813092406679,0.00029224684044,-0.104603977604595
"delta",0.00029224684044,0.0197835518494408,0.0264250853579191
"lambdaluce",-0.104603977604595,0.0264250853579191,0.865418548196771
"beta",0.0574779022240398,-0.00382006827992134,-0.0751573587472987
"delta",-0.00382006827992134,0.00601648181398627,0.00407156090021087
"lambdaluce",-0.0751573587472987,0.00407156090021087,1.64516959345517
"beta",0.0624857863993417,-0.00227768441329738,-0.0855505690821139
"delta",-0.00227768441329738,0.00770578536733518,0.0239000787113863
"lambdaluce",-0.0855505690821139,0.0239000787113863,1.76461584627622
"beta",0.0420910314854244,-0.00852557371273003,-0.15520488065659
"delta",-0.00852557371273003,0.0174618827620509,0.0453781538857367
"lambdaluce",-0.15520488065659,0.0453781538857367,1.90201078516488
"beta",0.0428659617909971,-0.00326074280847742,-0.0633737446172639
"delta",-0.00326074280847742,0.0229284493393181,0.0194926631373158
"lambdaluce",-0.0633737446172639,0.0194926631373158,0.431161126359549
"beta",0.04325759455542,5.69951899033623e-05,-0.0714978164309653
"delta",5.69951899033623e-05,0.0327716843041025,0.0251841811048199
"lambdaluce",-0.0714978164309653,0.0251841811048199,0.561599921952222
"beta",0.0719968616072629,0.000165981494413307,-0.115088872868556
"delta",0.000165981494413307,0.00745700919398051,0.00508135147667012
"lambdaluce",-0.115088872868556,0.00508135147667012,0.728433200731574
"beta",0.0362154301167493,-0.00675560037919911,-0.0796391182693317
"delta",-0.00675560037919911,0.0136506066022361,0.0104164881253017
"lambdaluce",-0.0796391182693317,0.0104164881253017,1.83284026066366
"beta",0.0490501912343693,-0.00230558231754122,-0.0561260286773918
"delta",-0.00230558231754122,0.024073176609618,0.0196092966085993
"lambdaluce",-0.0561260286773918,0.0196092966085993,0.453919691984711
"beta",0.0389375088678825,-0.00363924572097607,-0.0727205533691753
"delta",-0.00363924572097607,0.0171939214961413,0.0270572445757256
"lambdaluce",-0.0727205533691753,0.0270572445757256,1.10931520170581
"beta",0.064482090883668,-0.00224605004895428,-0.146489845916398
"delta",-0.00224605004895428,0.0123528240310233,0.0398735020567395
"lambdaluce",-0.146489845916398,0.0398735020567395,1.1338318404322
"beta",0.0773147639654338,-0.00226287606053301,-0.0910789781908102
"delta",-0.00226287606053301,0.0050975740235301,-0.0058306381670501
"lambdaluce",-0.0910789781908102,-0.0058306381670501,1.72938671575452
"beta",0.0426076966359598,-0.00307994471337765,-0.133938691686946
"delta",-0.00307994471337765,0.00913703232436,0.0567576592707045
"lambdaluce",-0.133938691686946,0.0567576592707045,1.73149013067111
"beta",0.0583865510217842,0.000242388263551599,-0.0739078692308034
"delta",0.000242388263551599,0.0298100602477654,0.00329782906195751
"lambdaluce",-0.0739078692308034,0.00329782906195751,0.393055571931634
"beta",0.0723769373302079,-0.00197800486981166,-0.10477211517557
"delta",-0.00197800486981166,0.00413898507101467,-0.00255852070663615
"lambdaluce",-0.10477211517557,-0.00255852070663615,1.78726877213751
"beta",0.05103216685437,-0.00233639074784079,-0.0557067070976202
"delta",-0.00233639074784079,0.0353281941180488,0.0204536331374767
"lambdaluce",-0.0557067070976202,0.0204536331374767,0.392501218950551
"beta",0.0754138577632737,-0.00156014479597364,-0.0902909281235306
"delta",-0.00156014479597364,0.00727108326388439,-0.0155303709331795
"lambdaluce",-0.0902909281235306,-0.0155303709331795,1.83818868846862
"beta",0.0435407355329371,-0.00396207499932372,-0.156095934960957
"delta",-0.00396207499932372,0.0150228369315235,0.0367024951981521
"lambdaluce",-0.156095934960957,0.0367024951981521,1.98364796367938
"beta",0.0277226924735721,-0.00342976689102959,-0.110811857536291
"delta",-0.00342976689102959,0.0207894861938724,0.0275729395595438
"lambdaluce",-0.110811857536291,0.0275729395595438,1.66072731006435
"beta",0.0721253734963952,-0.00121394984147269,-0.0759883177844573
"delta",-0.00121394984147269,0.00319636522230043,-0.00894611099366893
"lambdaluce",-0.0759883177844573,-0.00894611099366893,1.77918446883572
"beta",0.0675431873299362,-0.0006759506511881,-0.135642216617388
"delta",-0.0006759506511881,0.0101819408683125,0.0102243958738625
"lambdaluce",-0.135642216617388,0.0102243958738625,0.842958037695493
"beta",0.0389979639356516,-0.0029603657854605,-0.0442297897723031
"delta",-0.0029603657854605,0.0394795341174653,0.0117268240205353
"lambdaluce",-0.0442297897723031,0.0117268240205353,0.275581827202114
"beta",0.0711962629434415,-0.000718067491860303,-0.0766915921257867
"delta",-0.000718067491860303,0.00345526507617512,-0.0127805688460435
"lambdaluce",-0.0766915921257867,-0.0127805688460435,1.85969698687153
"beta",0.0681029381301535,-0.000733077969816844,-0.0909672415190975
"delta",-0.000733077969816844,0.00771107565481086,0.00797070774483269
"lambdaluce",-0.0909672415190975,0.00797070774483269,0.435168609693782
"beta",0.0738324451719597,-0.00311476992486828,-0.125777915462732
"delta",-0.00311476992486828,0.00797707795498408,-0.00846981647511818
"lambdaluce",-0.125777915462732,-0.00846981647511818,1.75657461348563
"beta",0.0252867420094687,0.000893182915550461,-0.0602642587246723
"delta",0.000893182915550461,0.0060329532220107,0.0160024217129732
