"","Chi-Square","d.f."
"alpha",297.24074423822,299
"beta",301.489635306467,299
"gamma",304.985161276169,299
"delta",248.541090020438,299
"lambda",322.847305577143,299
"luce",318.575220765526,299
"covariance matrix",1799.82345054297,1800
