"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0235302527749819,0.00347412271086234,-0.00769701399359602,-0.0014170850788148,0.0951013562660529,0.00342852426397839
"beta",0.00347412271086234,0.00382201778741486,0.0016484729212492,-0.00142551521854825,-0.00484330707624675,-0.000115268244355437
"gamma",-0.00769701399359602,0.0016484729212492,0.0441470477587311,-0.00215527456919184,0.036695562261511,0.00194471644429504
"delta",-0.0014170850788148,-0.00142551521854825,-0.00215527456919184,0.00437516646064441,-0.000266839481202216,0.000423387064273423
"lambda",0.0951013562660529,-0.00484330707624675,0.036695562261511,-0.000266839481202216,1.17994164526956,0.0049988806672231
"luce",0.00342852426397839,-0.000115268244355437,0.00194471644429504,0.000423387064273423,0.0049988806672231,0.081400234854964
"alpha",0.0109003807920883,0.00589145712582699,-0.00108965000471826,0.000512305609477805,0.0297227633272366,-0.0111621193789819
"beta",0.00589145712582699,0.0108001115907026,-0.000662133640498925,-7.78419485132921e-05,-0.0474441600617123,-0.0024769004022817
"gamma",-0.00108965000471826,-0.000662133640498925,0.0141582932309805,-0.00022497458524231,0.0106665025967865,0.00556258169017091
"delta",0.000512305609477805,-7.78419485132921e-05,-0.00022497458524231,0.00299380485216295,0.0066568451144278,0.00201845336943544
"lambda",0.0297227633272366,-0.0474441600617123,0.0106665025967865,0.0066568451144278,0.825366692353819,-0.0797509074694688
"luce",-0.0111621193789819,-0.0024769004022817,0.00556258169017091,0.00201845336943544,-0.0797509074694688,0.0750146555214986
"alpha",0.062680947121056,0.00243376911685532,-0.0177729210283272,-0.000325640490624492,0.0250017113784961,-0.00318232605427791
"beta",0.00243376911685532,0.00659780965703485,0.00255575994293605,-0.00182011595602205,-0.00621965055482287,-0.00138119230036292
"gamma",-0.0177729210283272,0.00255575994293605,0.0764910541910817,-9.34901581713709e-05,0.0258842343281273,-0.00301461869537487
"delta",-0.000325640490624492,-0.00182011595602205,-9.34901581713709e-05,0.00542691139365532,-0.00137412668895523,0.000966258927238052
"lambda",0.0250017113784961,-0.00621965055482287,0.0258842343281273,-0.00137412668895523,1.16532096999454,-0.0416098284741541
"luce",-0.00318232605427791,-0.00138119230036292,-0.00301461869537487,0.000966258927238052,-0.0416098284741541,0.0799377516893585
