"","alpha","beta","gamma","delta","lambda","luce"
"delta",-0.00102629929126544,-0.00119008067825983,0.000574743342042532,0.00604366184741453,0.00821028979835006,-0.000527071287651871
"lambda",0.0290102500948775,-0.127607743579697,-0.0174576712432336,0.00821028979835006,0.974958408040268,-0.0818849493500396
"luce",-0.0156605618890016,-0.00403160227245276,0.00380147515624513,-0.000527071287651871,-0.0818849493500396,0.0314107622589596
"alpha",0.0430815044790409,0.00188753404282272,0.00243945146311006,0.000214780906132229,0.00663657642274005,-0.0119114724154267
"beta",0.00188753404282272,0.0692165412446568,0.000986069137123102,-0.00394680811696066,-0.0678246719907921,-0.00795950663807744
"gamma",0.00243945146311006,0.000986069137123102,0.00886000283883927,0.00086898763255239,-0.000260477113285,0.00183094093952989
"delta",0.000214780906132229,-0.00394680811696066,0.00086898763255239,0.00348697175915919,-0.00273848104486994,-0.000140592230818413
"lambda",0.00663657642274005,-0.0678246719907921,-0.000260477113285,-0.00273848104486994,0.798397488252398,-0.0339337134857029
"luce",-0.0119114724154267,-0.00795950663807744,0.00183094093952989,-0.000140592230818413,-0.0339337134857029,0.0378852054045004
"alpha",0.0450481381156866,0.00241908773565943,-0.00183224503353889,-0.000485129851072171,0.00671469658200154,-0.0136013548595425
"beta",0.00241908773565943,0.0718408322273658,0.000938091002719194,-0.00278526900584179,-0.05926424954649,-0.00675030094848771
"gamma",-0.00183224503353889,0.000938091002719194,0.0228545964125935,0.00032375492303274,0.00270334972504523,0.00183226143756453
"delta",-0.000485129851072171,-0.00278526900584179,0.00032375492303274,0.00560542940772045,-0.000696751098645441,-0.00188906484861561
"lambda",0.00671469658200154,-0.05926424954649,0.00270334972504523,-0.000696751098645441,0.94138211168903,-0.047277588976295
"luce",-0.0136013548595425,-0.00675030094848771,0.00183226143756453,-0.00188906484861561,-0.047277588976295,0.0486987567408634
"alpha",0.0669772793846355,0.00437258592324735,-0.00318092503005126,-0.00245323049656159,0.0456983341729329,-0.0259981082389406
"beta",0.00437258592324735,0.0654853606909315,-0.00079638237073742,-0.00231590782347395,-0.116895786980166,-0.00630856739713759
"gamma",-0.00318092503005126,-0.00079638237073742,0.0392834268649965,0.00364327055758703,0.0137489736493278,-0.000975657449215032
"delta",-0.00245323049656159,-0.00231590782347395,0.00364327055758703,0.00977448000207442,0.0253208002600073,-0.00177369166736519
"lambda",0.0456983341729329,-0.116895786980166,0.0137489736493278,0.0253208002600073,0.965214309351772,-0.112288724049517
"luce",-0.0259981082389406,-0.00630856739713759,-0.000975657449215032,-0.00177369166736519,-0.112288724049517,0.0490129461685099
"alpha",0.0568164230413572,0.00049825266029786,-0.00778316241200629,0.00125359189076034,0.0376618781641815,-0.0209905832380694
"beta",0.00049825266029786,0.0506160770897062,1.77100450360748e-05,-0.0038008589014021,-0.108358218605248,-0.00534930091627884
"gamma",-0.00778316241200629,1.77100450360748e-05,0.0274822256386203,-0.00112303521585338,0.00150261177532476,0.00207090098242797
"delta",0.00125359189076034,-0.0038008589014021,-0.00112303521585338,0.00932500771246816,0.00999281732618546,0.00120687768736127
"lambda",0.0376618781641815,-0.108358218605248,0.00150261177532476,0.00999281732618546,0.903158774996197,-0.118507584813494
"luce",-0.0209905832380694,-0.00534930091627884,0.00207090098242797,0.00120687768736127,-0.118507584813494,0.0638708445561465
"alpha",0.0475360194528271,0.00547991000176154,-0.000877477870052554,0.00182373368303789,0.0249587625459052,-0.0178831591560873
"beta",0.00547991000176154,0.0638422108155477,-0.00102278267459811,0.00175439422197213,-0.0916577087765798,-0.0119979376528643
"gamma",-0.000877477870052554,-0.00102278267459811,0.0165888425343095,0.00120177753309872,0.00151404580595824,0.0023893881258679
"delta",0.00182373368303789,0.00175439422197213,0.00120177753309872,0.0118776486058079,0.0142870638577879,0.00121725771083437
"lambda",0.0249587625459052,-0.0916577087765798,0.00151404580595824,0.0142870638577879,0.668964703962332,-0.0841343691739518
"luce",-0.0178831591560873,-0.0119979376528643,0.0023893881258679,0.00121725771083437,-0.0841343691739518,0.0543716162153751
"alpha",0.0524250455511292,0.00238146715925339,-0.00753313909137363,-0.00102801854494914,0.0151014891347884,-0.0128815811778414
"beta",0.00238146715925339,0.0145487896330191,-0.000341065720007234,-0.00275610559486093,-0.0171781149063754,-0.00673986097143985
"gamma",-0.00753313909137363,-0.000341065720007234,0.0332389960205624,-0.000217210470878222,-0.0072186806167964,0.00688393987097398
"delta",-0.00102801854494914,-0.00275610559486093,-0.000217210470878222,0.00876036020973677,0.00101987122906762,0.0018965680375446
"lambda",0.0151014891347884,-0.0171781149063754,-0.0072186806167964,0.00101987122906762,0.592183773550799,-0.0683822927996649
"luce",-0.0128815811778414,-0.00673986097143985,0.00688393987097398,0.0018965680375446,-0.0683822927996649,0.0599442601515161
"alpha",0.0482373085759548,0.00305510329934513,0.00313759992019897,0.00170611271678152,0.00528180290913127,-0.0101952050581658
"beta",0.00305510329934513,0.0587059995776461,-0.00151562608081683,-0.00817400062338722,-0.111183363922112,-0.00699291401068929
"gamma",0.00313759992019897,-0.00151562608081683,0.0513335495060549,0.00145672277184367,-0.00859997995053865,0.00450547524895569
"delta",0.00170611271678152,-0.00817400062338722,0.00145672277184367,0.0242784257112877,0.0200473644392982,0.000680567430598389
"lambda",0.00528180290913127,-0.111183363922112,-0.00859997995053865,0.0200473644392982,0.849846015660439,-0.0669884495894494
"luce",-0.0101952050581658,-0.00699291401068929,0.00450547524895569,0.000680567430598389,-0.0669884495894494,0.0329010968427052
"alpha",0.018682338039091,-0.000494381995592477,-0.00293547342697044,0.000190284740099625,0.00799930067837582,-0.000126329594760469
"beta",-0.000494381995592477,0.0226077086031576,0.000297834637827218,-0.000353217843960636,-0.064704288481003,-0.00425405343343943
