"","Chi-Square","d.f."
"alpha",277.615366127464,299
"beta",268.239367472392,299
"gamma",258.217998413751,299
"delta",302.358799684391,299
"lambda",299.955084768649,299
"luce",349.731570932332,299
"covariance matrix",1766.91418870238,1800
