"","alpha","gamma","luce"
"",0,0,0
"alpha",0.00820451174869651,-0.00058210010058764,-0.012211221078466
"gamma",-0.00058210010058764,0.0106533541477562,0.00252279860983203
"luce",-0.012211221078466,0.00252279860983203,0.0772730522510933
"alpha",0.0133045389869285,-0.00451218493009955,-0.0147197977801027
"gamma",-0.00451218493009955,0.00974137188835869,0.00570759315299753
"luce",-0.0147197977801027,0.00570759315299753,0.0742911492377891
"alpha",0.0131537204903756,0.00289687801079152,-0.0188824583359673
"gamma",0.00289687801079152,0.00992988680679804,0.00369348662198005
"luce",-0.0188824583359673,0.00369348662198005,0.0783689663094661
"alpha",0.0137371607132422,0.0027691765721385,-0.0137362394955997
"gamma",0.0027691765721385,0.0409364563349863,0.00708081608834249
"luce",-0.0137362394955997,0.00708081608834249,0.0766023759251935
"alpha",0.0143832166622869,-0.00119855369082622,-0.0198159733658343
"gamma",-0.00119855369082622,0.00744372700318499,0.00331224510512659
"luce",-0.0198159733658343,0.00331224510512659,0.0760304370417251
"alpha",0.0102393435725002,0.000775877992722912,-0.0154247062448403
"gamma",0.000775877992722912,0.00765496819835172,0.00239148751001599
"luce",-0.0154247062448403,0.00239148751001599,0.076567088174585
"alpha",0.013472483260679,0.00297316992108431,-0.0145762730983131
"gamma",0.00297316992108431,0.0193097078949697,0.00384856624284616
"luce",-0.0145762730983131,0.00384856624284616,0.0821511284747881
"alpha",0.0368765730603598,-0.00525914627614103,-0.0153845920683574
"gamma",-0.00525914627614103,0.00726944013631325,0.000206933553346375
"luce",-0.0153845920683574,0.000206933553346375,0.0826265545628699
"alpha",0.0100405474897061,0.00159103620444581,-0.0166250268797582
"gamma",0.00159103620444581,0.0150717915391156,0.000872955534792462
"luce",-0.0166250268797582,0.000872955534792462,0.0823590288334223
"alpha",0.0402904693656141,-0.00327488033157252,-0.0139253417873089
"gamma",-0.00327488033157252,0.00348598889252095,0.000199463598803918
"luce",-0.0139253417873089,0.000199463598803918,0.0830594992661179
"alpha",0.0112163980365557,-0.00297622462782561,0.00146353135876294
"gamma",-0.00297622462782561,0.00237348807777386,-0.000321332379017373
"luce",0.00146353135876294,-0.000321332379017373,0.0754062627913205
"alpha",0.0344070882232381,-0.00387324359800076,-0.0135646312314593
"gamma",-0.00387324359800076,0.00674532698265007,0.000145404625884284
"luce",-0.0135646312314593,0.000145404625884284,0.0764581008054441
"alpha",0.0146254508880259,-0.0037132527515714,-0.00681005234432611
"gamma",-0.0037132527515714,0.00285742567570496,0.00210130557276126
"luce",-0.00681005234432611,0.00210130557276126,0.0742780084318171
"alpha",0.0078291300915307,-0.00188107614711414,-0.00388359438850026
"gamma",-0.00188107614711414,0.00768337708543503,0.00126967943806169
"luce",-0.00388359438850026,0.00126967943806169,0.0739965865287249
"alpha",0.00692681709205473,0.00112302082873985,-0.00771592874522414
"gamma",0.00112302082873985,0.0383073286311798,0.00466473831180331
"luce",-0.00771592874522414,0.00466473831180331,0.0735769216927843
"alpha",0.00995990751947377,0.000977054863290011,-0.0126042231990936
"gamma",0.000977054863290011,0.0134868396592846,0.00263231046788965
"luce",-0.0126042231990936,0.00263231046788965,0.0740000678591117
"alpha",0.013414960601201,-0.00219993213487787,-0.00747694049261735
"gamma",-0.00219993213487787,0.00263661709927389,0.00347774888124099
"luce",-0.00747694049261735,0.00347774888124099,0.0773579512471992
"alpha",0.0030623069964689,0.0010257367623278,-0.00290640816776305
"gamma",0.0010257367623278,0.0528738348021553,0.00292133081989932
"luce",-0.00290640816776305,0.00292133081989932,0.0464171285360668
"alpha",0.0375265263338514,-0.00510610204422574,-0.0125716700625549
"gamma",-0.00510610204422574,0.00702617940803392,-0.00111090454878771
"luce",-0.0125716700625549,-0.00111090454878771,0.0810470937383101
"alpha",0.00559679318561265,0.00180656735404633,-0.00595532303309966
"gamma",0.00180656735404633,0.0528040072497628,0.00821452215770258
"luce",-0.00595532303309966,0.00821452215770258,0.0689008106396812
