"","gamma","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"gammaTemp",0.799360024417576,0.103215086822403,0.608891735479093,0.722495312965275,0.791336741335706,0.879343021620992,0.987784618822341
"gammaTemp",0.668920548572456,0.0986983884790359,0.524344907632377,0.598697968358847,0.649316939579066,0.717042493136056,0.912872826003766
"gammaTemp",0.354065124464599,0.0996488173878548,0.107993409506844,0.302854896924829,0.362955635126899,0.415197044694483,0.52836613857101
"gammaTemp",0.530214252260928,0.20232759657295,0.082878075266522,0.407998573447677,0.524363521689635,0.661922433960899,0.936378406351403
"gammaTemp",0.527568626722219,0.0862770363606967,0.382073377497839,0.470255900316009,0.519144880185516,0.57289970205104,0.738130394018838
"gammaTemp",0.874721797298575,0.0874926751125585,0.680873138220029,0.818508590988745,0.891879704740962,0.944821386632138,0.995310561748342
"gammaTemp",0.792016529664614,0.138959374980494,0.485376642244955,0.701986948824478,0.809605480918233,0.904093253151145,0.993291506862765
"gammaTemp",0.152632997385282,0.0852610118184933,0.00740175664793815,0.0880369879130841,0.154193771885124,0.209781596796959,0.326391676002704
"gammaTemp",0.190463993385269,0.122767225020017,0.00924703505288924,0.0914647932479815,0.179511878402316,0.26977685589034,0.444890998707057
"gammaTemp",0.0961529600633249,0.0590422636127795,0.00775227132857193,0.0479630754146196,0.0926773200476231,0.137287951754921,0.222853987723389
"gammaTemp",0.563008306723797,0.0487184572597887,0.497830750188184,0.533137586678044,0.55422786211017,0.580607345850342,0.691382567844082
"gammaTemp",0.169545370059239,0.0821299396240498,0.0154690987972966,0.114999827917448,0.172409386974185,0.225207140351157,0.328127467194021
"gammaTemp",0.472724022806095,0.0534548938424253,0.382864933470424,0.435120850916658,0.468391576031161,0.50539263458561,0.588902161626351
"gammaTemp",0.842616796225768,0.0876548748526574,0.687595234435209,0.771890898999644,0.839028392475569,0.915329417230406,0.992632942480069
"gammaTemp",0.635554659539149,0.195722580790209,0.247069235835132,0.504414961869492,0.632974735056056,0.788738478591592,0.970814040429535
"gammaTemp",0.809522587561694,0.116132853488083,0.566048339470706,0.727642277777395,0.816683998221875,0.905507584162255,0.989330310304248
"gammaTemp",0.55052900674037,0.0513479999539796,0.458139126164121,0.516997778100109,0.546193509046059,0.579430699062403,0.666340040333687
"gammaTemp",0.592019171297048,0.229943112099831,0.0975689270692835,0.433064375316459,0.596180030891363,0.772098334717464,0.973687451592475
"gammaTemp",0.161494895446372,0.0838223085343867,0.0116759603497691,0.103193998452132,0.161289935026829,0.217455895085695,0.327792675585574
"gammaTemp",0.571008811091271,0.229791225354152,0.0838962618987487,0.408524324740502,0.570786908794449,0.755272341628525,0.964089740379836
"gammaTemp",0.72798470027155,0.085662677330182,0.609139472111148,0.665460761224453,0.708951277262843,0.772837071145691,0.946088995121678
"gammaTemp",0.895589790685768,0.0689514171023643,0.748630818287325,0.849207424904078,0.903792058234592,0.952522282629771,0.99500584900479
"gammaTemp",0.815608529674324,0.12049762767865,0.568296534176827,0.727043788787373,0.827922039318531,0.919622431675693,0.98966522407745
"gammaTemp",0.266424155643268,0.0656120425835444,0.134432873629668,0.225125725221064,0.269009006500133,0.308701455279401,0.392480260968304
"gammaTemp",0.263656903400576,0.0660655554671245,0.129775515107846,0.221939665446747,0.268872933929841,0.307379425505617,0.38240547466175
"gammaTemp",0.515550121657366,0.238396073761036,0.0507902179487109,0.347330905453402,0.506759089575736,0.691033405516821,0.94861407114782
"gammaTemp",0.129805783780753,0.0761360341982369,0.00921850492067459,0.0678180170868414,0.127715486334743,0.180742690521324,0.286750371629019
"gammaTemp",0.211508003966,0.0866148408691546,0.0233307011289198,0.161149211661174,0.214240608511768,0.268484385738776,0.370398081809749
"gammaTemp",0.126836324921117,0.0750780533845235,0.0090444195530994,0.066030850943665,0.126918557465373,0.175058307871094,0.286362881308739
"gammaTemp",0.821947624038792,0.116437232766775,0.568675273587166,0.740517414183271,0.836112337405642,0.91821865902128,0.990321456588052
"gammaTemp",0.753636909884244,0.15385461549246,0.429213897913791,0.648606752366263,0.767375214611739,0.875524269747028,0.989090043192945
"gammaTemp",0.265637565556343,0.0656765024105848,0.128887986269341,0.22649134132049,0.270261135283682,0.307950940378383,0.386386786476603
"gammaTemp",0.109363816681357,0.0689763004152928,0.00652214051004663,0.0515301214396272,0.103913336657985,0.158237070073523,0.255588279854515
"gammaTemp",0.660456162458477,0.192193172823547,0.256150982597785,0.532078802998502,0.669794641897627,0.807413987215343,0.97679431370876
"gammaTemp",0.500522104782127,0.226691252779228,0.0542777848085065,0.345219336245744,0.486621337129818,0.656784692198837,0.947890757795626
"gammaTemp",0.755893074572306,0.16095359605233,0.423343493135782,0.638508899079903,0.776921967903215,0.888170089233933,0.989913838871869
"gammaTemp",0.76904863393897,0.126462413456595,0.528689121957201,0.672565906986968,0.768996318659845,0.873690011775603,0.980369426885443
"gammaTemp",0.474057083932912,0.053439339471021,0.385308177945234,0.43620481538897,0.467762675155985,0.504754739905943,0.593589757866709
"gammaTemp",0.829270363496408,0.102879805666758,0.644496258990211,0.746197052201922,0.832064238486639,0.918726584547591,0.991984542791065
"gammaTemp",0.625923256504631,0.196973110080485,0.218602364235608,0.489496380311836,0.624822896542027,0.77678875994279,0.97134021028577
"gammaTemp",0.648344808034924,0.200926366117091,0.240404047854449,0.50695211856958,0.653768708149006,0.809893959732791,0.978689307754246
"gammaTemp",0.266536277184248,0.0593309718819248,0.151829728147849,0.227010844904692,0.269679328846117,0.304474094083596,0.381492229677275
"gammaTemp",0.547536041776823,0.0949741503855102,0.396167671040691,0.487463457125083,0.535775031117777,0.592354945674143,0.792128181726704
"gammaTemp",0.850122661528346,0.0939173147445365,0.657025477246767,0.785213000179822,0.857642849846687,0.927739774329995,0.990879970929374
"gammaTemp",0.370337430802094,0.166689153314985,0.030533567534833,0.274721600057287,0.374396285477962,0.459270732447788,0.732246215250107
"gammaTemp",0.819792688183539,0.127436640191764,0.534466801854946,0.734855708917707,0.842659781171786,0.925469129643667,0.99142043386263
"gammaTemp",0.84377030892648,0.0877799215930426,0.684713198405443,0.773777644754162,0.843320138253345,0.917767327933475,0.990402536523141
"gammaTemp",0.848719178655302,0.101349087850991,0.622568524327379,0.781484435218876,0.860144025254391,0.930752913517847,0.993832232315774
"gammaTemp",0.271597691250952,0.0612590455226748,0.154263199316373,0.231059122279424,0.273977052283973,0.312933010262947,0.387423230349503
"gammaTemp",0.423096113407194,0.206417793210097,0.0452553977617025,0.289298293189298,0.408871594355395,0.532160996791593,0.923135759350063
"gammaTemp",0.588627808226429,0.172739818516558,0.296977201974173,0.473876363761956,0.564834953554133,0.685161725407302,0.961795644859193
"gammaTemp",0.334287683782016,0.0812805927237299,0.144288726465753,0.291464890229633,0.33947014124067,0.385772016176043,0.483564432154116
"gammaTemp",0.690796673479612,0.0977657406785899,0.550324678295066,0.618616884991139,0.669546385191573,0.741300540978296,0.931131670597067
"gammaTemp",0.696844228248543,0.0934355059971678,0.563619874919449,0.627320889237403,0.679231222103982,0.744789942956273,0.922991201854419
"gammaTemp",0.426869139019112,0.0590088150254093,0.343993823210906,0.382742892946559,0.41614219752312,0.459651375489203,0.564998930869148
"gammaTemp",0.552592960604784,0.20731728588854,0.105969247744734,0.41668250281671,0.539891478459868,0.692570833777296,0.962416272023608
"gammaTemp",0.383101733395586,0.201192359378641,0.0353143710302521,0.249771825601759,0.370401022688863,0.489415566903738,0.867029160739665
"gammaTemp",0.216965950200321,0.0833350167294017,0.0315214604653744,0.164968190985195,0.217370792341389,0.274069558726581,0.371990300956055
"gammaTemp",0.134028824822071,0.0758669355626511,0.0125396344515593,0.0719578343405495,0.132037682939229,0.188896739332205,0.290875089969098
"gammaTemp",0.147470655241828,0.0912508665837725,0.00731645955776175,0.0724122519555465,0.139858028991279,0.213592663846751,0.334370118286504
"gammaTemp",0.132528238853879,0.0771629400303706,0.00686680743754232,0.0711651651243869,0.132471256527429,0.186062720595227,0.286227646481006
"gammaTemp",0.811126588622904,0.118630517629009,0.553465814894179,0.731273693046309,0.822982725603616,0.905689073305239,0.991955804799634
"gammaTemp",0.533222134142751,0.0750885253895086,0.410956632404794,0.485294698558122,0.52608067745063,0.571828234281655,0.709687285581118
"gammaTemp",0.770104828267117,0.118153260273374,0.553862236300381,0.677029295786467,0.767903896444562,0.861304977433998,0.981395179879864
"gammaTemp",0.438637382057289,0.230544605279357,0.0473729240486539,0.274415418257484,0.417174022414997,0.592448643635702,0.919473639782412
"gammaTemp",0.113134569503963,0.0710710438239709,0.00742496021959809,0.0522829770490219,0.109046958466744,0.162096733252316,0.262387011208903
"gammaTemp",0.745280951977571,0.14253277094933,0.47811080206902,0.638599875410864,0.745511408474233,0.860834434492962,0.985349870987054
"gammaTemp",0.203604624348871,0.0952429624902749,0.0195173352764996,0.135453858146907,0.211709944000298,0.272411797451921,0.376324712743456
"gammaTemp",0.59690689430855,0.0988366896395425,0.43982422569342,0.532611317722398,0.583349909730632,0.643956421924118,0.852339264277699
"gammaTemp",0.853750568559441,0.0931768486446391,0.660371089863671,0.788141269842858,0.861991319586802,0.930596786161521,0.994897473824639
"gammaTemp",0.0712958589116926,0.0466649360293225,0.00382074339807468,0.0337955567978653,0.0672138028571869,0.101204018695607,0.172324148734258
"gammaTemp",0.680665686749719,0.119940178403306,0.486571742847828,0.592734350385732,0.661685117018384,0.75713726530377,0.943858636361565
"gammaTemp",0.582945970992693,0.225863622122422,0.0854221506416534,0.428284783776696,0.587877337409719,0.756295077925742,0.964280836076567
"gammaTemp",0.558710045344505,0.0597781338563364,0.467541177662525,0.521549683947693,0.551310797505535,0.586418732879428,0.687810067811415
"gammaTemp",0.627976203185654,0.215169973073269,0.179455986739189,0.475312001399035,0.618055917723044,0.802314900895555,0.981978881166044
"gammaTemp",0.854700723877331,0.0887586050415596,0.686500323706528,0.784619782890432,0.857748401199253,0.929987618648302,0.995363138519785
"gammaTemp",0.183910243423317,0.0840508992976343,0.0129429283563086,0.133740487281311,0.187481423841667,0.240669222986556,0.342844402195889
"gammaTemp",0.515746194056084,0.0634319155107239,0.403069888188146,0.472807842667449,0.511440770162175,0.554036629890457,0.650507369942389
"gammaTemp",0.721320272514574,0.165484706151215,0.395806536400842,0.601194549540038,0.725740181697924,0.858272518908942,0.984832538182622
"gammaTemp",0.417765690182471,0.23329540985524,0.0290398681918593,0.242890859006443,0.399587268720405,0.571156973131986,0.921163283767525
"gammaTemp",0.726195516689587,0.080402648007629,0.606907926726136,0.667555842791511,0.711306964569437,0.770753189229799,0.926799672920188
"gammaTemp",0.822998509980395,0.0988810073983386,0.627787960348092,0.752900329637828,0.823677954883595,0.900985119488822,0.986890697737372
"gammaTemp",0.539161630248782,0.158321842956292,0.238895114041123,0.443517706582186,0.524381075144398,0.623101202851805,0.900391205931313
"gammaTemp",0.404181214098195,0.207931840313953,0.0301516740931446,0.264470001253076,0.388540113000863,0.530612392335119,0.872240966898341
"gammaTemp",0.154841830317011,0.0982706070503628,0.00965704410777512,0.0749561682319235,0.14590935570757,0.219864012010682,0.363532296718347
"gammaTemp",0.558667219802742,0.0442274310891484,0.492795575906535,0.530759934388818,0.552443211747562,0.576912135781978,0.668658996609989
"gammaTemp",0.68732058564556,0.181371458578512,0.332204619791642,0.563108134786104,0.68859366307062,0.832678242752474,0.978365580987319
"gammaTemp",0.206612878353807,0.0826780234738339,0.0303926562350321,0.157242174898159,0.206110881227019,0.262532123505846,0.36316442005244
"gammaTemp",0.141947646652293,0.076301168673119,0.0133512733288369,0.0835152804388311,0.138575874217602,0.19073433924143,0.301792110684765
"gammaTemp",0.254928800236106,0.111882308678165,0.0315612929377927,0.184049372867594,0.265741129029835,0.330835080036302,0.460376431320705
"gammaTemp",0.775975087419156,0.11411627472984,0.567441099455629,0.691361605805677,0.772489547705841,0.862869368540026,0.981347613371919
"gammaTemp",0.833873305796518,0.103476654714095,0.620378174666943,0.759052871606525,0.842028376064872,0.91817566881696,0.992876883459854
"gammaTemp",0.551067266059774,0.0714485210350128,0.432385557608585,0.502766440593051,0.541735491086768,0.58932204885806,0.720011375223875
"gammaTemp",0.479662527950061,0.0673616938511868,0.356662640269282,0.436356071621812,0.474934014621003,0.518430615816723,0.630741366269881
"gammaTemp",0.20677772650444,0.083428105579204,0.0293478515077576,0.157588110059176,0.206868037426439,0.260987245102683,0.367527944516369
"gammaTemp",0.569062074598656,0.10076871856143,0.419865606567322,0.500663848050161,0.551850946032479,0.616488043691101,0.839385930931154
"gammaTemp",0.554166345302342,0.05314758437999,0.46833675301625,0.519640430078593,0.547052950120771,0.581534643475019,0.683848841406939
"gammaTemp",0.79574477707718,0.10175663649127,0.622519529516696,0.716419507016584,0.784935256397877,0.874401999928894,0.989071852281396
