"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0182380892811653,0.000766770786729863,0.00345703415874145,0.000713122164053303,0.0376408962279006,-0.00123249810627568
"beta",0.000766770786729863,0.00140762867052475,0.00390215611590264,0.00057809226852584,-0.00966462390524164,7.12319970822429e-05
"gamma",0.00345703415874145,0.00390215611590264,0.0429290108177089,8.56029049625683e-05,0.00792715930072416,0.00126950701986109
"delta",0.000713122164053303,0.00057809226852584,8.56029049625683e-05,0.00170372614229733,-0.00157855168419176,-0.0010535630635575
"lambda",0.0376408962279006,-0.00966462390524164,0.00792715930072416,-0.00157855168419176,0.82264921259353,-0.0933137334137251
"luce",-0.00123249810627568,7.12319970822429e-05,0.00126950701986109,-0.0010535630635575,-0.0933137334137251,0.0593561956448872
"alpha",0.0054391212980276,0.000592314224352793,-0.000464712491673757,0.0011815662113629,0.0417925650021,-0.0111115005969095
"beta",0.000592314224352793,0.0013926512931512,0.000753762493113747,0.000527139148413897,-0.0183240940525105,0.00032379895951629
"gamma",-0.000464712491673757,0.000753762493113747,0.0102503072572253,-0.00217817321055401,-0.00311684147939278,-7.48832820808521e-05
"delta",0.0011815662113629,0.000527139148413897,-0.00217817321055401,0.00316870970078436,-0.000135478178989247,-0.00313454041908657
"lambda",0.0417925650021,-0.0183240940525105,-0.00311684147939278,-0.000135478178989247,0.940299141536739,-0.163311778311956
"luce",-0.0111115005969095,0.00032379895951629,-7.48832820808521e-05,-0.00313454041908657,-0.163311778311956,0.061921937172822
"alpha",0.0625895386232229,-0.000876611043183065,-0.0242514063678748,-0.00224782367341716,0.0159670695961997,-0.00656334824211718
"beta",-0.000876611043183065,0.00140594118564089,0.00161528264699909,0.00088878311116469,-0.00760927061370079,-0.00114455050149305
"gamma",-0.0242514063678748,0.00161528264699909,0.0624961595660527,-0.00129208745336545,0.00363676728528333,-0.00249808037349176
"delta",-0.00224782367341716,0.00088878311116469,-0.00129208745336545,0.00220071463886474,-0.000522312098308547,-0.00087109871110605
"lambda",0.0159670695961997,-0.00760927061370079,0.00363676728528333,-0.000522312098308547,0.930948534927923,-0.155376162303117
"luce",-0.00656334824211718,-0.00114455050149305,-0.00249808037349176,-0.00087109871110605,-0.155376162303117,0.0758007889647209
"alpha",0.0444128690412613,0.00141727468447189,-0.0250930643593227,0.00365510811991235,0.00957617007073364,0.000809484153307803
