"","Chi-Square","d.f."
"alpha",324.243541009224,299
"beta",267.596862224814,299
"gamma",305.254771660759,299
"delta",342.111698636689,299
"lambda",301.44449919826,299
"luce",295.499415953333,299
"covariance matrix",1801.3706767029,1800
