"","delta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"deltaTemp",0.938232328535088,0.0412762176355505,0.849701614582205,0.910542115311026,0.943125153941528,0.972380359283681,0.997987213398943
"deltaTemp",0.817043123880528,0.0562912932946504,0.72409868488848,0.777121920595941,0.810152365092754,0.851160448828012,0.944610311798973
"deltaTemp",0.772865639475538,0.0469117750555736,0.681310058520262,0.742100240722518,0.774504268240741,0.804873857619055,0.863484620728773
"deltaTemp",0.523814613857068,0.211937367232062,0.0846894756886413,0.387530521132839,0.508882382390206,0.663242206991597,0.945224968522794
"deltaTemp",0.91591389805442,0.0609149137129405,0.781108504363787,0.87525223929657,0.928226399800949,0.965541430002054,0.996797910652438
"deltaTemp",0.349475524899644,0.173131432921146,0.0615341566221884,0.212449973703911,0.339640793816224,0.463591739805368,0.724534343455458
"deltaTemp",0.296789975880878,0.298620512969263,0.00566286346400252,0.0593681814959945,0.133244949064487,0.537065431357485,0.941061784545615
"deltaTemp",0.231427705458393,0.108721732431211,0.0385191943300878,0.153404612375968,0.222798558346616,0.300731278443427,0.452512035017598
"deltaTemp",0.115769101790199,0.0983548243189494,0.00532010696926381,0.044961263074819,0.0927104694443031,0.159451363944927,0.349479751222559
"deltaTemp",0.083018484934153,0.0678245546191231,0.00391552850986332,0.0338174141052981,0.0683991638323064,0.111985081061259,0.257165704398491
"deltaTemp",0.299604436679039,0.217872984929785,0.0173085540282334,0.127159096584498,0.249524355507431,0.426309734693753,0.833444639822944
"deltaTemp",0.268133374050663,0.0313295213681738,0.209044100026584,0.247201324353807,0.267318068919042,0.28923389161852,0.331839304648799
"deltaTemp",0.768096919849155,0.0772292688375308,0.628157112226331,0.713461129667878,0.765628106709902,0.819049558416176,0.934927155745851
"deltaTemp",0.213633181700255,0.194335602335704,0.00770925054407136,0.0813170940827342,0.154532278539272,0.276820553229033,0.785732309742568
"deltaTemp",0.892248285416838,0.053060922826829,0.791257330949599,0.854192967058074,0.891675943723457,0.931696520995678,0.98955147645191
"deltaTemp",0.268285191506223,0.147961068141703,0.0213150030429839,0.166300900240232,0.259005346421824,0.347223690741783,0.614385670310594
"deltaTemp",0.833810836487179,0.0556412460662588,0.727047549399154,0.795813604063032,0.833448850491445,0.870382467468565,0.944754060509783
"deltaTemp",0.653917497733847,0.0320996131859411,0.603525478012401,0.630078917680435,0.649896254670139,0.674054820955763,0.726106408954447
"deltaTemp",0.594636013510008,0.0789914829342134,0.461097648925147,0.540390860109903,0.588684044108671,0.639996291053782,0.766656401470609
"deltaTemp",0.141283816641051,0.0820146471910407,0.0100380501266314,0.0890429414274048,0.135381188863349,0.187366342159714,0.313227610339315
"deltaTemp",0.583407069316997,0.0411876811223048,0.510169492693935,0.55384735841749,0.582223458942466,0.610914749292917,0.669323748355695
"deltaTemp",0.740341826176554,0.199065397963721,0.182081307266273,0.63796176856538,0.785202785464431,0.889607871546331,0.985606577357625
"deltaTemp",0.384278494605271,0.0277641688634272,0.332992349598425,0.365708020390577,0.383230612423201,0.400866805678807,0.443131547732274
"deltaTemp",0.0903588848201995,0.0732910255396358,0.00559986850943493,0.040008941532156,0.0750588423317549,0.119536371526679,0.276412184928065
"deltaTemp",0.214489993055289,0.0233953767514516,0.170817126266603,0.197561038212387,0.213905255614988,0.230211253928245,0.260738355677723
"deltaTemp",0.223709696681772,0.0708113930243425,0.109220228359992,0.173287327877438,0.217301793700756,0.266896114646178,0.384299020986803
"deltaTemp",0.3933494988153,0.0254725928880951,0.348508826154547,0.374401876559728,0.39259294760074,0.411163271517042,0.443911924047386
"deltaTemp",0.110374697089004,0.0699128854018493,0.00560062862080037,0.0558934706626237,0.106325905772257,0.152451988966996,0.259987413700642
"deltaTemp",0.205242687939629,0.0977961152078654,0.0201112551607708,0.136690818461717,0.207780169809724,0.268201256083835,0.404833247849
"deltaTemp",0.295146371889428,0.0107059214267,0.275006517053211,0.288142316000766,0.294578200285114,0.301746501207137,0.317995954100634
"deltaTemp",0.774003986268829,0.109081970293985,0.568292290291721,0.693707843713357,0.773487977765531,0.857629242945375,0.969957594029117
"deltaTemp",0.338108745634614,0.0211258045933614,0.301533685552924,0.323619475713972,0.335906957932321,0.351017533034043,0.386950679253312
"deltaTemp",0.845791438976429,0.0417515712510609,0.778717127034851,0.815573274039831,0.841320367899076,0.870617513178625,0.941748981701045
"deltaTemp",0.27501214197187,0.0402181820551799,0.202516165010101,0.24800216932715,0.272646527906826,0.300577249283161,0.355607087373034
"deltaTemp",0.788167621276639,0.0524338180961264,0.689550090229874,0.752114087728069,0.78648101821939,0.821741198513162,0.895784833519112
"deltaTemp",0.584210554357744,0.139050317906199,0.363886958497134,0.485595916776358,0.564578280233087,0.66428199622261,0.910620422043405
"deltaTemp",0.116876127755362,0.122755871330313,0.00519574007531871,0.0409106602014342,0.0827906941326357,0.145167780271045,0.480245634428824
"deltaTemp",0.633709145363252,0.0364308737442923,0.558826746925478,0.610738017729987,0.635771313878622,0.658152747828613,0.703515533092984
"deltaTemp",0.276947264215238,0.231689018702756,0.0134946916656659,0.101695630350452,0.202640950828049,0.392722766677401,0.876678291945878
"deltaTemp",0.720132464260119,0.0269146822686576,0.671624059704551,0.702047066748354,0.71811144469142,0.736807858049965,0.77469667591104
"deltaTemp",0.924273231814398,0.0473939011234935,0.822589663203417,0.892090795063499,0.92833970324586,0.963033812637444,0.995514291992225
"deltaTemp",0.392492047473222,0.193972583633226,0.0256765024710705,0.281770541932469,0.409194949353684,0.509086508283651,0.797933374442919
"deltaTemp",0.627806923881717,0.117181590427348,0.434718896096978,0.544922230219022,0.612835163978576,0.698929433153891,0.891844921902981
"deltaTemp",0.720574910986565,0.092835019999568,0.548831963404419,0.65494609109911,0.712605553671472,0.781418670305438,0.919158642554642
"deltaTemp",0.206243117257322,0.0281996616741898,0.153577006218838,0.186718857671279,0.206023671305958,0.226122414100636,0.261414450653602
"deltaTemp",0.83234842474613,0.0959605612694203,0.632066766490764,0.763322040918851,0.840919821397796,0.907505455452304,0.985395068168244
"deltaTemp",0.328489730114985,0.0394484544359946,0.251202578015579,0.301730942656898,0.328872456781624,0.356143796582392,0.402973930769253
"deltaTemp",0.8779634450907,0.09478012472977,0.646188427082915,0.82209343623854,0.899408655739857,0.95364063730918,0.99623047136654
"deltaTemp",0.31920265429872,0.0178959040490387,0.287499972208548,0.305908624914782,0.318555537849275,0.330923388863713,0.355385329602908
"deltaTemp",0.516577835788453,0.0236860910393364,0.472695182614412,0.500331830605966,0.515621684553278,0.53153621382845,0.566156136098376
