"","beta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"betaTemp",0.823855743498971,0.0375183777704308,0.747373333468374,0.799835413890968,0.82531000714937,0.849332345993555,0.895065679457248
"betaTemp",0.651036152532312,0.0373182434360354,0.579215013980369,0.626660364407615,0.64883261170117,0.67507006335339,0.729706430172117
"betaTemp",0.946587989388326,0.0374958822491336,0.859064265292446,0.922218033208961,0.952378079909852,0.977373805687511,0.997878756289691
"betaTemp",0.104426897338332,0.0839917703016806,0.00243856244565537,0.038348945172571,0.084107283626303,0.153925739519993,0.304322554690972
"betaTemp",0.318863669049001,0.0529497611788902,0.210587807734875,0.282981320336714,0.320162825504405,0.353446562356829,0.419986527792087
"betaTemp",0.519709017644188,0.168840544464201,0.147790825577872,0.417093501720479,0.530345493621478,0.619140611118708,0.876282357555536
"betaTemp",0.286682183262376,0.285033340260553,0.0059781912716139,0.0615148019501841,0.162714242106281,0.462384603226188,0.935404087340192
"betaTemp",0.398624583933834,0.222009467724292,0.0409596021694217,0.237370761116267,0.365338608497016,0.52863412876745,0.908783514423717
"betaTemp",0.386228180185516,0.264704145219282,0.0243098282634019,0.161781058312687,0.33059291387839,0.581173654475663,0.93718098669894
"betaTemp",0.45331626885546,0.281648217925323,0.0250620182663865,0.208264526940089,0.430087933193839,0.689098563721904,0.963735523210351
"betaTemp",0.32367907326524,0.236144494997659,0.0199283778616938,0.145412963342679,0.268082978431918,0.438486268128505,0.935407622960136
"betaTemp",0.618561131526517,0.0818645473108654,0.468227950675004,0.562885794168193,0.612054987504731,0.66678622719652,0.795789580262623
"betaTemp",0.562957750904813,0.0594782891312235,0.450635535445359,0.520154209231217,0.562462138623232,0.605463436083798,0.679252817213169
"betaTemp",0.373532391324218,0.246596875917978,0.015134148217787,0.169065836521918,0.339668112161004,0.541633028263731,0.900125846499039
"betaTemp",0.758181657306666,0.0393024817714099,0.686632521009877,0.731300536375314,0.755306825763365,0.78329228148959,0.842230375756022
"betaTemp",0.286357491465862,0.205929644526445,0.0187906979814727,0.135167561793665,0.242850575838509,0.384057323695725,0.863762879123508
"betaTemp",0.646148260033976,0.0325036850117763,0.58475314360198,0.624272866251481,0.644906838866392,0.666197793402722,0.71445524349788
"betaTemp",0.957894819020885,0.0294219449428078,0.893209915102111,0.938437994657106,0.962099771337067,0.98204517475618,0.998010836650851
"betaTemp",0.408311432617547,0.0648601775852685,0.281185909836365,0.364744595682911,0.408119136213865,0.452786815035144,0.534961440058639
"betaTemp",0.441738696767789,0.271710312409033,0.0227591439848632,0.208916756842506,0.409518666266122,0.661166078387766,0.944958679318295
"betaTemp",0.951935475991074,0.0357882253030733,0.867788602433734,0.931099278069825,0.958913631214259,0.980127571710722,0.997992332847687
"betaTemp",0.308627001173376,0.129615170407733,0.0551362042497009,0.222047785125058,0.313645811191917,0.399717063305961,0.545539142043042
"betaTemp",0.791323471126549,0.0626337437117347,0.68252753328861,0.747481402423822,0.787606961062529,0.830695810262401,0.922705773745051
"betaTemp",0.438725049008587,0.272642454133881,0.0239488926141519,0.203513861433747,0.400242108624357,0.65594920748036,0.950528472447893
"betaTemp",0.914756044378372,0.054927706017054,0.793116537774742,0.878805412387807,0.920647839809723,0.958066143303031,0.994679391571243
"betaTemp",0.387487044784564,0.202185265223384,0.0567291798370151,0.241028831190031,0.356650956900416,0.507070698611506,0.862582568400065
"betaTemp",0.914952866655764,0.0381024885986986,0.841215908075519,0.888887523591345,0.914187646974248,0.942302879722426,0.986674276487963
"betaTemp",0.469813677716302,0.266497701435137,0.0286522231081331,0.251607520470854,0.448478318572091,0.681604892316227,0.968384349075324
"betaTemp",0.368014142985484,0.219290786738953,0.0309736702103931,0.211216992387736,0.333275664429628,0.484511857974889,0.890422788729291
"betaTemp",0.908669910068984,0.0533378318165151,0.79592064065261,0.873069741545445,0.913634949911782,0.950045059274156,0.993402458278853
"betaTemp",0.282828543241102,0.0779516196252531,0.132912032716876,0.228181689036402,0.283251060931395,0.335397167910606,0.438662277367556
"betaTemp",0.774806672944294,0.0580987631201353,0.670129053915038,0.733468791739954,0.772234538025237,0.813008424246256,0.898361727536313
"betaTemp",0.803397234657672,0.0324220776633324,0.74631791063304,0.781055065885778,0.800887088132647,0.82236795808603,0.878095799686734
"betaTemp",0.447287673829013,0.0830024240301697,0.300729183000085,0.390395502920879,0.443235395615437,0.498326044636387,0.631199826296479
"betaTemp",0.944977044312048,0.0395472463420043,0.854722055448185,0.918959847113162,0.952474939625007,0.977728994861513,0.996875884174846
"betaTemp",0.129580325433693,0.0846942309674543,0.00863635632445422,0.0620851430522124,0.117243128767264,0.182851044655182,0.319875614719243
"betaTemp",0.388277202930897,0.271577376082158,0.01470733732276,0.152360445608886,0.340576490973591,0.591037010963702,0.942928343838994
"betaTemp",0.798490749199446,0.0446391410779193,0.713775250714138,0.768080914561259,0.797461679875445,0.829743677046738,0.88450564086898
"betaTemp",0.327394847700919,0.242793445156243,0.0114980804760558,0.13767900917534,0.271518581000774,0.464990467499464,0.909228737261969
"betaTemp",0.751151870334005,0.0283819005065975,0.696628164751612,0.732231437427252,0.750156091958179,0.768148274525006,0.811530739365471
"betaTemp",0.819017885014781,0.0475277335360528,0.729817943882249,0.787412804036502,0.818615034538406,0.851141848819946,0.911772650550792
"betaTemp",0.217053002263174,0.172170165871903,0.0102954374126292,0.100765838743724,0.176899307978474,0.281091711280054,0.719778831621287
"betaTemp",0.340306993689411,0.124828394703963,0.0707367647561887,0.258169473839162,0.348881207285898,0.434167988903287,0.555055225492348
"betaTemp",0.389529341835075,0.0540121281903552,0.29161606027968,0.35249591199249,0.387521968012575,0.424553933759401,0.500982942744776
"betaTemp",0.785665369129617,0.0968505600924394,0.605408140120551,0.714050850692045,0.781897596826655,0.857311772905869,0.97047519272313
"betaTemp",0.19899610759256,0.0454110156009793,0.110102966220033,0.168587556401695,0.199073640973487,0.22860087540973,0.290849141496598
"betaTemp",0.918393732471416,0.0485780506434053,0.820673355228081,0.883129707849108,0.922772097293034,0.957858856203438,0.994864102256578
"betaTemp",0.26424863477137,0.080647717118113,0.0911578145693813,0.210670912422086,0.270544202167426,0.318616968117698,0.414467915735299
"betaTemp",0.898125661064754,0.052926632549942,0.791612982469918,0.862811893618286,0.899378444397591,0.937740145826457,0.991851708186055
