"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0763031638484469,-0.000979547060343407,0.00198640152519034,0.000965423853006209,-0.000927878823569032,-0.00711064783232301
"beta",-0.000979547060343407,0.0280308675626441,0.000950704839778074,-0.0022603080083213,-0.0100801309908729,-0.00387836314341582
"gamma",0.00198640152519034,0.000950704839778074,0.0497993135487717,-0.000468086319194814,0.000916147181994087,0.00473309180936826
"delta",0.000965423853006209,-0.0022603080083213,-0.000468086319194814,0.0162510509646092,0.000331458659467524,0.000443606377050765
"lambda",-0.000927878823569032,-0.0100801309908729,0.000916147181994087,0.000331458659467524,0.934056646942204,-0.0225489004863624
"luce",-0.00711064783232301,-0.00387836314341582,0.00473309180936826,0.000443606377050765,-0.0225489004863624,0.0649945570095781
"alpha",0.0675287958084051,0.00347600611075521,0.00820755796269148,1.44410284234837e-05,0.00520479640460334,-0.0128329081820757
"beta",0.00347600611075521,0.0631313291084935,-0.00205993271733141,0.000853153984624525,-0.0798482842077776,-0.0165589644206547
"gamma",0.00820755796269148,-0.00205993271733141,0.0476109437625168,4.55789901901179e-05,-0.00547985438104174,0.0108541619843299
"delta",1.44410284234837e-05,0.000853153984624525,4.55789901901179e-05,0.0107737841295965,0.0175551650134863,0.00278437362922452
"lambda",0.00520479640460334,-0.0798482842077776,-0.00547985438104174,0.0175551650134863,1.20674216007474,-0.0643223803038244
"luce",-0.0128329081820757,-0.0165589644206547,0.0108541619843299,0.00278437362922452,-0.0643223803038244,0.07694156185814
"alpha",0.0764622598668464,-0.000366164063649549,0.0071659197072898,-0.00030044581802044,0.00803427203029583,-0.0134538924332919
"beta",-0.000366164063649549,0.0706322295444071,0.00181050839752655,0.00199565573135606,-0.039683486789758,-0.00722678692676452
"gamma",0.0071659197072898,0.00181050839752655,0.0446728577974831,-0.000749876554757658,-0.0132275173392969,0.00292947231806838
"delta",-0.00030044581802044,0.00199565573135606,-0.000749876554757658,0.029520233924208,0.0279237732678984,0.00380666757157637
"lambda",0.00803427203029583,-0.039683486789758,-0.0132275173392969,0.0279237732678984,1.02531282577162,-0.110679896130855
"luce",-0.0134538924332919,-0.00722678692676452,0.00292947231806838,0.00380666757157637,-0.110679896130855,0.0718620536206223
"alpha",0.0684434611403465,0.00209899175676524,-0.00407139040215462,0.000733051092174508,0.00244125591747725,-0.00998771466873444
"beta",0.00209899175676524,0.0430823452644009,-0.00144113378099579,-0.00215834747326749,-0.0307616871541833,-0.0113544075114631
"gamma",-0.00407139040215462,-0.00144113378099579,0.0652759721922851,0.00536101782864097,-0.0084052029863884,0.00414386245784995
"delta",0.000733051092174508,-0.00215834747326749,0.00536101782864097,0.0399276332617842,-0.00382027044765953,-0.00103919078665476
"lambda",0.00244125591747725,-0.0307616871541833,-0.0084052029863884,-0.00382027044765953,0.405588099682862,-0.0524308836557978
"luce",-0.00998771466873444,-0.0113544075114631,0.00414386245784995,-0.00103919078665476,-0.0524308836557978,0.0585692231305397
"alpha",0.0658893493392541,0.00470976964123792,0.00276049751042738,-0.00137083659778575,0.0264648391008137,-0.0174944209355815
"beta",0.00470976964123792,0.0573697720820966,-0.00156049857186748,-0.000457440709996172,-0.0573813054122416,-0.0149503839317012
"gamma",0.00276049751042738,-0.00156049857186748,0.0638618855786798,0.00118997854116516,0.0053875664313533,0.00749594268301347
"delta",-0.00137083659778575,-0.000457440709996172,0.00118997854116516,0.0166086683938389,0.0161299924464575,0.00353545736587236
"lambda",0.0264648391008137,-0.0573813054122416,0.0053875664313533,0.0161299924464575,1.02127996267068,-0.050885261675476
"luce",-0.0174944209355815,-0.0149503839317012,0.00749594268301347,0.00353545736587236,-0.050885261675476,0.070245077958058
"alpha",0.0626818836289028,0.00183817968426403,0.0065866723688321,-0.00154410208077504,0.00382250152894367,-0.0120100083161233
"beta",0.00183817968426403,0.065936779784421,-0.00215873026645856,0.00104998401886704,-0.0763011769971844,-0.0113115289081323
"gamma",0.0065866723688321,-0.00215873026645856,0.0425373039014601,0.000974794784451758,-0.0106129583523074,0.00708107684983411
