"","Chi-Square","d.f."
"alpha",306.389155304283,299
"beta",281.915664514443,299
"gamma",273.995246499813,299
"delta",268.045321512721,299
"lambda",324.586871853402,299
"luce",323.972998717146,299
"covariance matrix",1767.52632298551,1800
