"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.00384119041474359,-0.000817464896216441,-0.0252712382055908
"delta",-0.000817464896216441,0.00303620713268996,0.0065004340503569
"lambdaluce",-0.0252712382055908,0.0065004340503569,0.284970858827893
"beta",0.0105095282963472,-0.00183672720239147,-0.0310687926898386
"delta",-0.00183672720239147,0.00434055355772151,0.0049658125483086
"lambdaluce",-0.0310687926898386,0.0049658125483086,0.139400275070328
"beta",0.00569616915826228,-0.001650876998705,-0.0167549168613932
"delta",-0.001650876998705,0.00572699974496373,0.00372333354757971
"lambdaluce",-0.0167549168613932,0.00372333354757971,0.079627966493782
"beta",0.0231250924012846,-0.000595358953327747,-0.0369518868590827
"delta",-0.000595358953327747,0.00155734518362101,0.00486933378558308
"lambdaluce",-0.0369518868590827,0.00486933378558308,0.0888225114570088
"beta",0.00470945722013304,-0.00177385736453718,-0.0363005661279093
"delta",-0.00177385736453718,0.0041219899724431,0.0184086556120499
"lambdaluce",-0.0363005661279093,0.0184086556120499,0.608423734574625
"beta",0.0371474538850871,-0.00238903928749153,-0.0397567204863287
"delta",-0.00238903928749153,0.00228686358124292,0.00404599767063841
"lambdaluce",-0.0397567204863287,0.00404599767063841,0.064008810080811
"beta",0.0404900303266307,-0.00179735632768101,-0.0537382226904458
"delta",-0.00179735632768101,0.00149161238186319,0.00545493652868206
"lambdaluce",-0.0537382226904458,0.00545493652868206,0.0918101678690194
"beta",0.015129071022445,-0.0018306395650519,-0.00767628163951358
"delta",-0.0018306395650519,0.0187804564503226,2.70143352399019e-05
"lambdaluce",-0.00767628163951358,2.70143352399019e-05,0.01781461186567
"beta",0.0435736988409755,-0.000620031551280269,-0.0655433799747634
"delta",-0.000620031551280269,0.00261221261842664,0.00220093586734089
"lambdaluce",-0.0655433799747634,0.00220093586734089,0.113065291927185
"beta",0.048824080855858,-0.000639370438008842,-0.11577092721699
"delta",-0.000639370438008842,0.00181536567018521,0.0017125166104666
"lambdaluce",-0.11577092721699,0.0017125166104666,0.407377198916826
"beta",0.0617198646602622,-0.00169539303013765,-0.182041569493407
"delta",-0.00169539303013765,0.000625834513114209,0.00274497454819206
"lambdaluce",-0.182041569493407,0.00274497454819206,0.955346714315395
"beta",0.0497295093330033,-0.000886603749181536,-0.118378683177403
"delta",-0.000886603749181536,0.001337060399516,0.00496587821051074
"lambdaluce",-0.118378683177403,0.00496587821051074,0.343270978587504
"beta",0.00848659362254674,-0.00275298627258568,-0.0375245339838301
"delta",-0.00275298627258568,0.00382193382411961,0.0126982893148704
"lambdaluce",-0.0375245339838301,0.0126982893148704,0.254122236607713
"beta",0.014582940492219,-0.000742831288778406,-0.0323698928437101
"delta",-0.000742831288778406,0.00107813258390779,0.00413429983689772
"lambdaluce",-0.0323698928437101,0.00413429983689772,0.118223459259896
"beta",0.00795243406715061,-0.00301781756168884,-0.0479115814348747
"delta",-0.00301781756168884,0.00513114809983994,0.0183827719449601
"lambdaluce",-0.0479115814348747,0.0183827719449601,0.397620204034892
"beta",0.0124231128694783,-0.000662301176122686,-0.0232546195470625
"delta",-0.000662301176122686,0.00115548970638489,0.00352996979438042
"lambdaluce",-0.0232546195470625,0.00352996979438042,0.0804914723177588
"beta",0.0070047062250382,-0.0021724680210398,-0.0515091064668816
"delta",-0.0021724680210398,0.00341389959429976,0.0155699852552004
"lambdaluce",-0.0515091064668816,0.0155699852552004,0.534659491692701
