"","Chi-Square","d.f."
"alpha",249.131034528946,299
"beta",288.840590258965,299
"gamma",300.438025323224,299
"delta",296.301767118534,299
"lambda",288.484431306532,299
"luce",273.290179422137,299
"covariance matrix",1782.94318060121,1800
