"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.013588963957625,0.0003425612777873,-0.00210235846553029,2.38473318860418e-05,0.0485813979806325,-0.0176734869359518
"beta",0.0003425612777873,0.00367913272463566,-0.000288642662360943,-0.00173891844032919,-0.0173663140962981,-0.000186981242602268
"gamma",-0.00210235846553029,-0.000288642662360943,0.00749786707716101,-0.000554049939367447,-0.000327984836520726,0.00153618585622196
"delta",2.38473318860418e-05,-0.00173891844032919,-0.000554049939367447,0.00298522555088732,0.00945448149884518,5.3318628876438e-05
"lambda",0.0485813979806325,-0.0173663140962981,-0.000327984836520726,0.00945448149884518,0.374398038791512,-0.0880374907037439
"luce",-0.0176734869359518,-0.000186981242602268,0.00153618585622196,5.3318628876438e-05,-0.0880374907037439,0.0324312736827614
"alpha",0.0285558520921479,-8.31027893783784e-05,-0.00226700618384932,-0.000199241326401459,0.0782759280130029,-0.0249001201794466
"beta",-8.31027893783784e-05,0.00770176548393877,-0.000234207755594333,-0.00112896770733597,-0.0280777934978663,0.0011349337393196
"gamma",-0.00226700618384932,-0.000234207755594333,0.00928541358456075,-0.000629231816312663,0.0011083311062032,0.00039187200782661
"delta",-0.000199241326401459,-0.00112896770733597,-0.000629231816312663,0.00350968352602006,0.00239507383473197,0.000321411746382739
"lambda",0.0782759280130029,-0.0280777934978663,0.0011083311062032,0.00239507383473197,0.430298364258497,-0.0936545250152553
"luce",-0.0249001201794466,0.0011349337393196,0.00039187200782661,0.000321411746382739,-0.0936545250152553,0.0292214483438919
"alpha",0.0324321346901822,6.63730950857263e-05,-0.00128712702221723,-0.000152694852786907,0.0748775397578692,-0.0324036361557775
"beta",6.63730950857263e-05,0.00349312389429397,0.000172945567649768,-0.00103598515987842,-0.0108324500458128,0.000365277637998115
"gamma",-0.00128712702221723,0.000172945567649768,0.00221958519130184,4.87426817290295e-05,-0.0049013066639286,0.00209190886475074
"delta",-0.000152694852786907,-0.00103598515987842,4.87426817290295e-05,0.00245764098979713,0.00123293655910265,0.000517541072490938
"lambda",0.0748775397578692,-0.0108324500458128,-0.0049013066639286,0.00123293655910265,0.311543431053099,-0.107302108881697
"luce",-0.0324036361557775,0.000365277637998115,0.00209190886475074,0.000517541072490938,-0.107302108881697,0.0475667729513014
